Trial,time,PositionX,PositionY,PositionZ
1,0.02,-7.990741,-1.453704,10
1,0.04,-7.972223,-1.481482,10
1,0.06,-7.962963,-1.5,10
1,0.08,-7.944445,-1.527777,10
1,0.09999999,-7.916667,-1.564815,10
1,0.12,-7.87963,-1.611111,10
1,0.14,-7.851852,-1.648148,10
1,0.16,-7.814815,-1.685185,10
1,0.18,-7.796297,-1.712963,10
1,0.2,-7.768518,-1.740741,10
1,0.22,-7.75,-1.768518,10
1,0.24,-7.731482,-1.796296,10
1,0.26,-7.712963,-1.814815,10
1,0.28,-7.694445,-1.842593,10
1,0.3,-7.666667,-1.861111,10
1,0.32,-7.638889,-1.888888,10
1,0.34,-7.611111,-1.916666,10
1,0.36,-7.583333,-1.944444,10
1,0.38,-7.546297,-1.962963,10
1,0.4,-7.518518,-1.981482,10
1,0.42,-7.481481,-2,10
1,0.4400001,-7.444445,-2.009259,10
1,0.4600001,-7.416667,-2.027777,10
1,0.4800001,-7.388889,-2.037037,10
1,0.5000001,-7.37963,-2.037037,10
1,0.52,-7.37037,-2.037037,10
1,0.54,-7.333333,-2.037037,10
1,0.56,-7.296297,-2.037037,10
1,0.58,-7.268519,-2.037037,10
1,0.6,-7.25,-2.037037,10
1,0.6199999,-7.231481,-2.037037,10
1,0.6399999,-7.212963,-2.027777,10
1,0.6599999,-7.185185,-2.018518,10
1,0.6799999,-7.148148,-2.009259,10
1,0.6999999,-7.12963,-2,10
1,0.7199998,-7.101852,-1.990741,10
1,0.7399998,-7.074074,-1.972222,10
1,0.7599998,-7.037037,-1.953704,10
1,0.7799998,-6.981481,-1.925926,10
1,0.7999998,-6.935185,-1.898148,10
1,0.8199998,-6.87963,-1.851852,10
1,0.8399997,-6.833334,-1.805555,10
1,0.8599997,-6.787036,-1.768518,10
1,0.8799997,-6.75,-1.722222,10
1,0.8999997,-6.722223,-1.685185,10
1,0.9199997,-6.694445,-1.657407,10
1,0.9399996,-6.685185,-1.648148,10
1,0.9599996,-6.666667,-1.611111,10
1,0.9799996,-6.657407,-1.583333,10
1,0.9999996,-6.638889,-1.555555,10
1,1.02,-6.62963,-1.546296,10
1,1.04,-6.62037,-1.527777,10
1,1.06,-6.611111,-1.509259,10
1,1.08,-6.592592,-1.481482,10
1,1.1,-6.574074,-1.453704,10
1,1.12,-6.555556,-1.435185,10
1,1.14,-6.537037,-1.416666,10
1,1.159999,-6.518518,-1.398148,10
1,1.179999,-6.490741,-1.351852,10
1,1.199999,-6.453703,-1.314815,10
1,1.219999,-6.425926,-1.268519,10
1,1.239999,-6.388889,-1.212963,10
1,1.259999,-6.361111,-1.166666,10
1,1.279999,-6.314815,-1.11111,10
1,1.299999,-6.287037,-1.064815,10
1,1.319999,-6.25,-1.009259,10
1,1.339999,-6.212963,-0.9629631,10
1,1.359999,-6.175926,-0.9166661,10
1,1.379999,-6.148148,-0.8703703,10
1,1.399999,-6.12037,-0.8425927,10
1,1.419999,-6.092592,-0.8148149,10
1,1.439999,-6.083333,-0.7962963,10
1,1.459999,-6.064815,-0.7685184,10
1,1.479999,-6.046297,-0.7499996,10
1,1.499999,-6.009259,-0.712963,10
1,1.519999,-5.962963,-0.666666,10
1,1.539999,-5.898148,-0.6111106,10
1,1.559999,-5.833333,-0.5648148,10
1,1.579999,-5.777778,-0.5092594,10
1,1.599999,-5.722223,-0.4537037,10
1,1.619999,-5.666667,-0.416666,10
1,1.639999,-5.62037,-0.3796297,10
1,1.659999,-5.574074,-0.3518519,10
1,1.679999,-5.537036,-0.324074,10
1,1.699999,-5.509259,-0.3055549,10
1,1.719999,-5.472223,-0.2777773,10
1,1.739999,-5.444445,-0.2499995,10
