Trial,time,PositionX,PositionY,PositionZ,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.02,-7.961884,0.1111698,10,0.1900239,1,5,5
1,0.04,-7.91424,0.1111698,10,0.1899114,1,5,5
1,0.06,-7.845421,0.1164639,10,0.2014048,1,5,5
1,0.08,-7.829539,0.1164639,10,0.1973573,1,5,5
1,0.09999999,-7.80307,0.1164639,10,0.1934016,1,5,5
1,0.12,-7.792483,0.1164639,10,0.1936305,1,5,5
1,0.14,-7.776602,0.1164639,10,0,1,5,5
1,0.16,-7.755426,0.1111698,10,0.1908783,1,5,5
1,0.18,-7.734251,0.1111698,10,0,1,5,5
1,0.2,-7.728957,0.1058763,10,0,1,5,5
1,0.22,-7.718369,0.1005822,10,0,1,5,5
1,0.24,-7.707782,0.09528875,10,0,1,5,5
1,0.26,-7.697195,0.08470118,10,0,1,5,5
1,0.28,-7.676019,0.07411301,10,0.1572356,1,5,5
1,0.3,-7.660138,0.06352544,10,0,1,5,5
1,0.32,-7.644256,0.05293787,10,0,1,5,5
1,0.34,-7.633668,0.04235029,10,0,1,5,5
1,0.36,-7.623081,0.0370568,10,0.1282802,1,5,5
1,0.38,-7.617787,0.02646923,10,0,1,5,5
1,0.4,-7.6072,0.02117515,10,0,1,5,5
1,0.42,-7.596612,0.01058757,10,0,1,5,5
1,0.4400001,-7.580731,0,10,0,1,5,5
1,0.4600001,-7.564849,-0.01058757,10,0,1,5,5
1,0.4800001,-7.538381,-0.02117515,10,0.07992946,1,5,5
1,0.5000001,-7.522499,-0.03176272,10,0,1,5,5
1,0.52,-7.464267,-0.06352574,10,0.05434475,1,5,5
1,0.54,-7.432504,-0.08999467,10,0.05092045,1,5,5
1,0.56,-7.358391,-0.1270515,10,0.0370316,1,5,5
1,0.58,-7.305453,-0.1588142,10,0,1,5,5
1,0.6,-7.263103,-0.1852831,10,0.01006034,1,5,5
1,0.6199999,-7.220752,-0.2117524,10,0.02814135,1,5,5
1,0.6399999,-7.183695,-0.2382213,10,0,1,5,5
1,0.6599999,-7.16252,-0.2541026,10,0,1,5,5
1,0.6799999,-7.12017,-0.2911595,10,0.02232758,1,5,5
1,0.6999999,-7.0937,-0.3176284,10,0,1,5,5
1,0.7199998,-7.072525,-0.3388035,10,0.04778973,1,5,5
1,0.7399998,-7.008999,-0.3864479,10,0.07607335,1,5,5
1,0.7599998,-6.982531,-0.4076231,10,0,1,5,5
1,0.7799998,-6.94018,-0.4552674,10,0,1,5,5
1,0.7999998,-6.919005,-0.4764426,10,0,1,5,5
1,0.8199998,-6.871361,-0.5187929,10,0.1497269,1,5,5
1,0.8399997,-6.855479,-0.5399683,10,0,1,5,5
1,0.8599997,-6.823717,-0.5770248,10,0,1,5,5
1,0.8799997,-6.802542,-0.603494,10,0,1,5,5
1,0.8999997,-6.781366,-0.629963,10,0,1,5,5
1,0.9199997,-6.754897,-0.6617257,10,0,1,5,5
1,0.9399996,-6.71784,-0.6987825,10,0.3429631,1,5,5
1,0.9599996,-6.696665,-0.7252514,10,0,1,5,5
1,0.9799996,-6.659609,-0.7570142,10,0,1,5,5
1,0.9999996,-6.638433,-0.767602,10,0,1,5,5
1,1.02,-6.638433,-0.767602,10,0,1,5,5
1,1.04,-6.633139,-0.767602,10,0,1,5,5
1,1.06,-6.622552,-0.7252514,10,0,1,5,5
1,1.08,-6.617258,-0.6881949,10,0,1,5,5
1,1.1,-6.60667,-0.6140816,10,0,1,5,5
1,1.12,-6.580202,-0.4605612,10,0.1769849,1,5,5
1,1.14,-6.548439,-0.301747,10,0,1,5,5
