Trial,time,PositionX,PositionY,PositionZ
1,0.02,-7.89611,0.0677979,10
1,0.04,-7.737961,0.4745775,10
1,0.06,-7.602406,1.084747,10
1,0.08,-7.500739,1.389831,10
1,0.09999999,-7.387776,1.536724,10
1,0.12,-7.331295,1.559323,10
1,0.14,-7.308702,1.559323,10
1,0.16,-7.28611,1.548024,10
1,0.18,-7.263517,1.502826,10
1,0.2,-7.207036,1.310736,10
1,0.22,-7.116665,1.028249,10
1,0.24,-7.048887,0.6327695,10
1,0.26,-6.992406,0.2259898,10
1,0.28,-6.913332,-0.3502813,10
1,0.3,-6.856851,-0.9717506,10
1,0.4600001,-6.834258,-2.723163,10
1,0.4800001,-6.811665,-2.836158,10
1,0.5000001,-6.789073,-2.858756,10
1,0.54,-6.777776,-2.858756,10
1,0.56,-6.755184,-2.802259,10
1,0.58,-6.721295,-2.621468,10
1,0.6,-6.619628,-2.282485,10
1,0.6199999,-6.495369,-1.78531,10
1,0.6399999,-6.224258,-1.062146,10
1,0.6599999,-5.919258,-0.2711853,10
1,0.6799999,-5.693333,0.3615832,10
1,0.6999999,-5.45611,1.01695,10
1,0.7199998,-5.320555,1.435029,10
1,0.7399998,-5.162405,1.909605,10
1,0.7599998,-5.060739,2.158194,10
1,0.7799998,-4.947777,2.474577,10
1,0.7999998,-4.812222,2.711865,10
1,0.8199998,-4.676666,2.937855,10
1,0.8399997,-4.586295,3.073447,10
1,0.8599997,-4.507222,3.152543,10
1,0.8799997,-4.450739,3.175142,10
1,0.8999997,-4.416851,3.175142,10
1,0.9199997,-4.394258,3.175142,10
1,0.9399996,-4.360369,3.118645,10
1,0.9599996,-4.32648,3.02825,10
1,0.9799996,-4.224814,2.677967,10
1,0.9999996,-4.077962,2.22599,10
1,1.02,-3.93111,1.638419,10
1,1.04,-3.829444,1.129944,10
1,1.06,-3.795555,0.7231647,10
1,1.08,-3.784258,0.3276849,10
1,1.1,-3.727777,-0.3163829,10
1,1.12,-3.671295,-0.9378523,10
1,1.14,-3.614814,-1.514123,10
1,1.159999,-3.569628,-2.011298,10
1,1.179999,-3.547036,-2.38418,10
1,1.199999,-3.490555,-2.666666,10
1,1.219999,-3.44537,-2.881355,10
1,1.239999,-3.400184,-3.062146,10
1,1.259999,-3.388888,-3.175141,10
1,1.279999,-3.366295,-3.242937,10
1,1.299999,-3.332406,-3.276835,10
1,1.319999,-3.309814,-3.355932,10
1,1.339999,-3.253333,-3.468925,10
1,1.359999,-3.174258,-3.627119,10
1,1.379999,-3.083889,-3.77401,10
1,1.399999,-3.027406,-3.841807,10
1,1.419999,-2.959629,-3.887005,10
1,1.439999,-2.880555,-3.932203,10
1,1.459999,-2.744999,-3.9887,10
1,1.479999,-2.473889,-4.033898,10
1,1.499999,-2.281851,-4.067796,10
1,1.519999,-2.180184,-4.067796,10
1,1.539999,-2.089814,-4.056497,10
1,1.559999,-1.999444,-4,10
1,1.579999,-1.909073,-3.920903,10
1,1.599999,-1.818703,-3.807909,10
1,1.619999,-1.717036,-3.627119,10
1,1.639999,-1.592778,-3.322034,10
1,1.659999,-1.491111,-2.994349,10
1,1.679999,-1.40074,-2.655366,10
1,1.699999,-1.355555,-2.158191,10
1,1.719999,-1.321666,-1.604519,10
1,1.739999,-1.276481,-1.118643,10
1,1.759999,-1.22,-0.5536711,10
1,1.779999,-1.186111,-0.1016939,10
1,1.799999,-1.118333,0.4406792,10
1,1.819999,-1.050556,0.8700579,10
1,1.839999,-0.9601845,1.344634,10
1,1.859999,-0.8924068,1.751413,10
1,1.879999,-0.8585179,1.943504,10
1,1.899999,-0.813333,2.112995,10
1,1.919999,-0.7907397,2.192091,10
1,1.939999,-0.7342587,2.316385,10
1,1.959999,-0.666481,2.451978,10
1,1.979999,-0.5874066,2.587572,10
1,1.999999,-0.48574,2.723165,10
1,2.019999,-0.3953701,2.81356,10
1,2.039999,-0.3049996,2.881357,10
1,2.059999,-0.2146292,2.915256,10
1,2.079999,-0.1581476,2.915256,10
1,2.099999,-0.09036987,2.926555,10
1,2.119999,-0.01129548,2.937855,10
1,2.139999,0.04518554,2.937855,10
1,2.159999,0.0677777,2.937855,10
1,2.179999,0.1468521,2.836159,10
1,2.199999,0.2485186,2.621469,10
1,2.219999,0.4631484,2.0226,10
1,2.239999,0.7794448,1.163843,10
1,2.259999,1.12963,-0.01129836,10
1,2.279999,1.355555,-1.141242,10
1,2.299999,1.457222,-2.203389,10
1,2.319999,1.558888,-2.97175,10
1,2.339998,1.626666,-3.638417,10
1,2.359998,1.649259,-4.033898,10
1,2.379998,1.694444,-4.451976,10
1,2.399998,1.717037,-4.700564,10
1,2.539998,1.728333,-2.214688,10
1,2.559998,1.784815,-1.299434,10
1,2.579998,1.886481,-0.4519761,10
1,2.599998,1.988148,0.1807916,10
1,2.619998,2.101111,0.7344645,10
1,2.639998,2.191482,1.096046,10
1,2.659998,2.270555,1.22034,10
1,2.679998,2.383519,1.355933,10
1,2.699998,2.519074,1.446329,10
1,2.719998,2.699815,1.559323,10
1,2.739998,2.801481,1.593221,10
1,2.759998,2.869259,1.615821,10
1,2.799998,2.903148,1.604521,10
1,2.819998,2.948333,1.536724,10
1,2.839998,3.01611,1.41243,10
1,2.859998,3.106481,1.186442,10
1,2.879998,3.219445,0.7909614,10
1,2.899998,3.343704,0.2711874,10
1,2.919998,3.513149,-0.2485862,10
1,2.939998,3.693888,-0.8926541,10
1,2.959998,3.885926,-1.491524,10
1,2.979998,3.998888,-1.864406,10
1,2.999998,4.157037,-2.429378,10
1,3.019998,4.247407,-2.734463,10
1,3.039998,4.303888,-2.949152,10
1,3.059998,4.349073,-3.107344,10
1,3.079998,4.382962,-3.18644,10
1,3.099998,4.405554,-3.209039,10
1,3.159998,4.428148,-3.220339,10
1,3.179998,4.473333,-3.141242,10
1,3.199998,4.586297,-2.881355,10
1,3.219998,4.733149,-2.327683,10
1,3.239998,4.868704,-1.672315,10
1,3.259998,5.038148,-0.77966,10
1,3.279998,5.15111,-0.1920897,10
1,3.299998,5.264073,0.4067808,10
1,3.319998,5.354444,0.8587581,10
1,3.339998,5.444814,1.22034,10
1,3.359998,5.512592,1.446329,10
1,3.379997,5.569073,1.570622,10
1,3.399997,5.625554,1.706216,10
1,3.419997,5.67074,1.841809,10
1,3.439997,5.738517,2.000001,10
1,3.459997,5.817592,2.158194,10
1,3.479997,5.930555,2.338984,10
1,3.499997,6.020926,2.497177,10
1,3.519997,6.111296,2.644069,10
1,3.539997,6.190371,2.757063,10
1,3.559997,6.258148,2.858758,10
1,3.579997,6.303332,2.926555,10
1,3.599997,6.348518,2.994351,10
1,3.619997,6.393703,3.01695,10
1,3.639997,6.404999,3.02825,10
1,3.659997,6.416296,3.02825,10
1,3.679997,6.427592,3.02825,10
1,3.699997,6.450184,3.02825,10
1,3.739997,6.461481,2.983052,10
1,3.779997,6.472777,2.870058,10
1,3.819997,6.49537,2.632769,10
1,3.839997,6.517962,2.463278,10
1,3.859997,6.529259,2.305086,10
1,3.879997,6.563148,2.090397,10
1,3.899997,6.630926,1.81921,10
1,3.919997,6.664814,1.62712,10
1,3.939997,6.709999,1.378532,10
1,3.959997,6.845554,0.9943509,10
1,3.979997,6.913332,0.8022612,10
1,3.999997,7.003703,0.5310744,10
1,4.019997,7.048888,0.3502834,10
1,4.039997,7.094074,0.2259898,10
1,4.059997,7.139259,0.05649865,10
1,4.079997,7.173148,-0.09039462,10
1,4.099997,7.22963,-0.2146882,10
1,4.119997,7.263519,-0.3728804,10
1,4.139997,7.319999,-0.4971743,10
1,4.159997,7.353888,-0.6101686,10
1,4.179997,7.421666,-0.8248577,10
1,4.199997,7.489443,-1.005649,10
1,4.219997,7.557221,-1.129942,10
1,4.239997,7.602408,-1.254236,10
1,4.259997,7.636297,-1.355931,10
1,4.279997,7.670186,-1.446327,10
1,4.299997,7.704074,-1.514123,10
1,4.319997,7.726665,-1.548022,10
1,4.339997,7.737963,-1.58192,10
1,4.379997,7.760554,-1.615819,10
1,4.419997,7.771852,-1.661016,10
1,4.439997,7.783148,-1.672315,10
1,4.539997,7.794443,-1.694914,10
1,4.599997,7.805741,-1.717513,10
1,4.619997,7.83963,-1.751412,10
1,4.639997,7.884814,-1.807908,10
1,4.659997,7.952592,-1.875705,10

