Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.988354,-0.301747,10
test1,0.04,-7.903653,-0.3070408,10
test1,0.06,-7.813658,-0.3070408,10
test1,0.08,-7.670725,-0.2964532,10
test1,0.09999999,-7.517206,-0.2646902,10
test1,0.12,-7.416623,-0.2329275,10
test1,0.14,-7.257809,-0.1746956,10
test1,0.16,-7.141345,-0.1217577,10
test1,0.18,-6.977237,-0.04235059,10
test1,0.2,-6.871361,0.02646923,10
test1,0.22,-6.733722,0.137639,10
test1,0.24,-6.659609,0.2170461,10
test1,0.26,-6.585495,0.33351,10
test1,0.28,-6.553732,0.4076231,10
test1,0.3,-6.532557,0.5187929,10
test1,0.32,-6.532557,0.5823189,10
test1,0.34,-6.564321,0.6776071,10
test1,0.36,-6.601377,0.735839,10
test1,0.38,-6.649021,0.7781893,10
test1,0.4,-6.723135,0.8258337,10
test1,0.42,-6.797247,0.8417153,10
test1,0.4400001,-6.850185,0.8470088,10
test1,0.4600001,-6.929592,0.8311278,10
test1,0.4800001,-6.977237,0.8046585,10
test1,0.5000001,-7.051351,0.7411331,10
test1,0.52,-7.0937,0.6934887,10
test1,0.54,-7.157226,0.603494,10
test1,0.56,-7.188989,0.539968,10
test1,0.58,-7.220752,0.4287982,10
test1,0.6,-7.231339,0.3493911,10
test1,0.6199999,-7.231339,0.2329272,10
test1,0.6399999,-7.226046,0.1588142,10
test1,0.6599999,-7.204871,0.05293787,10
test1,0.6799999,-7.178401,-0.01588136,10
test1,0.6999999,-7.12017,-0.1164636,10
test1,0.7199998,-7.072525,-0.1746956,10
test1,0.7399998,-6.993118,-0.2646902,10
test1,0.7599998,-6.94018,-0.3176284,10
test1,0.7799998,-6.876654,-0.3705665,10
test1,0.7999998,-6.776072,-0.4446799,10
test1,0.8199998,-6.696665,-0.5029115,10
test1,0.8399997,-6.585495,-0.5770248,10
test1,0.8599997,-6.458443,-0.6458443,10
test1,0.8799997,-6.363155,-0.6987825,10
test1,0.8999997,-6.220222,-0.7781896,10
test1,0.9199997,-6.124934,-0.8205399,10
