Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.908947,-0.3388035,10
test1,0.04,-7.80307,-0.3388035,10
test1,0.06,-7.638962,-0.3070408,10
test1,0.08,-7.522499,-0.2805719,10
test1,0.09999999,-7.331922,-0.2223399,10
test1,0.12,-7.204871,-0.1694018,10
test1,0.14,-7.030175,-0.08470088,10
test1,0.16,-6.934886,-0.01058757,10
test1,0.18,-6.844892,0.09528875,10
test1,0.2,-6.807836,0.1746958,10
test1,0.22,-6.797247,0.2646905,10
test1,0.24,-6.807836,0.3229225,10
test1,0.26,-6.866067,0.3917414,10
test1,0.28,-6.924298,0.4287982,10
test1,0.3,-7.024881,0.4711485,10
test1,0.32,-7.088407,0.4817367,10
test1,0.34,-7.178401,0.4817367,10
test1,0.36,-7.241927,0.465855,10
test1,0.38,-7.310747,0.4182106,10
test1,0.4,-7.337216,0.3705662,10
test1,0.42,-7.358391,0.2911592,10
test1,0.4400001,-7.358391,0.2382213,10
test1,0.4600001,-7.358391,0.1535201,10
test1,0.4800001,-7.353097,0.08999467,10
test1,0.5000001,-7.331922,-0.005293787,10
test1,0.52,-7.305453,-0.0794071,10
test1,0.54,-7.263103,-0.1852831,10
test1,0.56,-7.220752,-0.2593964,10
test1,0.58,-7.141345,-0.3758603,10
test1,0.6,-7.077819,-0.4499736,10
test1,0.6199999,-6.956061,-0.5664372,10
test1,0.6399999,-6.855479,-0.6458443,10
test1,0.6599999,-6.696665,-0.7464266,10
test1,0.6799999,-6.585495,-0.8046585,10
test1,0.6999999,-6.394918,-0.8946532,10
test1,0.7199998,-6.257279,-0.9581786,10
test1,0.7399998,-6.045527,-1.048173,10
test1,0.7599998,-5.892006,-1.106405,10
test1,0.7799998,-5.659079,-1.185813,10
test1,0.7999998,-5.505558,-1.23875,10
test1,0.8199998,-5.272631,-1.318157,10
test1,0.8399997,-5.108523,-1.371095,10
test1,0.8599997,-4.870302,-1.429327,10
test1,0.8799997,-4.737957,-1.455797,10
test1,0.8999997,-4.526205,-1.471678,10
test1,0.9199997,-4.383271,-1.471678,10
test1,0.9399996,-4.176813,-1.471678,10
test1,0.9599996,-4.060349,-1.455797,10
test1,0.9799996,-3.949179,-1.41874,10
test1,0.9999996,-3.917417,-1.392271,10
test1,1.02,-3.906829,-1.365802,10
test1,1.04,-3.933298,-1.344627,10
test1,1.06,-4.007411,-1.302276,10
test1,1.08,-4.076231,-1.275807,10
test1,1.1,-4.192695,-1.254632,10
test1,1.12,-4.266808,-1.249338,10
test1,1.14,-4.356803,-1.26522,10
test1,1.159999,-4.415034,-1.296983,10
test1,1.179999,-4.489148,-1.355214,10
test1,1.199999,-4.536792,-1.402858,10
test1,1.219999,-4.605612,-1.48756,10
test1,1.239999,-4.642668,-1.551085,10
test1,1.259999,-4.695606,-1.662255,10
test1,1.279999,-4.732663,-1.736368,10
test1,1.299999,-4.801482,-1.852832,10
test1,1.319999,-4.859714,-1.932239,10
test1,1.339999,-4.960296,-2.048703,10
test1,1.359999,-5.039703,-2.12811,10
test1,1.379999,-5.161461,-2.223398,10
test1,1.399999,-5.251456,-2.281631,10
test1,1.419999,-5.399683,-2.361038,10
test1,1.439999,-5.494971,-2.403388,10
test1,1.459999,-5.643198,-2.451032,10
test1,1.479999,-5.733192,-2.466913,10
test1,1.499999,-5.876125,-2.472208,10
test1,1.519999,-5.96612,-2.472208,10
test1,1.539999,-6.087877,-2.472208,10
test1,1.559999,-6.167285,-2.466913,10
test1,1.579999,-6.289042,-2.440445,10
test1,1.599999,-6.368449,-2.424563,10
test1,1.619999,-6.484913,-2.3928,10
test1,1.639999,-6.553732,-2.376919,10
test1,1.659999,-6.643727,-2.345156,10
test1,1.679999,-6.701959,-2.329275,10
test1,1.699999,-6.78666,-2.302805,10
test1,1.719999,-6.850185,-2.292218,10
test1,1.739999,-6.945474,-2.271042,10
test1,1.759999,-6.998412,-2.255161,10
test1,1.779999,-7.046057,-2.228692,10
test1,1.799999,-7.056644,-2.212811,10
test1,1.819999,-7.056644,-2.181048,10
test1,1.839999,-7.051351,-2.159873,10
test1,1.859999,-7.024881,-2.122817,10
test1,1.879999,-6.982531,-2.091053,10
