Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.961884,-0.434092,10
test1,0.04,-7.861302,-0.4287982,10
test1,0.06,-7.702488,-0.4182106,10
test1,0.08,-7.591318,-0.4023293,10
test1,0.09999999,-7.42721,-0.3864479,10
test1,0.12,-7.321334,-0.3758603,10
test1,0.14,-7.157226,-0.3599787,10
test1,0.16,-7.051351,-0.3493911,10
test1,0.18,-6.892536,-0.3335097,10
test1,0.2,-6.78666,-0.328216,10
test1,0.22,-6.611964,-0.3123346,10
test1,0.24,-6.506088,-0.301747,10
test1,0.26,-6.331393,-0.2858657,10
test1,0.28,-6.214928,-0.269984,10
test1,0.3,-6.040233,-0.2488089,10
test1,0.32,-5.929063,-0.2329275,10
test1,0.34,-5.754367,-0.2064586,10
test1,0.36,-5.63261,-0.1905769,10
test1,0.38,-5.457915,-0.1588142,10
test1,0.4,-5.357331,-0.137639,10
test1,0.42,-5.203812,-0.1005822,10
test1,0.4400001,-5.103229,-0.07411331,10
test1,0.4600001,-4.949709,-0.04764438,10
test1,0.4800001,-4.85442,-0.03176272,10
test1,0.5000001,-4.7009,0,10
test1,0.52,-4.610905,0.02117515,10
test1,0.54,-4.467973,0.04764438,10
test1,0.56,-4.36739,0.06881952,10
test1,0.58,-4.224457,0.08470118,10
test1,0.6,-4.134463,0.09528875,10
test1,0.6199999,-4.002118,0.09528875,10
test1,0.6399999,-3.922711,0.09528875,10
test1,0.6599999,-3.822128,0.08999467,10
test1,0.6799999,-3.758603,0.0794071,10
test1,0.6999999,-3.679196,0.04764438,10
test1,0.7199998,-3.626257,0.02117515,10
test1,0.7399998,-3.552144,-0.03176272,10
test1,0.7599998,-3.509793,-0.07411331,10
test1,0.7799998,-3.451562,-0.1429328,10
test1,0.7999998,-3.419799,-0.1958707,10
test1,0.8199998,-3.388036,-0.2858657,10
test1,0.8399997,-3.382742,-0.3440973,10
test1,0.8599997,-3.382742,-0.4393858,10
test1,0.8799997,-3.403918,-0.4976177,10
test1,0.8999997,-3.456856,-0.5876124,10
test1,0.9199997,-3.493912,-0.6405506,10
test1,0.9399996,-3.573319,-0.7199576,10
test1,0.9599996,-3.631551,-0.767602,10
test1,0.9799996,-3.742721,-0.8417153,10
test1,0.9999996,-3.827422,-0.8893594,10
test1,1.02,-3.965061,-0.9422973,10
test1,1.04,-4.060349,-0.97406,10
test1,1.06,-4.219163,-1.000529,10
test1,1.08,-4.319746,-1.000529,10
test1,1.1,-4.467973,-1.000529,10
test1,1.12,-4.568555,-0.9899414,10
test1,1.14,-4.695606,-0.9475914,10
test1,1.159999,-4.764426,-0.9158283,10
test1,1.179999,-4.85442,-0.8417153,10
test1,1.199999,-4.902064,-0.7887772,10
test1,1.219999,-4.960296,-0.7040763,10
test1,1.239999,-4.992059,-0.6458443,10
test1,1.259999,-5.023822,-0.5558497,10
test1,1.279999,-5.029116,-0.4976177,10
test1,1.299999,-5.029116,-0.4129168,10
test1,1.319999,-5.013235,-0.3599787,10
test1,1.339999,-4.976178,-0.2805719,10
test1,1.359999,-4.928534,-0.2329275,10
test1,1.379999,-4.843833,-0.1535204,10
test1,1.399999,-4.780307,-0.1111698,10
test1,1.419999,-4.663843,-0.05293816,10
test1,1.439999,-4.573849,-0.01588136,10
test1,1.459999,-4.430916,0.02646923,10
test1,1.479999,-4.330334,0.04235029,10
test1,1.499999,-4.160932,0.05823195,10
test1,1.519999,-4.055056,0.05823195,10
test1,1.539999,-3.896241,0.05823195,10
test1,1.559999,-3.79566,0.04235029,10
test1,1.579999,-3.652726,0.01058757,10
test1,1.599999,-3.568026,-0.02117515,10
test1,1.619999,-3.451562,-0.0794071,10
test1,1.639999,-3.382742,-0.1217577,10
test1,1.659999,-3.292748,-0.1958707,10
test1,1.679999,-3.234515,-0.2541026,10
test1,1.699999,-3.160403,-0.3440973,10
test1,1.719999,-3.112758,-0.4076231,10
test1,1.739999,-3.043939,-0.5134991,10
test1,1.759999,-3.001589,-0.5876124,10
test1,1.779999,-2.938063,-0.6934887,10
test1,1.799999,-2.895712,-0.7623082,10
test1,1.819999,-2.826892,-0.8734781,10
test1,1.839999,-2.784542,-0.9475914,10
test1,1.859999,-2.715722,-1.058761,10
test1,1.879999,-2.662785,-1.132874,10
test1,1.899999,-2.593965,-1.244044,10
test1,1.919999,-2.541027,-1.318157,10
test1,1.939999,-2.46162,-1.429327,10
test1,1.959999,-2.408682,-1.498147,10
test1,1.979999,-2.323981,-1.598729,10
test1,1.999999,-2.255162,-1.672843,10
