Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.94071,-0.04764438,10
test1,0.04,-7.861302,-0.03176272,10
test1,0.06,-7.771308,-0.01058757,10
test1,0.08,-7.638962,0.01588166,10
test1,0.09999999,-7.49603,0.0370568,10
test1,0.12,-7.406035,0.05293787,10
test1,0.14,-7.31604,0.06352544,10
test1,0.16,-7.173107,0.08999467,10
test1,0.18,-7.077819,0.1058763,10
test1,0.2,-6.94018,0.1270515,10
test1,0.22,-6.844892,0.1429325,10
test1,0.24,-6.712546,0.1588142,10
test1,0.26,-6.622552,0.1746958,10
test1,0.28,-6.490207,0.1905769,10
test1,0.3,-6.405506,0.2011645,10
test1,0.32,-6.278454,0.2117521,10
test1,0.34,-6.156697,0.2170461,10
test1,0.36,-6.07729,0.2223396,10
test1,0.38,-6.00847,0.2223396,10
test1,0.4,-5.913181,0.2276337,10
test1,0.42,-5.849656,0.2276337,10
test1,0.4400001,-5.764955,0.2276337,10
test1,0.4600001,-5.712017,0.2276337,10
test1,0.4800001,-5.637904,0.2223396,10
test1,0.5000001,-5.59026,0.2170461,10
test1,0.52,-5.510853,0.2064586,10
test1,0.54,-5.436738,0.195871,10
test1,0.56,-5.383801,0.1905769,10
test1,0.58,-5.330863,0.1852834,10
test1,0.6,-5.240869,0.1799893,10
test1,0.6199999,-5.182636,0.1746958,10
test1,0.6399999,-5.087348,0.1694018,10
test1,0.6599999,-5.023822,0.1641083,10
test1,0.6799999,-4.928534,0.1535201,10
test1,0.6999999,-4.838539,0.1429325,10
test1,0.7199998,-4.775013,0.132345,10
test1,0.7399998,-4.722075,0.1270515,10
test1,0.7599998,-4.642668,0.1164639,10
test1,0.7799998,-4.58973,0.1058763,10
test1,0.7999998,-4.520911,0.08999467,10
test1,0.8199998,-4.473267,0.0794071,10
test1,0.8399997,-4.404447,0.06352544,10
test1,0.8599997,-4.362097,0.05293787,10
test1,0.8799997,-4.303864,0.03176272,10
test1,0.8999997,-4.266808,0.01588166,10
test1,0.9199997,-4.21387,-0.005293787,10
test1,0.9399996,-4.182107,-0.02646893,10
test1,0.9599996,-4.139756,-0.05293816,10
test1,0.9799996,-4.113288,-0.07411331,10
test1,0.9999996,-4.076231,-0.105876,10
test1,1.02,-4.044468,-0.1429328,10
test1,1.04,-4.028586,-0.164108,10
test1,1.06,-4.017999,-0.1958707,10
test1,1.08,-4.002118,-0.2329275,10
test1,1.1,-3.996824,-0.2646902,10
test1,1.12,-3.996824,-0.3176284,10
test1,1.14,-4.002118,-0.3546849,10
test1,1.159999,-4.017999,-0.4076231,10
test1,1.179999,-4.033881,-0.4393858,10
test1,1.199999,-4.070938,-0.4817364,10
test1,1.219999,-4.129169,-0.5187929,10
test1,1.239999,-4.176813,-0.5452621,10
test1,1.259999,-4.224457,-0.5611435,10
test1,1.279999,-4.309159,-0.5876124,10
test1,1.299999,-4.372684,-0.5929062,10
test1,1.319999,-4.467973,-0.5929062,10
test1,1.339999,-4.542086,-0.5823186,10
test1,1.359999,-4.642668,-0.5505559,10
test1,1.379999,-4.711488,-0.524087,10
test1,1.399999,-4.796189,-0.4764426,10
test1,1.419999,-4.843833,-0.4393858,10
test1,1.439999,-4.902064,-0.3705665,10
test1,1.459999,-4.928534,-0.328216,10
test1,1.479999,-4.944415,-0.2488089,10
test1,1.499999,-4.944415,-0.1958707,10
test1,1.519999,-4.92324,-0.1164636,10
test1,1.539999,-4.875596,-0.03705651,10
