Trial,time,PositionX,PositionY,PositionZ,frameDiff,
1,0.02,-7.956591,-0.1217577,10,,
1,0.04,-7.908947,-0.1270515,10,,
1,0.06,-7.829539,-0.1429328,10,,
1,0.08,-7.771308,-0.1535204,10,,
1,0.09999999,-7.681313,-0.1694018,10,,
1,0.12,-7.623081,-0.1799893,10,0.2494838,
1,0.14,-7.533087,-0.1905769,10,,
1,0.16,-7.469561,-0.1958707,10,,
1,0.18,-7.374272,-0.2011648,10,0.23775,
1,0.2,-7.300159,-0.2011648,10,,
1,0.22,-7.188989,-0.2011648,10,,
1,0.24,-7.114876,-0.1958707,10,0.2907263,
1,0.26,-7.003706,-0.1799893,10,,
1,0.28,-6.924298,-0.1694018,10,,
1,0.3,-6.839598,-0.164108,10,,
1,0.32,-6.71784,-0.1482266,10,0.285522,
1,0.34,-6.601377,-0.137639,10,,
1,0.36,-6.516675,-0.1323453,10,,
1,0.38,-6.405506,-0.1270515,10,0.3098122,
1,0.4,-6.326099,-0.1270515,10,,
1,0.42,-6.214928,-0.1217577,10,,
1,0.4400001,-6.140815,-0.1217577,10,,
1,0.4600001,-6.034939,-0.1164636,10,0.2467731,
1,0.4800001,-5.960826,-0.1111698,10,,
1,0.5000001,-5.865537,-0.1111698,10,,
1,0.52,-5.791424,-0.1111698,10,,
1,0.54,-5.696136,-0.105876,10,0.2440324,
1,0.56,-5.63261,-0.105876,10,,
1,0.58,-5.569084,-0.105876,10,,
1,0.6,-5.463209,-0.1005822,10,,
1,0.6199999,-5.357331,-0.1005822,10,0.1647036,
1,0.6399999,-5.288512,-0.09528846,10,,
1,0.6599999,-5.214399,-0.09528846,10,,
1,0.6799999,-5.108523,-0.08999467,10,,
1,0.6999999,-4.997354,-0.08999467,10,0.149451,
1,0.7199998,-4.92324,-0.08999467,10,,
1,0.7399998,-4.822657,-0.08999467,10,,
1,0.7599998,-4.753838,-0.08999467,10,,
1,0.7799998,-4.690312,-0.08999467,10,0.07354359,
1,0.7999998,-4.616199,-0.1005822,10,,
1,0.8199998,-4.563261,-0.1164636,10,,
1,0.8399997,-4.542086,-0.1323453,10,,
1,0.8599997,-4.510324,-0.1588142,10,,
1,0.8799997,-4.489148,-0.1799893,10,,
1,0.8999997,-4.462678,-0.2170461,10,0.1762119,
1,0.9199997,-4.441504,-0.2435151,10,,
1,0.9399996,-4.40974,-0.2911595,10,,
1,0.9599996,-4.393859,-0.3229222,10,,
1,0.9799996,-4.36739,-0.3546849,10,,
1,0.9999996,-4.335627,-0.4023293,10,,
1,1.02,-4.303864,-0.4605612,10,,
1,1.04,-4.272102,-0.5029115,10,0.3750018,
1,1.06,-4.245633,-0.5452621,10,,
1,1.08,-4.203282,-0.6140816,10,,
1,1.1,-4.155638,-0.6776071,10,0.4977303,
1,1.12,-4.129169,-0.7146639,10,0.5151339,
1,1.14,-4.086819,-0.7781896,10,0.5317054,
1,1.159999,-4.055056,-0.8152461,10,0.5232311,
1,1.179999,-4.028586,-0.8575967,10,0.5109,
1,1.199999,-3.980942,-0.9052408,10,0.460835,
1,1.219999,-3.943886,-0.9475914,10,0.4152854,
1,1.239999,-3.917417,-0.9687662,10,0.3817419,
1,1.259999,-3.885654,-0.9952354,10,,
1,1.279999,-3.869772,-1.005823,10,,
1,1.299999,-3.853891,-1.016411,10,,
1,1.319999,-3.848597,-1.021704,10,,
1,1.339999,-3.848597,-1.021704,10,,
1,1.359999,-3.83801,-1.032292,10,,
1,1.379999,-3.832716,-1.032292,10,,
1,1.399999,-3.832716,-1.037586,10,,
1,1.419999,-3.827422,-1.037586,10,,
1,1.439999,-3.816834,-1.04288,10,,
1,1.459999,-3.806247,-1.053467,10,,
1,1.479999,-3.785071,-1.074643,10,,
1,1.499999,-3.763896,-1.095818,10,,
1,1.519999,-3.758603,-1.111699,10,,
1,1.539999,-3.753309,-1.12758,10,,
1,1.559999,-3.748015,-1.159343,10,,
1,1.579999,-3.748015,-1.175225,10,,
1,1.599999,-3.774484,-1.206988,10,0.1327679,
1,1.619999,-3.806247,-1.222869,10,,
1,1.639999,-3.864478,-1.254632,10,0.1474683,
1,1.659999,-3.922711,-1.281101,10,,
1,1.679999,-3.965061,-1.302276,10,0.1538857,
1,1.699999,-4.023293,-1.318157,10,,
1,1.719999,-4.070938,-1.328745,10,0.1380452,
1,1.739999,-4.129169,-1.334039,10,,
1,1.759999,-4.166226,-1.339333,10,0.1249379,
1,1.779999,-4.21387,-1.339333,10,,
1,1.799999,-4.240339,-1.328745,10,,
1,1.819999,-4.277396,-1.302276,10,0.1101571,
1,1.839999,-4.303864,-1.286395,10,,
1,1.859999,-4.319746,-1.26522,10,0.1288034,
1,1.879999,-4.351509,-1.228163,10,,
1,1.899999,-4.377978,-1.185813,10,0.121872,
1,1.919999,-4.393859,-1.15405,10,,
1,1.939999,-4.404447,-1.106405,10,,
1,1.959999,-4.40974,-1.069348,10,0.1392589,
1,1.979999,-4.420328,-1.005823,10,,
1,1.999999,-4.420328,-0.9634727,10,0.1349667,
1,2.019999,-4.420328,-0.899947,10,,
1,2.039999,-4.420328,-0.8523029,10,0.1292389,
1,2.059999,-4.420328,-0.7834834,10,,
1,2.079999,-4.40974,-0.7305452,10,0.09015036,
1,2.099999,-4.383271,-0.6511381,10,,
1,2.119999,-4.356803,-0.5876124,10,0.06374557,
1,2.139999,-4.309159,-0.4923239,10,,
1,2.159999,-4.272102,-0.4287982,10,0.007486587,
1,2.179999,-4.203282,-0.3335097,10,,
1,2.199999,-4.155638,-0.2752778,10,0.08810665,
1,2.219999,-4.070938,-0.1905769,10,,
1,2.239999,-4.012705,-0.1429328,10,0.1526963,
1,2.259999,-3.912123,-0.0794071,10,,
1,2.279999,-3.843304,-0.03705651,10,,
1,2.299999,-3.742721,0.005294085,10,0.2444345,
1,2.319999,-3.668607,0.02117515,10,,
1,2.339998,-3.599789,0.03176272,10,,
1,2.359998,-3.478031,0.03176272,10,0.2594504,
1,2.379998,-3.350979,0.01588166,10,,
1,2.399998,-3.271572,0,10,0.256135,
1,2.419998,-3.192165,-0.02117515,10,,
1,2.439998,-3.065114,-0.06352574,10,,
1,2.459998,-2.922181,-0.1217577,10,0.1849045,
1,2.479998,-2.826892,-0.164108,10,,
1,2.499998,-2.736898,-0.2117524,10,0.1648746,
1,2.519998,-2.61514,-0.2911595,10,,
1,2.539998,-2.546321,-0.3493911,10,0.1366173,
1,2.559998,-2.451033,-0.4605612,10,0.1567717,
1,2.579998,-2.376919,-0.5823186,10,,
1,2.599998,-2.345156,-0.6723133,10,0.09761343,
1,2.619998,-2.297512,-0.8152461,10,0.1412562,
1,2.639998,-2.276336,-0.9158283,10,,
1,2.659998,-2.255162,-1.069348,10,0.05213774,
1,2.679998,-2.244574,-1.169931,10,,
1,2.699998,-2.233986,-1.323451,10,0.04880695,
1,2.719998,-2.223399,-1.429327,10,,
1,2.739998,-2.207518,-1.582848,10,0.1050799,
1,2.759998,-2.191636,-1.678137,10,,
1,2.779998,-2.149285,-1.821069,10,0.1995572,
1,2.799998,-2.112229,-1.90577,10,,
1,2.819998,-2.064584,-1.985177,10,0.2565722,
1,2.839998,-1.97459,-2.085759,10,,
1,2.859998,-1.895183,-2.154579,10,,
1,2.879998,-1.757543,-2.228692,10,0.2396869,
1,2.899998,-1.593436,-2.281631,10,,
1,2.919998,-1.466384,-2.308099,10,0.170474,
