Trial,time,PositionX,PositionY,PositionZ
1,0.02,-7.919534,-0.1746956,10
1,0.04,-7.76072,-0.1958707,10
1,0.06,-7.64955,-0.2064586,10
1,0.08,-7.45368,-0.2117524,10
1,0.09999999,-7.310747,-0.2117524,10
1,0.12,-7.098995,-0.1746956,10
1,0.14,-6.950768,-0.137639,10
1,0.16,-6.754897,-0.05823195,10
1,0.18,-6.633139,0.01058757,10
1,0.2,-6.474325,0.1429325,10
1,0.22,-6.384331,0.2488089,10
1,0.24,-6.283748,0.4076231,10
1,0.26,-6.225516,0.5134994,10
1,0.28,-6.14611,0.6881946,10
1,0.3,-6.093172,0.7993644,10
1,0.32,-6.00847,0.9581786,10
1,0.34,-5.939651,1.064055,10
1,0.36,-5.817893,1.201694,10
1,0.38,-5.738486,1.286395,10
1,0.4,-5.59026,1.381683,10
1,0.42,-5.473796,1.434621,10
1,0.4400001,-5.277925,1.492853,10
1,0.4600001,-5.140286,1.508735,10
1,0.4800001,-4.92324,1.508735,10
1,0.5000001,-4.780307,1.498147,10
1,0.52,-4.557968,1.424034,10
1,0.54,-4.441504,1.371096,10
1,0.56,-4.314453,1.249338,10
1,0.58,-4.245633,1.148756,10
1,0.6,-4.182107,0.989942,10
1,0.6199999,-4.166226,0.8575964,10
1,0.6399999,-4.176813,0.6458443,10
1,0.6599999,-4.192695,0.4870301,10
1,0.6799999,-4.245633,0.2435154,10
1,0.6999999,-4.293277,0.0794071,10
1,0.7199998,-4.351509,-0.164108,10
1,0.7399998,-4.383271,-0.3335097,10
1,0.7599998,-4.415034,-0.5770248,10
1,0.7799998,-4.430916,-0.7305452,10
1,0.7999998,-4.43621,-0.9581786,10
1,0.8199998,-4.43621,-1.095818,10
1,0.8399997,-4.388566,-1.275807,10
1,0.8599997,-4.335627,-1.381683,10
1,0.8799997,-4.203282,-1.535204,10
1,0.8999997,-4.097406,-1.619904,10
1,0.9199997,-3.922711,-1.709899,10
1,0.9399996,-3.779778,-1.762837,10
1,0.9599996,-3.54685,-1.815775,10
1,0.9799996,-3.409211,-1.836951,10
1,0.9999996,-3.181577,-1.842244,10
1,1.02,-3.028057,-1.842244,10
1,1.04,-2.832186,-1.826363,10
1,1.06,-2.710429,-1.810482,10
1,1.08,-2.57279,-1.784012,10
1,1.1,-2.493383,-1.757544,10
1,1.12,-2.429857,-1.725781,10
1,1.14,-2.424563,-1.715193,10
1,1.159999,-2.435151,-1.709899,10
1,1.179999,-2.456326,-1.704605,10
1,1.199999,-2.514558,-1.704605,10
1,1.219999,-2.57279,-1.704605,10
1,1.239999,-2.678666,-1.715193,10
1,1.259999,-2.758073,-1.736368,10
1,1.279999,-2.879831,-1.784012,10
1,1.299999,-2.959238,-1.826363,10
1,1.319999,-3.080996,-1.916358,10
1,1.339999,-3.144521,-1.985177,10
1,1.359999,-3.218634,-2.106935,10
1,1.379999,-3.255691,-2.196929,10
1,1.399999,-3.276866,-2.345156,10
1,1.419999,-3.276866,-2.451032,10
1,1.439999,-3.250397,-2.61514,10
1,1.459999,-3.208047,-2.72631,10
1,1.479999,-3.112758,-2.890418,10
