Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.87189,-0.3070408,10
test1,0.04,-7.596612,-0.3070408,10
test1,0.06,-7.374272,-0.2911595,10
test1,0.08,-7.019588,-0.2488089,10
test1,0.09999999,-6.754897,-0.2011648,10
test1,0.12,-6.363155,-0.1164636,10
test1,0.14,-6.11964,-0.05293816,10
test1,0.16,-5.78613,0.04235029,10
test1,0.18,-5.622023,0.1005822,10
test1,0.2,-5.447327,0.1588142,10
test1,0.22,-5.389094,0.1852834,10
test1,0.24,-5.373213,0.1905769,10
test1,0.26,-5.373213,0.1852834,10
test1,0.28,-5.415564,0.1429325,10
test1,0.3,-5.463209,0.09528875,10
test1,0.32,-5.547909,-0.005293787,10
test1,0.34,-5.616729,-0.08999467,10
test1,0.36,-5.717311,-0.2329275,10
test1,0.38,-5.78613,-0.3493911,10
test1,0.4,-5.876125,-0.5293807,10
test1,0.42,-5.923769,-0.6617257,10
test1,0.4400001,-5.955532,-0.8575967,10
test1,0.4600001,-5.955532,-0.9846476,10
test1,0.4800001,-5.886713,-1.159343,10
test1,0.5000001,-5.796718,-1.26522,10
test1,0.52,-5.59026,-1.397564,10
test1,0.54,-5.426151,-1.450503,10
test1,0.56,-5.097935,-1.519322,10
test1,0.58,-4.870302,-1.540497,10
test1,0.6,-4.494442,-1.551085,10
test1,0.6199999,-4.219163,-1.545791,10
test1,0.6399999,-3.83801,-1.514028,10
test1,0.6599999,-3.610376,-1.503441,10
test1,0.6799999,-3.260985,-1.46109,10
test1,0.6999999,-3.070407,-1.434621,10
test1,0.7199998,-2.83748,-1.397564,10
test1,0.7399998,-2.715722,-1.37639,10
test1,0.7599998,-2.599259,-1.360508,10
test1,0.7799998,-2.57279,-1.360508,10
test1,0.7999998,-2.567496,-1.360508,10
test1,0.8199998,-2.567496,-1.365802,10
test1,0.8399997,-2.567496,-1.381683,10
test1,0.8599997,-2.567496,-1.392271,10
test1,0.8799997,-2.567496,-1.402858,10
test1,0.8999997,-2.567496,-1.413446,10
test1,0.9199997,-2.567496,-1.424034,10
test1,0.9399996,-2.567496,-1.429327,10
test1,0.9599996,-2.567496,-1.445209,10
test1,0.9799996,-2.562203,-1.455797,10
test1,0.9999996,-2.556908,-1.476972,10
test1,1.02,-2.551615,-1.498147,10
test1,1.04,-2.535733,-1.535204,10
test1,1.06,-2.525146,-1.566967,10
test1,1.08,-2.509264,-1.625198,10
test1,1.1,-2.50397,-1.667549,10
test1,1.12,-2.493383,-1.746956,10
test1,1.14,-2.493383,-1.799894,10
test1,1.159999,-2.488089,-1.90577,10
test1,1.179999,-2.488089,-1.979884,10
test1,1.199999,-2.482795,-2.112228,10
test1,1.219999,-2.466914,-2.202224,10
test1,1.239999,-2.429857,-2.329275,10
test1,1.259999,-2.387506,-2.429857,10
test1,1.279999,-2.286925,-2.551615,10
test1,1.299999,-2.186342,-2.631022,10
test1,1.319999,-1.990471,-2.715722,10
test1,1.339999,-1.831657,-2.76866,10
test1,1.359999,-1.540498,-2.83748,10
test1,1.379999,-1.349921,-2.858655,10
test1,1.399999,-1.08523,-2.885124,10
test1,1.419999,-0.9264159,-2.895712,10
test1,1.439999,-0.7358394,-2.927475,10
test1,1.459999,-0.6299624,-2.943357,10
test1,1.479999,-0.5082055,-2.985706,10
test1,1.499999,-0.4446796,-3.017469,10
test1,1.519999,-0.3705662,-3.086289,10
test1,1.539999,-0.3335096,-3.139227,10
test1,1.559999,-0.3017472,-3.234516,10
test1,1.579999,-0.3017472,-3.292748,10
test1,1.599999,-0.3388039,-3.372155,10
test1,1.619999,-0.3970355,-3.414505,10
test1,1.639999,-0.5240867,-3.430386,10
test1,1.659999,-0.6140807,-3.414505,10
test1,1.679999,-0.7199576,-3.324511,10
test1,1.699999,-0.7570137,-3.245103,10
test1,1.719999,-0.762308,-3.112758,10
test1,1.739999,-0.7358394,-3.001588,10
test1,1.759999,-0.6670197,-2.853361,10
test1,1.779999,-0.6034938,-2.758073,10
test1,1.799999,-0.4764426,-2.625728,10
test1,1.819999,-0.386448,-2.556908,10
test1,1.839999,-0.2382213,-2.477501,10
test1,1.859999,-0.1482267,-2.451032,10
test1,1.879999,-0.03176296,-2.440445,10
test1,1.899999,0.01588118,-2.440445,10
test1,1.919999,0.03176235,-2.445738,10
test1,1.939999,0.03176235,-2.456326,10
test1,1.959999,-0.02117551,-2.46162,10
test1,1.979999,-0.08999394,-2.451032,10
test1,1.999999,-0.243515,-2.3928,10
test1,2.019999,-0.3758594,-2.323981,10
test1,2.039999,-0.5981995,-2.175754,10
test1,2.059999,-0.730545,-2.069878,10
test1,2.079999,-0.905241,-1.874007,10
test1,2.099999,-1.011116,-1.720487,10
test1,2.119999,-1.143462,-1.455797,10
test1,2.139999,-1.212282,-1.270513,10
test1,2.159999,-1.265219,-0.9793541,10
test1,2.179999,-1.270514,-0.7781896,10
test1,2.199999,-1.249337,-0.465855,10
test1,2.219999,-1.1964,-0.2593964,10
test1,2.239999,-1.090523,0.02646923,10
test1,2.259999,-0.995235,0.2064586,10
test1,2.279999,-0.8152465,0.4340923,10
test1,2.299999,-0.6617254,0.5982,10
test1,2.319999,-0.4287984,0.7887769,10
test1,2.339998,-0.2488081,0.8946532,10
test1,2.359998,0.05293847,1.053467,10
test1,2.379998,0.2382213,1.122287,10
test1,2.399998,0.5505559,1.201694,10
test1,2.419998,0.7676023,1.249338,10
test1,2.439998,1.106406,1.281101,10
test1,2.459998,1.328746,1.281101,10
test1,2.479998,1.656962,1.259926,10
test1,2.499998,1.868714,1.222869,10
test1,2.519998,2.165166,1.132874,10
test1,2.539998,2.355744,1.053467,10
test1,2.559998,2.609847,0.8946532,10
test1,2.579998,2.747486,0.7728958,10
test1,2.599998,2.932769,0.5770248,10
test1,2.619998,3.043938,0.4235047,10
test1,2.639998,3.139228,0.1799893,10
test1,2.659998,3.176284,-0.01058757,10
test1,2.679998,3.181577,-0.269984,10
test1,2.699998,3.17099,-0.4499736,10
test1,2.719998,3.123345,-0.7464266,10
test1,2.739998,3.080996,-0.93171,10
test1,2.759998,3.001589,-1.191106,10
test1,2.779998,2.94865,-1.365802,10
test1,2.799998,2.895711,-1.625198,10
test1,2.819998,2.885124,-1.789306,10
test1,2.839998,2.901006,-2.01694,10
test1,2.859998,2.953944,-2.133404,10
test1,2.879998,3.096877,-2.292218,10
test1,2.899998,3.229222,-2.382213,10
test1,2.919998,3.446267,-2.46162,10
test1,2.939998,3.626258,-2.50397,10
test1,2.959998,3.906829,-2.519852,10
test1,2.979998,4.092113,-2.525146,10
test1,2.999998,4.351509,-2.514558,10
test1,3.019998,4.494442,-2.482795,10
test1,3.039998,4.637374,-2.413975,10
test1,3.059998,4.7009,-2.361038,10
test1,3.079998,4.732664,-2.281631,10
test1,3.099998,4.732664,-2.228692,10
test1,3.119998,4.690312,-2.133404,10
test1,3.139998,4.637374,-2.059291,10
test1,3.159998,4.531498,-1.953414,10
test1,3.179998,4.43621,-1.879301,10
test1,3.199998,4.28269,-1.778718,10
test1,3.219998,4.176814,-1.725781,10
test1,3.239998,4.018,-1.656961,10
test1,3.259998,3.92271,-1.625198,10
test1,3.279998,3.790366,-1.614611,10
test1,3.299998,3.721546,-1.619904,10
test1,3.319998,3.642139,-1.678137,10
test1,3.339998,3.5892,-1.741662,10
test1,3.359998,3.520381,-1.874007,10
test1,3.379997,3.483325,-1.979884,10
test1,3.399997,3.456856,-2.149285,10
test1,3.419997,3.456856,-2.249868,10
test1,3.439997,3.520381,-2.398094,10
test1,3.459997,3.5892,-2.46162,10
test1,3.479997,3.748015,-2.541027,10
test1,3.499997,3.88036,-2.572789,10
test1,3.519997,4.097407,-2.583377,10
test1,3.539997,4.229751,-2.572789,10
test1,3.559997,4.404446,-2.530439,10
test1,3.579997,4.494442,-2.466913,10
test1,3.599997,4.584437,-2.35045,10
test1,3.619997,4.616199,-2.255161,10
test1,3.639997,4.642668,-2.085759,10
test1,3.659997,4.642668,-1.953414,10
test1,3.679997,4.642668,-1.731074,10
test1,3.699997,4.626786,-1.566967,10
test1,3.719997,4.595024,-1.334039,10
test1,3.739997,4.557967,-1.175225,10
test1,3.759997,4.494442,-0.93171,10
test1,3.779997,4.43621,-0.7728958,10
test1,3.799997,4.319746,-0.5346745,10
test1,3.819997,4.245632,-0.3864479,10
test1,3.839997,4.118582,-0.164108,10
test1,3.859997,4.039175,-0.005293787,10
test1,3.879997,3.901535,0.2329272,10
test1,3.899997,3.822128,0.3705662,10
test1,3.919997,3.758602,0.6087875,10
test1,3.939997,3.753308,0.7676017,10
test1,3.959997,3.76919,1.00053,10
test1,3.979997,3.816834,1.159344,10
test1,3.999997,3.912122,1.371096,10
test1,4.019997,3.980942,1.48756,10
test1,4.039997,4.113288,1.619905,10
test1,4.059997,4.192695,1.678137,10
test1,4.079997,4.272102,1.736369,10
test1,4.099997,4.272102,1.736369,10
test1,4.119997,4.272102,1.736369,10
test1,4.139997,4.272102,1.736369,10
test1,4.159997,4.272102,1.736369,10
test1,4.179997,4.272102,1.736369,10
test1,4.199997,4.272102,1.736369,10
test1,4.219997,4.272102,1.736369,10
test1,4.239997,4.272102,1.736369,10
test1,4.259997,4.272102,1.736369,10
test1,4.279997,4.272102,1.736369,10
test1,4.299997,4.272102,1.736369,10
test1,4.319997,4.272102,1.736369,10
test1,4.339997,4.272102,1.736369,10
test1,4.359997,4.272102,1.736369,10
test1,4.379997,4.272102,1.736369,10
test1,4.399997,4.272102,1.736369,10
test1,4.419997,4.272102,1.736369,10
test1,4.439997,4.272102,1.746956,10
test1,4.459997,4.277396,1.805188,10
test1,4.479997,4.309158,1.937533,10
test1,4.499997,4.340922,2.043409,10
test1,4.519997,4.388565,2.191636,10
test1,4.539997,4.43621,2.302806,10
test1,4.559997,4.520911,2.456326,10
test1,4.579997,4.58973,2.567496,10
test1,4.599997,4.706193,2.721016,10
test1,4.619997,4.790895,2.816305,10
test1,4.639997,4.933827,2.94865,10
test1,4.659997,5.039703,3.01747,10
test1,4.679996,5.198517,3.096877,10
test1,4.699996,5.309688,3.139227,10
test1,4.719996,5.47909,3.149815,10
test1,4.739996,5.595553,3.149815,10
test1,4.759996,5.791424,3.107464,10
test1,4.779996,5.913181,3.054526,10
test1,4.799996,6.071995,2.953944,10
test1,4.819996,6.183166,2.863949,10
test1,4.839996,6.320806,2.705135,10
test1,4.859996,6.363156,2.599259,10
test1,4.879996,6.38433,2.440445,10
test1,4.899996,6.363156,2.334569,10
test1,4.919996,6.278454,2.202224,10
test1,4.939996,6.199047,2.143991,10
test1,4.959996,6.034939,2.096347,10
test1,4.979996,5.913181,2.096347,10
test1,4.999996,5.690842,2.149285,10
test1,5.019996,5.532028,2.207517,10
test1,5.039996,5.314982,2.334569,10
test1,5.059996,5.156168,2.435151,10
test1,5.079996,4.917946,2.599259,10
