Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.967178,0.328216,10
test1,0.04,-7.856009,0.4129171,10
test1,0.06,-7.755426,0.4870301,10
test1,0.08,-7.596612,0.5929065,10
test1,0.09999999,-7.480148,0.6723136,10
test1,0.12,-7.321334,0.7781893,10
test1,0.14,-7.204871,0.8470088,10
test1,0.16,-7.046057,0.9422976,10
test1,0.18,-6.887242,1.026998,10
test1,0.2,-6.781366,1.074643,10
test1,0.22,-6.627846,1.143462,10
test1,0.24,-6.527263,1.185812,10
test1,0.26,-6.368449,1.233457,10
test1,0.28,-6.27316,1.259926,10
test1,0.3,-6.18846,1.281101,10
test1,0.32,-6.045527,1.302276,10
test1,0.34,-5.955532,1.312864,10
test1,0.36,-5.812599,1.312864,10
test1,0.38,-5.722605,1.30757,10
test1,0.4,-5.611434,1.291689,10
test1,0.42,-5.494971,1.254632,10
test1,0.4400001,-5.415564,1.222869,10
test1,0.4600001,-5.309687,1.164637,10
test1,0.4800001,-5.251456,1.127581,10
test1,0.5000001,-5.177342,1.053467,10
test1,0.52,-5.134992,1.005823,10
test1,0.54,-5.108523,0.9634727,10
test1,0.56,-5.07676,0.8840656,10
test1,0.58,-5.071466,0.8046585,10
test1,0.6,-5.071466,0.7411331,10
test1,0.6199999,-5.07676,0.6352568,10
test1,0.6399999,-5.092641,0.5558497,10
test1,0.6599999,-5.134992,0.4182106,10
test1,0.6799999,-5.166755,0.3229225,10
test1,0.6999999,-5.214399,0.2223396,10
test1,0.7199998,-5.288512,0.06881952,10
test1,0.7399998,-5.34145,-0.03705651,10
test1,0.7599998,-5.420857,-0.1958707,10
test1,0.7799998,-5.494971,-0.3652728,10
test1,0.7999998,-5.537322,-0.4764426,10
test1,0.8199998,-5.579671,-0.5823186,10
test1,0.8399997,-5.616729,-0.7517204,10
test1,0.8599997,-5.627316,-0.8523029,10
test1,0.8799997,-5.616729,-1.000529,10
test1,0.8999997,-5.569084,-1.12758,10
test1,0.9199997,-5.510853,-1.206988,10
test1,0.9399996,-5.383801,-1.30757,10
test1,0.9599996,-5.277925,-1.355214,10
test1,0.9799996,-5.156168,-1.402858,10
test1,0.9999996,-4.955003,-1.439915,10
test1,1.02,-4.727369,-1.445209,10
test1,1.04,-4.563261,-1.445209,10
test1,1.06,-4.356803,-1.445209,10
test1,1.08,-4.229752,-1.445209,10
test1,1.1,-4.123875,-1.455797,10
test1,1.12,-4.007411,-1.476972,10
test1,1.14,-3.954474,-1.498147,10
test1,1.159999,-3.917417,-1.524616,10
test1,1.179999,-3.906829,-1.545791,10
test1,1.199999,-3.906829,-1.566967,10
test1,1.219999,-3.917417,-1.598729,10
test1,1.239999,-3.933298,-1.625198,10
test1,1.259999,-3.965061,-1.678137,10
test1,1.279999,-3.996824,-1.725781,10
test1,1.299999,-4.028586,-1.773425,10
test1,1.319999,-4.097406,-1.847538,10
test1,1.339999,-4.14505,-1.900476,10
test1,1.359999,-4.224457,-1.990471,10
test1,1.379999,-4.261514,-2.053997,10
test1,1.399999,-4.32504,-2.149285,10
test1,1.419999,-4.377978,-2.244574,10
test1,1.439999,-4.404447,-2.313393,10
test1,1.459999,-4.446797,-2.413975,10
test1,1.479999,-4.462678,-2.477501,10
test1,1.499999,-4.47856,-2.572789,10
test1,1.519999,-4.47856,-2.636315,10
test1,1.539999,-4.47856,-2.694547,10
test1,1.559999,-4.462678,-2.789836,10
test1,1.579999,-4.441504,-2.848068,10
test1,1.599999,-4.393859,-2.927475,10
test1,1.619999,-4.351509,-2.969825,10
test1,1.639999,-4.266808,-3.028057,10
test1,1.659999,-4.171519,-3.070408,10
test1,1.679999,-4.097406,-3.091583,10
test1,1.699999,-4.023293,-3.112758,10
test1,1.719999,-3.901535,-3.133934,10
test1,1.739999,-3.774484,-3.149815,10
test1,1.759999,-3.689783,-3.165696,10
test1,1.779999,-3.594495,-3.17099,10
test1,1.799999,-3.467443,-3.181578,10
test1,1.819999,-3.345685,-3.186872,10
test1,1.839999,-3.271572,-3.192165,10
test1,1.859999,-3.155108,-3.192165,10
test1,1.879999,-3.080996,-3.192165,10
test1,1.899999,-2.969826,-3.192165,10
test1,1.919999,-2.901006,-3.192165,10
test1,1.939999,-2.832186,-3.192165,10
test1,1.959999,-2.731604,-3.192165,10
test1,1.979999,-2.631021,-3.192165,10
test1,1.999999,-2.567496,-3.192165,10
test1,2.019999,-2.472207,-3.192165,10
test1,2.039999,-2.408682,-3.192165,10
test1,2.059999,-2.313393,-3.192165,10
test1,2.079999,-2.249868,-3.192165,10
test1,2.099999,-2.154579,-3.186872,10
test1,2.119999,-2.091054,-3.186872,10
test1,2.139999,-1.990471,-3.176283,10
test1,2.159999,-1.911064,-3.17099,10
test1,2.179999,-1.831657,-3.165696,10
test1,2.199999,-1.704606,-3.144521,10
test1,2.219999,-1.572261,-3.123346,10
test1,2.239999,-1.471678,-3.096876,10
test1,2.259999,-1.328745,-3.054526,10
test1,2.279999,-1.228163,-3.012176,10
test1,2.299999,-1.127581,-2.969825,10
test1,2.319999,-0.9846481,-2.895712,10
test1,2.339998,-0.8893592,-2.83748,10
test1,2.359998,-0.7570137,-2.736897,10
test1,2.379998,-0.6246693,-2.620434,10
test1,2.399998,-0.5452622,-2.541027,10
test1,2.419998,-0.4552665,-2.408682,10
test1,2.439998,-0.4129167,-2.318687,10
test1,2.459998,-0.3652725,-2.186342,10
test1,2.479998,-0.3599782,-2.106935,10
test1,2.499998,-0.3705662,-1.990471,10
test1,2.519998,-0.4076223,-1.921651,10
test1,2.539998,-0.5029112,-1.821069,10
test1,2.559998,-0.5770252,-1.762837,10
test1,2.579998,-0.7252507,-1.68343,10
test1,2.599998,-0.8364208,-1.635786,10
test1,2.619998,-0.9740607,-1.582848,10
test1,2.639998,-1.185812,-1.503441,10
test1,2.659998,-1.344626,-1.450503,10
test1,2.679998,-1.588142,-1.365802,10
test1,2.699998,-1.7946,-1.254632,10
test1,2.719998,-1.926946,-1.169931,10
