Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.887771,-0.3758603,10
test1,0.04,-7.80307,-0.3070408,10
test1,0.06,-7.676019,-0.1905769,10
test1,0.08,-7.591318,-0.1217577,10
test1,0.09999999,-7.45368,-0.01058757,10
test1,0.12,-7.353097,0.06352544,10
test1,0.14,-7.247221,0.1482266,10
test1,0.16,-7.0937,0.2646905,10
test1,0.18,-6.929592,0.3758603,10
test1,0.2,-6.823717,0.4393858,10
test1,0.22,-6.622552,0.5558497,10
test1,0.24,-6.500794,0.6087875,10
test1,0.26,-6.320805,0.6881946,10
test1,0.28,-6.199047,0.7411331,10
test1,0.3,-6.019058,0.8099526,10
test1,0.32,-5.833774,0.8470088,10
test1,0.34,-5.727898,0.8575964,10
test1,0.36,-5.622023,0.8575964,10
test1,0.38,-5.463209,0.8575964,10
test1,0.4,-5.383801,0.8523029,10
test1,0.42,-5.277925,0.8205402,10
test1,0.4400001,-5.209105,0.794071,10
test1,0.4600001,-5.113817,0.735839,10
test1,0.4800001,-5.044997,0.6881946,10
test1,0.5000001,-4.949709,0.6246692,10
test1,0.52,-4.886183,0.5770248,10
test1,0.54,-4.780307,0.4976177,10
test1,0.56,-4.706194,0.4499733,10
test1,0.58,-4.58973,0.3811538,10
test1,0.6,-4.520911,0.3440976,10
test1,0.6199999,-4.441504,0.2805716,10
test1,0.6399999,-4.404447,0.2382213,10
test1,0.6599999,-4.372684,0.1694018,10
test1,0.6799999,-4.362097,0.1164639,10
test1,0.6999999,-4.356803,0.02646923,10
test1,0.7199998,-4.362097,-0.04235059,10
test1,0.7399998,-4.40974,-0.1694018,10
test1,0.7599998,-4.457385,-0.2541026,10
test1,0.7799998,-4.552674,-0.3864479,10
test1,0.7999998,-4.626787,-0.4817364,10
test1,0.8199998,-4.732663,-0.6087878,10
test1,0.8399997,-4.81207,-0.6934887,10
test1,0.8599997,-4.92324,-0.8099523,10
test1,0.8799997,-4.992059,-0.8840656,10
test1,0.8999997,-5.082054,-0.9846476,10
test1,0.9199997,-5.129698,-1.048173,10
test1,0.9399996,-5.177342,-1.148756,10
test1,0.9599996,-5.18793,-1.212281,10
test1,0.9799996,-5.161461,-1.291688,10
test1,0.9999996,-5.103229,-1.344627,10
test1,1.02,-4.976178,-1.397564,10
test1,1.04,-4.843833,-1.424034,10
test1,1.06,-4.632081,-1.439915,10
test1,1.08,-4.467973,-1.450503,10
test1,1.1,-4.277396,-1.466384,10
