Trial,time,PositionX,PositionY,PositionZ
1,0.02,-7.951297,-0.2276337,10
1,0.04,-7.87189,-0.2329275,10
1,0.06,-7.744839,-0.2435151,10
1,0.08,-7.654844,-0.2488089,10
1,0.09999999,-7.517206,-0.2488089,10
1,0.12,-7.358391,-0.2435151,10
1,0.14,-7.252514,-0.2276337,10
1,0.16,-7.098995,-0.1958707,10
1,0.18,-6.998412,-0.1694018,10
1,0.2,-6.881949,-0.1429328,10
1,0.22,-6.712546,-0.1164636,10
1,0.24,-6.596083,-0.1005822,10
1,0.26,-6.405506,-0.08470088,10
1,0.28,-6.283748,-0.08470088,10
1,0.3,-6.109053,-0.08470088,10
1,0.32,-5.960826,-0.105876,10
1,0.34,-5.870831,-0.1323453,10
1,0.36,-5.78613,-0.1746956,10
1,0.38,-5.680254,-0.2435151,10
1,0.4,-5.606141,-0.2964532,10
1,0.42,-5.510853,-0.3864479,10
1,0.4400001,-5.442033,-0.4605612,10
1,0.4600001,-5.352038,-0.5770248,10
1,0.4800001,-5.293806,-0.7040763,10
1,0.5000001,-5.277925,-0.7887772,10
1,0.52,-5.283219,-0.8734781,10
1,0.54,-5.336156,-1.000529,10
1,0.56,-5.378508,-1.074643,10
1,0.58,-5.457915,-1.175225,10
1,0.6,-5.52144,-1.233457,10
1,0.6199999,-5.611434,-1.291688,10
1,0.6399999,-5.664372,-1.312864,10
1,0.6599999,-5.754367,-1.312864,10
1,0.6799999,-5.823186,-1.270513,10
1,0.6999999,-5.870831,-1.217575,10
1,0.7199998,-5.913181,-1.159343,10
1,0.7399998,-5.96612,-1.053467,10
1,0.7599998,-5.997882,-0.9793541,10
1,0.7799998,-6.024351,-0.8523029,10
1,0.7999998,-6.029645,-0.767602,10
1,0.8199998,-6.013764,-0.6352568,10
1,0.8399997,-5.960826,-0.4976177,10
1,0.8599997,-5.902594,-0.4076231,10
1,0.8799997,-5.791424,-0.2911595,10
1,0.8999997,-5.696136,-0.2170461,10
1,0.9199997,-5.595553,-0.1588142,10
1,0.9399996,-5.415564,-0.0794071,10
1,0.9599996,-5.277925,-0.04235059,10
1,0.9799996,-5.071466,-0.02646893,10
1,0.9999996,-4.859714,-0.02646893,10
1,1.02,-4.716782,-0.04764438,10
1,1.04,-4.573849,-0.0794071,10
1,1.06,-4.362097,-0.1535204,10
1,1.08,-4.166226,-0.2435151,10
1,1.1,-4.033881,-0.3123346,10
1,1.12,-3.901535,-0.3811541,10
1,1.14,-3.684489,-0.5082053,10
1,1.159999,-3.530969,-0.603494,10
1,1.179999,-3.324511,-0.7411328,10
1,1.199999,-3.208047,-0.8311275,10
1,1.219999,-3.043939,-0.9899414,10
1,1.239999,-2.959238,-1.08523,10
1,1.259999,-2.885125,-1.244044,10
1,1.279999,-2.874537,-1.408153,10
1,1.299999,-2.874537,-1.514028,10
1,1.319999,-2.874537,-1.619904,10
1,1.339999,-2.879831,-1.789306,10
1,1.359999,-2.879831,-1.900476,10
1,1.379999,-2.879831,-2.059291,10
1,1.399999,-2.879831,-2.165166,10
1,1.419999,-2.83748,-2.329275,10
1,1.439999,-2.784542,-2.429857,10
1,1.459999,-2.678666,-2.556908,10
1,1.479999,-2.525146,-2.683959,10
1,1.499999,-2.3928,-2.752779,10
1,1.519999,-2.165167,-2.826892,10
1,1.539999,-1.990471,-2.853361,10
1,1.559999,-1.799894,-2.86395,10
1,1.579999,-1.514029,-2.848068,10
1,1.599999,-1.244044,-2.784542,10
1,1.619999,-1.101112,-2.72631,10
1,1.639999,-0.9793538,-2.652197,10
1,1.659999,-0.8311276,-2.50397,10
1,1.679999,-0.7728949,-2.408682,10
1,1.699999,-0.7464268,-2.244574,10
1,1.719999,-0.7570137,-2.122817,10
1,1.739999,-0.8417151,-1.953414,10
1,1.759999,-0.9846481,-1.757544,10
1,1.779999,-1.106405,-1.630492,10
1,1.799999,-1.339333,-1.434621,10
1,1.819999,-1.514029,-1.30757,10
1,1.839999,-1.688725,-1.175225,10
1,1.859999,-2.006353,-0.9370035,10
1,1.879999,-2.218105,-0.7728958,10
1,1.899999,-2.498677,-0.5293807,10
1,1.919999,-2.758073,-0.269984,10
1,1.939999,-2.927475,-0.08999467,10
1,1.959999,-3.096877,0.1058763,10
1,1.979999,-3.313922,0.4129171,10
1,1.999999,-3.430386,0.5982,10
1,2.019999,-3.5892,0.8999473,10
1,2.039999,-3.700371,1.180519,10
1,2.059999,-3.753309,1.365802,10
1,2.079999,-3.806247,1.57226,10
1,2.099999,-3.859185,1.858126,10
1,2.119999,-3.875067,2.022234,10
1,2.139999,-3.88036,2.281631,10
1,2.159999,-3.88036,2.525146,10
1,2.179999,-3.853891,2.678666,10
1,2.199999,-3.800953,2.901006,10
1,2.219999,-3.753309,3.033351,10
1,2.239999,-3.695077,3.155109,10
1,2.259999,-3.583907,3.313923,10
1,2.279999,-3.488619,3.425093,10
1,2.299999,-3.329804,3.578613,10
1,2.319999,-3.160403,3.710959,10
1,2.339998,-3.038645,3.785071,10
1,2.359998,-2.916887,3.843304,10
1,2.379998,-2.721017,3.933299,10
1,2.399998,-2.493383,4.012706,10
1,2.419998,-2.339863,4.049763,10
1,2.439998,-2.181048,4.070937,10
1,2.459998,-1.958708,4.086819,10
1,2.479998,-1.826363,4.086819,10
1,2.499998,-1.619905,4.055056,10
1,2.519998,-1.487559,4.018,10
1,2.539998,-1.302276,3.954474,10
1,2.559998,-1.185812,3.890948,10
1,2.579998,-1.000529,3.763897,10
1,2.599998,-0.8840649,3.673902,10
1,2.619998,-0.7252507,3.515087,10
1,2.639998,-0.6246693,3.414506,10
1,2.659998,-0.5029112,3.23981,10
1,2.679998,-0.4340922,3.133934,10
1,2.699998,-0.3546851,2.964532,10
1,2.719998,-0.2964523,2.784542,10
1,2.739998,-0.275278,2.673372,10
1,2.759998,-0.2699842,2.514558,10
1,2.779998,-0.275278,2.413976,10
1,2.799998,-0.3017472,2.318687,10
1,2.819998,-0.3705662,2.191636,10
1,2.839998,-0.4287984,2.122817,10
1,2.859998,-0.5399685,2.053997,10
1,2.879998,-0.6087875,2.038115,10
1,2.899998,-0.6934878,2.05929,10
1,2.919998,-0.7411325,2.101641,10
1,2.939998,-0.7781898,2.196929,10
1,2.959998,-0.7834835,2.271043,10
1,2.979998,-0.7676017,2.41927,10
1,2.999998,-0.7093695,2.588671,10
1,3.019998,-0.6511379,2.699841,10
1,3.039998,-0.5664365,2.832186,10
1,3.059998,-0.4129167,3.022763,10
1,3.079998,-0.2276338,3.192166,10
1,3.099998,-0.08470082,3.303336,10
1,3.119998,0.07411337,3.414506,10
1,3.139998,0.3282158,3.57332,10
1,3.159998,0.6140819,3.716252,10
1,3.179998,0.7834835,3.779778,10
1,3.199998,0.9634726,3.838011,10
1,3.219998,1.244045,3.912123,10
1,3.239998,1.424034,3.943886,10
1,3.259998,1.688724,3.959767,10
1,3.279998,1.863419,3.959767,10
1,3.299998,2.12811,3.954474,10
1,3.319998,2.297512,3.928005,10
1,3.339998,2.541027,3.853892,10
1,3.359998,2.694548,3.790367,10
1,3.379997,2.916888,3.65802,10
1,3.399997,3.054526,3.552145,10
1,3.419997,3.218635,3.388036,10
1,3.439997,3.313923,3.250397,10
1,3.459997,3.409211,3.028057,10
1,3.479997,3.451561,2.874537,10
1,3.499997,3.478031,2.609847,10
1,3.519997,3.478031,2.41927,10
1,3.539997,3.467444,2.106935,10
1,3.559997,3.446267,1.916358,10
1,3.579997,3.398624,1.609317,10
1,3.599997,3.345685,1.296983,10
1,3.619997,3.319217,1.101112,10
1,3.639997,3.276866,0.8046585,10
1,3.659997,3.255691,0.603494,10
1,3.679997,3.250397,0.4076231,10
1,3.699997,3.260985,0.1217574,10
1,3.719997,3.292747,-0.06352574,10
1,3.739997,3.377449,-0.3229222,10
1,3.759997,3.483325,-0.4817364,10
1,3.779997,3.673901,-0.6670195,10
1,3.799997,3.838009,-0.7623082,10
1,3.819997,4.113288,-0.8575967,10
1,3.839997,4.325039,-0.8734781,10
1,3.859997,4.642668,-0.8417153,10
1,3.879997,4.933827,-0.7464266,10
1,3.899997,5.108523,-0.6458443,10
1,3.919997,5.246162,-0.5293807,10
1,3.939997,5.394389,-0.3176284,10
1,3.959997,5.452621,-0.08999467,10
1,3.979997,5.420857,0.06881952,10
1,3.999997,5.34145,0.2064586,10
1,4.019997,5.166755,0.3970355,10
