Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.903653,0.01058757,10
test1,0.04,-7.792483,0.02117515,10
test1,0.06,-7.596612,0.0370568,10
test1,0.08,-7.464267,0.0370568,10
test1,0.09999999,-7.268396,0.0370568,10
test1,0.12,-7.141345,0.0370568,10
test1,0.14,-6.945474,0.0370568,10
test1,0.16,-6.818423,0.0370568,10
test1,0.18,-6.643727,0.0370568,10
test1,0.2,-6.532557,0.0370568,10
test1,0.22,-6.368449,0.02646923,10
test1,0.24,-6.267867,0.01058757,10
test1,0.26,-6.103759,-0.03176272,10
test1,0.28,-6.019058,-0.05823195,10
test1,0.3,-5.902594,-0.1111698,10
test1,0.32,-5.833774,-0.1482266,10
test1,0.34,-5.738486,-0.2223399,10
test1,0.36,-5.685548,-0.269984,10
test1,0.38,-5.611434,-0.3599787,10
test1,0.4,-5.579671,-0.4182106,10
test1,0.42,-5.553203,-0.5134991,10
test1,0.4400001,-5.542615,-0.5876124,10
test1,0.4600001,-5.542615,-0.6829011,10
test1,0.4800001,-5.553203,-0.7464266,10
test1,0.5000001,-5.59026,-0.8311275,10
test1,0.52,-5.627316,-0.8840656,10
test1,0.54,-5.696136,-0.9422973,10
test1,0.56,-5.754367,-0.97406,10
test1,0.58,-5.85495,-1.016411,10
test1,0.6,-5.923769,-1.026999,10
test1,0.6199999,-6.029645,-1.032292,10
test1,0.6399999,-6.103759,-1.032292,10
test1,0.6599999,-6.209635,-1.011117,10
test1,0.6799999,-6.289042,-0.9793541,10
test1,0.6999999,-6.416094,-0.9158283,10
test1,0.7199998,-6.490207,-0.8681843,10
test1,0.7399998,-6.580202,-0.7887772,10
test1,0.7599998,-6.627846,-0.7305452,10
test1,0.7799998,-6.670196,-0.6352568,10
test1,0.7999998,-6.680783,-0.5770248,10
test1,0.8199998,-6.686077,-0.4870301,10
test1,0.8399997,-6.670196,-0.4182106,10
test1,0.8599997,-6.627846,-0.328216,10
test1,0.8799997,-6.574908,-0.2752778,10
test1,0.8999997,-6.484913,-0.2011648,10
test1,0.9199997,-6.400212,-0.1535204,10
test1,0.9399996,-6.257279,-0.1005822,10
test1,0.9599996,-6.14611,-0.06881952,10
test1,0.9799996,-5.955532,-0.03705651,10
test1,0.9999996,-5.812599,-0.03176272,10
test1,1.02,-5.584965,-0.03176272,10
test1,1.04,-5.442033,-0.03705651,10
test1,1.06,-5.25675,-0.06352574,10
test1,1.08,-5.124404,-0.1005822,10
test1,1.1,-4.933827,-0.1588142,10
test1,1.12,-4.833245,-0.2117524,10
test1,1.14,-4.690312,-0.3070408,10
test1,1.159999,-4.605612,-0.3811541,10
test1,1.179999,-4.489148,-0.5082053,10
test1,1.199999,-4.425622,-0.5982,10
test1,1.219999,-4.346215,-0.7464266,10
test1,1.239999,-4.309159,-0.8470091,10
test1,1.259999,-4.261514,-1.011117,10
test1,1.279999,-4.240339,-1.116993,10
test1,1.299999,-4.208576,-1.286395,10
test1,1.319999,-4.192695,-1.397564,10
test1,1.339999,-4.166226,-1.561672,10
test1,1.359999,-4.14505,-1.672843,10
test1,1.379999,-4.107994,-1.836951,10
test1,1.399999,-4.081525,-1.953414,10
test1,1.419999,-4.028586,-2.117522,10
test1,1.439999,-3.980942,-2.228692,10
test1,1.459999,-3.901535,-2.382213,10
test1,1.479999,-3.843304,-2.477501,10
test1,1.499999,-3.737427,-2.609846,10
test1,1.519999,-3.652726,-2.689253,10
test1,1.539999,-3.525675,-2.800423,10
test1,1.559999,-3.430386,-2.869243,10
test1,1.579999,-3.266278,-2.959238,10
test1,1.599999,-3.139227,-3.012176,10
test1,1.619999,-2.938063,-3.065114,10
test1,1.639999,-2.805718,-3.080995,10
test1,1.659999,-2.57279,-3.091583,10
test1,1.679999,-2.41927,-3.091583,10
test1,1.699999,-2.207518,-3.065114,10
test1,1.719999,-2.069878,-3.033351,10
test1,1.739999,-1.868713,-2.969825,10
test1,1.759999,-1.75225,-2.916887,10
test1,1.779999,-1.593436,-2.83748,10
test1,1.799999,-1.487559,-2.784542,10
test1,1.819999,-1.355214,-2.683959,10
test1,1.839999,-1.2811,-2.620434,10
test1,1.859999,-1.191106,-2.525146,10
test1,1.879999,-1.148756,-2.46162,10
test1,1.899999,-1.111699,-2.366331,10
test1,1.919999,-1.106405,-2.302805,10
test1,1.939999,-1.106405,-2.207517,10
test1,1.959999,-1.127581,-2.143991,10
test1,1.979999,-1.185812,-2.032821,10
test1,1.999999,-1.233456,-1.958708,10
test1,2.019999,-1.323451,-1.831657,10
test1,2.039999,-1.402858,-1.746956,10
test1,2.059999,-1.551085,-1.588142,10
test1,2.079999,-1.656962,-1.482265,10
test1,2.099999,-1.826363,-1.323451,10
test1,2.119999,-1.953414,-1.217575,10
test1,2.139999,-2.143991,-1.04288,10
test1,2.159999,-2.28163,-0.9211224,10
test1,2.179999,-2.493383,-0.7252514,10
test1,2.199999,-2.652197,-0.5770248,10
test1,2.219999,-2.895712,-0.3546849,10
test1,2.239999,-3.054526,-0.1958707,10
test1,2.259999,-3.287454,0.0370568,10
test1,2.279999,-3.430386,0.195871,10
test1,2.299999,-3.620963,0.4235047,10
test1,2.319999,-3.737427,0.5770248,10
test1,2.339998,-3.896241,0.8152461,10
test1,2.359998,-3.99153,0.9846479,10
test1,2.379998,-4.113288,1.222869,10
test1,2.399998,-4.166226,1.386977,10
