Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.946003,-0.1429328,10
test1,0.04,-7.882477,-0.137639,10
test1,0.06,-7.776602,-0.137639,10
test1,0.08,-7.707782,-0.137639,10
test1,0.09999999,-7.612494,-0.137639,10
test1,0.12,-7.543674,-0.1429328,10
test1,0.14,-7.448386,-0.164108,10
test1,0.16,-7.390153,-0.1799893,10
test1,0.18,-7.305453,-0.2117524,10
test1,0.2,-7.257809,-0.2382213,10
test1,0.22,-7.188989,-0.2805719,10
test1,0.24,-7.141345,-0.3123346,10
test1,0.26,-7.083113,-0.3652728,10
test1,0.28,-7.040763,-0.4023293,10
test1,0.3,-6.982531,-0.465855,10
test1,0.32,-6.950768,-0.5082053,10
test1,0.34,-6.903124,-0.5770248,10
test1,0.36,-6.871361,-0.629963,10
test1,0.38,-6.839598,-0.7040763,10
test1,0.4,-6.823717,-0.7517204,10
test1,0.42,-6.813129,-0.8205399,10
test1,0.4400001,-6.813129,-0.8681843,10
test1,0.4600001,-6.813129,-0.9370035,10
test1,0.4800001,-6.823717,-0.9846476,10
test1,0.5000001,-6.855479,-1.048173,10
test1,0.52,-6.881949,-1.090524,10
test1,0.54,-6.934886,-1.15405,10
test1,0.56,-6.977237,-1.191106,10
test1,0.58,-7.051351,-1.233457,10
test1,0.6,-7.109582,-1.249338,10
test1,0.6199999,-7.204871,-1.259926,10
test1,0.6399999,-7.268396,-1.259926,10
test1,0.6599999,-7.353097,-1.222869,10
test1,0.6799999,-7.400741,-1.180519,10
test1,0.6999999,-7.448386,-1.101111,10
test1,0.7199998,-7.469561,-1.032292,10
test1,0.7399998,-7.474854,-0.9158283,10
test1,0.7599998,-7.458973,-0.8258337,10
test1,0.7799998,-7.411328,-0.6881949,10
test1,0.7999998,-7.363685,-0.5982,10
test1,0.8199998,-7.268396,-0.4711488,10
test1,0.8399997,-7.188989,-0.3917417,10
test1,0.8599997,-7.067232,-0.2911595,10
test1,0.8799997,-6.977237,-0.2329275,10
test1,0.8999997,-6.834304,-0.164108,10
test1,0.9199997,-6.739016,-0.1323453,10
test1,0.9399996,-6.601377,-0.105876,10
test1,0.9599996,-6.506088,-0.1005822,10
test1,0.9799996,-6.379036,-0.105876,10
test1,0.9999996,-6.304924,-0.1217577,10
test1,1.02,-6.193753,-0.164108,10
test1,1.04,-6.11964,-0.2064586,10
test1,1.06,-6.013764,-0.2752778,10
test1,1.08,-5.929063,-0.328216,10
test1,1.1,-5.812599,-0.4023293,10
test1,1.12,-5.727898,-0.4499736,10
test1,1.14,-5.584965,-0.5293807,10
test1,1.159999,-5.489677,-0.5823186,10
test1,1.179999,-5.336156,-0.6511381,10
test1,1.199999,-5.224987,-0.6987825,10
test1,1.219999,-5.066173,-0.7623082,10
test1,1.239999,-4.955003,-0.8046585,10
test1,1.259999,-4.76972,-0.8628905,10
test1,1.279999,-4.642668,-0.899947,10
test1,1.299999,-4.420328,-0.9528849,10
test1,1.319999,-4.293277,-0.9687662,10
test1,1.339999,-4.081525,-1.000529,10
test1,1.359999,-3.949179,-1.011117,10
test1,1.379999,-3.737427,-1.011117,10
test1,1.399999,-3.5892,-1.011117,10
test1,1.419999,-3.372155,-1.005823,10
test1,1.439999,-3.223928,-0.9846476,10
test1,1.459999,-3.006882,-0.9475914,10
test1,1.479999,-2.858655,-0.9158283,10
test1,1.499999,-2.620434,-0.8470091,10
test1,1.519999,-2.466914,-0.794071,10
test1,1.539999,-2.260455,-0.7093701,10
test1,1.559999,-2.143991,-0.6564319,10
test1,1.579999,-1.97459,-0.5452621,10
test1,1.599999,-1.868713,-0.4605612,10
test1,1.619999,-1.75225,-0.3335097,10
test1,1.639999,-1.704606,-0.2488089,10
test1,1.659999,-1.667549,-0.1164636,10
test1,1.679999,-1.651668,-0.02117515,10
test1,1.699999,-1.646373,0.137639,10
