Trial,time,PositionX,PositionY,PositionZ
1,0.02,-7.866596,-0.1588142,10
1,0.04,-7.702488,-0.1111698,10
1,0.06,-7.490736,-0.01058757,10
1,0.08,-7.38486,0.07411301,10
1,0.09999999,-7.305453,0.1905769,10
1,0.12,-7.305453,0.2541029,10
1,0.14,-7.347803,0.3229225,10
1,0.16,-7.38486,0.3440976,10
1,0.18,-7.45368,0.3388035,10
1,0.2,-7.501324,0.3123343,10
1,0.22,-7.554262,0.2064586,10
1,0.24,-7.570143,0.1058763,10
1,0.26,-7.554262,-0.0794071,10
1,0.28,-7.501324,-0.2117524,10
1,0.3,-7.368979,-0.4287982,10
1,0.32,-7.252514,-0.571731,10
1,0.34,-7.051351,-0.7781896,10
1,0.36,-6.881949,-0.9158283,10
1,0.38,-6.627846,-1.079936,10
1,0.4,-6.437268,-1.180519,10
1,0.42,-6.124934,-1.334039,10
1,0.4400001,-5.939651,-1.397564,10
1,0.4600001,-5.622023,-1.476972,10
1,0.4800001,-5.394389,-1.514028,10
1,0.5000001,-5.082054,-1.519322,10
1,0.52,-4.886183,-1.514028,10
1,0.54,-4.679725,-1.476972,10
1,0.56,-4.595024,-1.450503,10
1,0.58,-4.536792,-1.429327,10
1,0.6,-4.531498,-1.429327,10
1,0.6199999,-4.542086,-1.439915,10
1,0.6399999,-4.568555,-1.476972,10
1,0.6599999,-4.626787,-1.566967,10
1,0.6799999,-4.679725,-1.667549,10
1,0.6999999,-4.76972,-1.852832,10
1,0.7199998,-4.849126,-1.995765,10
1,0.7399998,-5.002647,-2.223398,10
1,0.7599998,-5.124404,-2.35045,10
1,0.7799998,-5.34145,-2.519852,10
1,0.7999998,-5.500265,-2.588671,10
1,0.8199998,-5.74378,-2.620434,10
1,0.8399997,-5.881419,-2.593965,10
1,0.8599997,-6.003176,-2.493382,10
1,0.8799997,-6.040233,-2.403388,10
1,0.8999997,-6.013764,-2.23928,10
1,0.9199997,-5.944944,-2.12811,10
1,0.9399996,-5.775543,-1.958708,10
1,0.9599996,-5.622023,-1.858126,10
1,0.9799996,-5.357331,-1.746956,10
1,0.9999996,-5.172049,-1.694018,10
1,1.02,-4.875596,-1.667549,10
1,1.04,-4.679725,-1.667549,10
1,1.06,-4.388566,-1.736368,10
1,1.08,-4.208576,-1.815775,10
1,1.1,-4.049762,-1.926945,10
1,1.12,-3.869772,-2.122817,10
1,1.14,-3.748015,-2.355743,10
1,1.159999,-3.710958,-2.50397,10
1,1.179999,-3.705664,-2.694547,10
1,1.199999,-3.732133,-2.816305,10
1,1.219999,-3.763896,-2.969825,10
1,1.239999,-3.76919,-3.05982,10
1,1.259999,-3.721546,-3.186872,10
1,1.279999,-3.631551,-3.266279,10
1,1.299999,-3.388036,-3.36686,10
1,1.319999,-3.139227,-3.398623,10
1,1.339999,-2.705135,-3.403918,10
1,1.359999,-2.387506,-3.382742,10
1,1.379999,-1.911064,-3.292748,10
1,1.399999,-1.619905,-3.197459,10
1,1.419999,-1.249337,-3.006882,10
