Trial,time,PositionX,PositionY,PositionZ
1,0.02,-7.94071,-0.2223399,10
1,0.04,-7.781896,-0.1905769,10
1,0.06,-7.543674,-0.105876,10
1,0.08,-7.305453,0.01058757,10
1,0.09999999,-7.141345,0.1111698,10
1,0.12,-6.998412,0.2170461,10
1,0.14,-6.818423,0.3811538,10
1,0.16,-6.707253,0.5029118,10
1,0.18,-6.590789,0.6776071,10
1,0.2,-6.458443,0.8523029,10
1,0.22,-6.347274,0.9634727,10
1,0.24,-6.172579,1.116993,10
1,0.26,-6.029645,1.212282,10
1,0.28,-5.802011,1.328745,10
1,0.3,-5.63261,1.381683,10
1,0.32,-5.325569,1.455797,10
1,0.34,-5.14558,1.471678,10
1,0.36,-4.865008,1.471678,10
1,0.38,-4.7009,1.450503,10
1,0.4,-4.494442,1.381683,10
1,0.42,-4.393859,1.302276,10
1,0.4400001,-4.330334,1.206988,10
1,0.4600001,-4.309159,1.026998,10
1,0.4800001,-4.32504,0.8840656,10
1,0.5000001,-4.393859,0.6458443,10
1,0.52,-4.473267,0.4023296,10
1,0.54,-4.526205,0.2382213,10
1,0.56,-4.610905,-0.04764438,10
1,0.58,-4.663843,-0.2541026,10
1,0.6,-4.685019,-0.4446799,10
1,0.6199999,-4.685019,-0.7464266,10
1,0.6399999,-4.663843,-0.9422973,10
1,0.6599999,-4.573849,-1.212281,10
1,0.6799999,-4.425622,-1.455797,10
1,0.6999999,-4.28269,-1.593435,10
1,0.7199998,-4.039175,-1.762837,10
1,0.7399998,-3.832716,-1.874007,10
1,0.7599998,-3.61567,-1.948121,10
1,0.7799998,-3.308629,-1.995765,10
1,0.7999998,-3.001589,-2.001059,10
1,0.8199998,-2.83748,-1.985177,10
1,0.8399997,-2.731604,-1.969296,10
1,0.8599997,-2.662785,-1.948121,10
1,0.8799997,-2.657491,-1.937533,10
1,0.8999997,-2.678666,-1.932239,10
1,0.9199997,-2.768661,-1.942827,10
1,0.9399996,-2.848068,-1.969296,10
1,0.9599996,-2.996294,-2.038115,10
1,0.9799996,-3.096877,-2.106935,10
1,0.9999996,-3.197459,-2.186342,10
