Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.98306,-2.541027,10
test1,0.04,-7.951297,-2.572789,10
test1,0.06,-7.919534,-2.604553,10
test1,0.08,-7.887771,-2.636315,10
test1,0.09999999,-7.856009,-2.668078,10
test1,0.12,-7.824246,-2.694547,10
test1,0.14,-7.797777,-2.721016,10
test1,0.16,-7.766014,-2.747485,10
test1,0.18,-7.723663,-2.779248,10
test1,0.2,-7.681313,-2.811011,10
test1,0.22,-7.644256,-2.842774,10
test1,0.24,-7.6072,-2.869243,10
test1,0.26,-7.575437,-2.885124,10
test1,0.28,-7.543674,-2.906299,10
test1,0.3,-7.49603,-2.932768,10
test1,0.32,-7.437799,-2.959238,10
test1,0.34,-7.38486,-2.969825,10
test1,0.36,-7.337216,-2.980413,10
test1,0.38,-7.294866,-2.985706,10
test1,0.4,-7.263103,-2.985706,10
test1,0.42,-7.241927,-2.985706,10
test1,0.4400001,-7.220752,-2.975119,10
test1,0.4600001,-7.199577,-2.953944,10
test1,0.4800001,-7.173107,-2.927475,10
test1,0.5000001,-7.141345,-2.901006,10
test1,0.52,-7.098995,-2.86395,10
test1,0.54,-7.067232,-2.821599,10
test1,0.56,-7.030175,-2.763367,10
test1,0.58,-6.998412,-2.699841,10
test1,0.6,-6.961356,-2.636315,10
test1,0.6199999,-6.919005,-2.567496,10
test1,0.6399999,-6.876654,-2.472208,10
test1,0.6599999,-6.834304,-2.387506,10
test1,0.6799999,-6.802542,-2.297512,10
test1,0.6999999,-6.781366,-2.207517,10
test1,0.7199998,-6.76019,-2.106935,10
test1,0.7399998,-6.744309,-2.006352,10
test1,0.7599998,-6.728428,-1.911064,10
test1,0.7799998,-6.712546,-1.805188,10
test1,0.7999998,-6.701959,-1.720487,10
test1,0.8199998,-6.691371,-1.609317,10
test1,0.8399997,-6.680783,-1.519322,10
test1,0.8599997,-6.664902,-1.429327,10
test1,0.8799997,-6.654315,-1.339333,10
test1,0.8999997,-6.643727,-1.244044,10
test1,0.9199997,-6.633139,-1.148756,10
test1,0.9399996,-6.622552,-1.048173,10
test1,0.9599996,-6.611964,-0.9475914,10
test1,0.9799996,-6.596083,-0.8364213,10
test1,0.9999996,-6.585495,-0.7252514,10
test1,1.02,-6.569614,-0.6140816,10
test1,1.04,-6.548439,-0.4976177,10
test1,1.06,-6.521969,-0.3811541,10
test1,1.08,-6.506088,-0.269984,10
test1,1.1,-6.479619,-0.1429328,10
test1,1.12,-6.458443,-0.02117515,10
test1,1.14,-6.437268,0.09528875,10
test1,1.159999,-6.416094,0.1905769,10
test1,1.179999,-6.394918,0.3070408,10
test1,1.199999,-6.379036,0.3970355,10
test1,1.219999,-6.352568,0.4764426,10
test1,1.239999,-6.331393,0.5611438,10
test1,1.259999,-6.294335,0.6511384,10
test1,1.279999,-6.251986,0.7252514,10
test1,1.299999,-6.214928,0.794071,10
test1,1.319999,-6.172579,0.8575964,10
test1,1.339999,-6.130228,0.9158283,10
test1,1.359999,-6.093172,0.9634727,10
test1,1.379999,-6.056114,1.00053,10
test1,1.399999,-6.029645,1.016411,10
test1,1.419999,-6.029645,1.016411,10
test1,1.439999,-6.019058,1.016411,10
test1,1.459999,-5.997882,0.9952354,10
test1,1.479999,-5.971413,0.9687668,10
test1,1.499999,-5.939651,0.9422976,10
test1,1.519999,-5.913181,0.9105349,10
test1,1.539999,-5.886713,0.8787715,10
test1,1.559999,-5.85495,0.8311278,10
test1,1.579999,-5.817893,0.7781893,10
test1,1.599999,-5.791424,0.7199574,10
test1,1.619999,-5.759661,0.6564319,10
test1,1.639999,-5.733192,0.5823189,10
test1,1.659999,-5.706723,0.5029118,10
test1,1.679999,-5.680254,0.4182106,10
test1,1.699999,-5.653785,0.328216,10
test1,1.719999,-5.622023,0.2435154,10
test1,1.739999,-5.600847,0.1535201,10
test1,1.759999,-5.574378,0.06352544,10
test1,1.779999,-5.553203,-0.03176272,10
test1,1.799999,-5.542615,-0.1270515,10
test1,1.819999,-5.526734,-0.2276337,10
test1,1.839999,-5.52144,-0.3335097,10
test1,1.859999,-5.510853,-0.4446799,10
test1,1.879999,-5.505558,-0.5399683,10
test1,1.899999,-5.489677,-0.6617257,10
test1,1.919999,-5.47909,-0.7728958,10
test1,1.939999,-5.468502,-0.8734781,10
test1,1.959999,-5.457915,-0.9846476,10
test1,1.979999,-5.452621,-1.090524,10
test1,1.999999,-5.447327,-1.185813,10
test1,2.019999,-5.442033,-1.281101,10
test1,2.039999,-5.431446,-1.37639,10
test1,2.059999,-5.420857,-1.46109,10
test1,2.079999,-5.41027,-1.540497,10
test1,2.099999,-5.394389,-1.609317,10
test1,2.119999,-5.389094,-1.678137,10
test1,2.139999,-5.378508,-1.736368,10
test1,2.159999,-5.373213,-1.810482,10
test1,2.179999,-5.367919,-1.874007,10
test1,2.199999,-5.362626,-1.948121,10
test1,2.219999,-5.352038,-2.011646,10
test1,2.239999,-5.34145,-2.080466,10
test1,2.259999,-5.330863,-2.143991,10
test1,2.279999,-5.325569,-2.207517,10
test1,2.299999,-5.320275,-2.265749,10
test1,2.319999,-5.309687,-2.318687,10
test1,2.339998,-5.2991,-2.371625,10
test1,2.359998,-5.293806,-2.419269,10
test1,2.379998,-5.277925,-2.472208,10
test1,2.399998,-5.267337,-2.530439,10
test1,2.419998,-5.25675,-2.583377,10
test1,2.439998,-5.240869,-2.636315,10
test1,2.459998,-5.235575,-2.678666,10
test1,2.479998,-5.224987,-2.736897,10
test1,2.499998,-5.209105,-2.789836,10
test1,2.519998,-5.203812,-2.826892,10
test1,2.539998,-5.193224,-2.86395,10
test1,2.559998,-5.18793,-2.895712,10
test1,2.579998,-5.182636,-2.927475,10
test1,2.599998,-5.177342,-2.953944,10
test1,2.619998,-5.172049,-2.985706,10
test1,2.639998,-5.166755,-3.012176,10
test1,2.659998,-5.161461,-3.038645,10
test1,2.679998,-5.150873,-3.065114,10
test1,2.699998,-5.14558,-3.096876,10
test1,2.719998,-5.134992,-3.123346,10
test1,2.739998,-5.11911,-3.155109,10
test1,2.759998,-5.103229,-3.197459,10
test1,2.779998,-5.082054,-3.229222,10
test1,2.799998,-5.066173,-3.250397,10
