Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.998941,-1.667549,10
test1,0.04,-7.977767,-1.731074,10
test1,0.06,-7.951297,-1.805188,10
test1,0.08,-7.930122,-1.868713,10
test1,0.09999999,-7.908947,-1.942827,10
test1,0.12,-7.887771,-2.011646,10
test1,0.14,-7.866596,-2.069878,10
test1,0.16,-7.840127,-2.133404,10
test1,0.18,-7.813658,-2.196929,10
test1,0.2,-7.787189,-2.265749,10
test1,0.22,-7.76072,-2.345156,10
test1,0.24,-7.728957,-2.419269,10
test1,0.26,-7.691901,-2.498676,10
test1,0.28,-7.644256,-2.572789,10
test1,0.3,-7.596612,-2.641609,10
test1,0.32,-7.527793,-2.72631,10
test1,0.34,-7.464267,-2.795129,10
test1,0.36,-7.395447,-2.869243,10
test1,0.38,-7.326628,-2.927475,10
test1,0.4,-7.241927,-3.001588,10
test1,0.42,-7.151932,-3.05982,10
test1,0.4400001,-7.083113,-3.107464,10
test1,0.4600001,-6.998412,-3.155109,10
test1,0.4800001,-6.919005,-3.192165,10
test1,0.5000001,-6.839598,-3.229222,10
test1,0.52,-6.749603,-3.266279,10
test1,0.54,-6.67549,-3.287453,10
test1,0.56,-6.627846,-3.292748,10
test1,0.58,-6.601377,-3.298041,10
test1,0.6,-6.596083,-3.292748,10
test1,0.6199999,-6.590789,-3.276866,10
test1,0.6399999,-6.580202,-3.239809,10
test1,0.6599999,-6.569614,-3.197459,10
test1,0.6799999,-6.553732,-3.149815,10
test1,0.6999999,-6.53785,-3.086289,10
test1,0.7199998,-6.527263,-3.022764,10
test1,0.7399998,-6.511382,-2.94865,10
test1,0.7599998,-6.495501,-2.86395,10
test1,0.7799998,-6.469031,-2.784542,10
test1,0.7999998,-6.442562,-2.699841,10
test1,0.8199998,-6.421387,-2.604553,10
test1,0.8399997,-6.394918,-2.498676,10
test1,0.8599997,-6.368449,-2.387506,10
test1,0.8799997,-6.336687,-2.276336,10
test1,0.8999997,-6.304924,-2.154579,10
test1,0.9199997,-6.278454,-2.032821,10
test1,0.9399996,-6.251986,-1.916358,10
test1,0.9599996,-6.225516,-1.7946,10
test1,0.9799996,-6.199047,-1.678137,10
test1,0.9999996,-6.172579,-1.561672,10
test1,1.02,-6.14611,-1.439915,10
test1,1.04,-6.124934,-1.318157,10
test1,1.06,-6.103759,-1.201694,10
test1,1.08,-6.082583,-1.090524,10
test1,1.1,-6.056114,-0.97406,10
test1,1.12,-6.029645,-0.8840656,10
test1,1.14,-6.003176,-0.7834834,10
test1,1.159999,-5.976707,-0.6881949,10
test1,1.179999,-5.944944,-0.5929062,10
test1,1.199999,-5.918476,-0.5134991,10
test1,1.219999,-5.881419,-0.4076231,10
test1,1.239999,-5.844362,-0.3176284,10
test1,1.259999,-5.812599,-0.2382213,10
test1,1.279999,-5.764955,-0.1482266,10
test1,1.299999,-5.712017,-0.05823195,10
test1,1.319999,-5.680254,0.005294085,10
test1,1.339999,-5.63261,0.09528875,10
test1,1.359999,-5.584965,0.1799893,10
test1,1.379999,-5.537322,0.2593964,10
test1,1.399999,-5.484383,0.3388035,10
test1,1.419999,-5.436738,0.4076231,10
test1,1.439999,-5.389094,0.465855,10
test1,1.459999,-5.34145,0.5082053,10
test1,1.479999,-5.304394,0.539968,10
test1,1.499999,-5.277925,0.5452621,10
test1,1.519999,-5.267337,0.5505556,10
test1,1.539999,-5.25675,0.539968,10
test1,1.559999,-5.23028,0.5134994,10
test1,1.579999,-5.198517,0.4764426,10
test1,1.599999,-5.161461,0.4235047,10
test1,1.619999,-5.124404,0.3599787,10
test1,1.639999,-5.092641,0.2911592,10
test1,1.659999,-5.066173,0.2117521,10
test1,1.679999,-5.03441,0.132345,10
test1,1.699999,-4.997354,0.02117515,10
test1,1.719999,-4.96559,-0.09528846,10
test1,1.739999,-4.933827,-0.2064586,10
test1,1.759999,-4.902064,-0.3229222,10
test1,1.779999,-4.875596,-0.4446799,10
test1,1.799999,-4.849126,-0.5664372,10
test1,1.819999,-4.817364,-0.6934887,10
test1,1.839999,-4.790895,-0.8205399,10
test1,1.859999,-4.775013,-0.9422973,10
test1,1.879999,-4.748545,-1.064055,10
test1,1.899999,-4.727369,-1.1964,10
test1,1.919999,-4.711488,-1.328745,10
test1,1.939999,-4.7009,-1.439915,10
test1,1.959999,-4.679725,-1.57226,10
test1,1.979999,-4.658549,-1.694018,10
test1,1.999999,-4.642668,-1.810482,10
test1,2.019999,-4.626787,-1.932239,10
test1,2.039999,-4.610905,-2.038115,10
test1,2.059999,-4.58973,-2.159873,10
test1,2.079999,-4.573849,-2.271042,10
test1,2.099999,-4.557968,-2.366331,10
test1,2.119999,-4.54738,-2.451032,10
test1,2.139999,-4.536792,-2.541027,10
test1,2.159999,-4.526205,-2.61514,10
test1,2.179999,-4.505029,-2.683959,10
test1,2.199999,-4.489148,-2.758073,10
test1,2.219999,-4.473267,-2.821599,10
test1,2.239999,-4.452091,-2.879831,10
test1,2.259999,-4.43621,-2.938062,10
test1,2.279999,-4.415034,-3.006882,10
test1,2.299999,-4.399153,-3.065114,10
test1,2.319999,-4.383271,-3.118052,10
test1,2.339998,-4.362097,-3.165696,10
test1,2.359998,-4.335627,-3.213341,10
test1,2.379998,-4.309159,-3.25569,10
test1,2.399998,-4.28269,-3.298041,10
test1,2.419998,-4.250926,-3.324511,10
test1,2.439998,-4.229752,-3.345685,10
test1,2.459998,-4.21387,-3.356273,10
test1,2.479998,-4.208576,-3.356273,10
test1,2.499998,-4.208576,-3.356273,10
test1,2.519998,-4.208576,-3.356273,10
test1,2.539998,-4.203282,-3.356273,10
test1,2.559998,-4.197989,-3.345685,10
test1,2.579998,-4.192695,-3.335097,10
test1,2.599998,-4.182107,-3.324511,10
test1,2.619998,-4.176813,-3.313923,10
test1,2.639998,-4.160932,-3.292748,10
test1,2.659998,-4.150344,-3.266279,10
test1,2.679998,-4.129169,-3.229222,10
test1,2.699998,-4.107994,-3.186872,10
test1,2.719998,-4.076231,-3.133934,10
test1,2.739998,-4.044468,-3.075702,10
test1,2.759998,-4.012705,-3.006882,10
test1,2.779998,-3.975648,-2.938062,10
test1,2.799998,-3.938592,-2.86395,10
test1,2.819998,-3.890948,-2.76866,10
test1,2.839998,-3.832716,-2.652197,10
test1,2.859998,-3.779778,-2.54632,10
test1,2.879998,-3.721546,-2.408682,10
test1,2.899998,-3.668607,-2.286924,10
test1,2.919998,-3.61567,-2.159873,10
test1,2.939998,-3.557438,-2.038115,10
test1,2.959998,-3.5045,-1.911064,10
test1,2.979998,-3.446268,-1.789306,10
test1,2.999998,-3.403918,-1.68343,10
test1,3.019998,-3.350979,-1.551085,10
test1,3.039998,-3.298041,-1.424034,10
test1,3.059998,-3.255691,-1.302276,10
test1,3.079998,-3.213341,-1.180519,10
test1,3.099998,-3.17099,-1.064055,10
test1,3.119998,-3.139227,-0.9422973,10
test1,3.139998,-3.096877,-0.8205399,10
test1,3.159998,-3.065114,-0.7093701,10
test1,3.179998,-3.022763,-0.571731,10
test1,3.199998,-2.980413,-0.4446799,10
test1,3.219998,-2.94865,-0.3229222,10
test1,3.239998,-2.916887,-0.2117524,10
test1,3.259998,-2.890419,-0.0794071,10
test1,3.279998,-2.858655,0.0370568,10
test1,3.299998,-2.83748,0.1588142,10
test1,3.319998,-2.811011,0.2752781,10
test1,3.339998,-2.784542,0.3864479,10
test1,3.359998,-2.752779,0.5082053,10
test1,3.379997,-2.72631,0.6087875,10
test1,3.399997,-2.705135,0.7146639,10
test1,3.419997,-2.678666,0.8364213,10
test1,3.439997,-2.652197,0.9370035,10
test1,3.459997,-2.625728,1.048174,10
test1,3.479997,-2.599259,1.143462,10
test1,3.499997,-2.57279,1.249338,10
test1,3.519997,-2.546321,1.349921,10
test1,3.539997,-2.514558,1.445209,10
test1,3.559997,-2.482795,1.535204,10
test1,3.579997,-2.445739,1.635786,10
test1,3.599997,-2.41927,1.720487,10
test1,3.619997,-2.382213,1.815776,10
test1,3.639997,-2.355744,1.895183,10
test1,3.659997,-2.313393,1.985177,10
test1,3.679997,-2.271043,2.075172,10
test1,3.699997,-2.228692,2.154579,10
test1,3.719997,-2.191636,2.233986,10
test1,3.739997,-2.154579,2.313393,10
test1,3.759997,-2.117522,2.3928,10
test1,3.779997,-2.080466,2.472208,10
test1,3.799997,-2.043409,2.551615,10
test1,3.819997,-2.006353,2.620434,10
test1,3.839997,-1.969296,2.683959,10
test1,3.859997,-1.926946,2.742192,10
test1,3.879997,-1.884594,2.805717,10
test1,3.899997,-1.842244,2.863949,10
test1,3.919997,-1.805187,2.916887,10
test1,3.939997,-1.762837,2.975119,10
test1,3.959997,-1.731075,3.01747,10
test1,3.979997,-1.699312,3.054526,10
test1,3.999997,-1.678136,3.080995,10
test1,4.019997,-1.662255,3.096877,10
test1,4.039997,-1.656962,3.10217,10
test1,4.059997,-1.656962,3.10217,10
test1,4.079997,-1.651668,3.10217,10
test1,4.099997,-1.646373,3.10217,10
test1,4.119997,-1.635786,3.10217,10
test1,4.139997,-1.614611,3.096877,10
test1,4.159997,-1.588142,3.086289,10
