Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.993648,0.2805716,10
test1,0.04,-7.972473,0.3917414,10
test1,0.06,-7.94071,0.5082053,10
test1,0.08,-7.91424,0.6140816,10
test1,0.09999999,-7.882477,0.7199574,10
test1,0.12,-7.840127,0.8311278,10
test1,0.14,-7.808364,0.8999473,10
test1,0.16,-7.766014,0.9740603,10
test1,0.18,-7.723663,1.037586,10
test1,0.2,-7.676019,1.101112,10
test1,0.22,-7.628375,1.159344,10
test1,0.24,-7.570143,1.222869,10
test1,0.26,-7.506618,1.281101,10
test1,0.28,-7.437799,1.328745,10
test1,0.3,-7.374272,1.371096,10
test1,0.32,-7.305453,1.402858,10
test1,0.34,-7.247221,1.413446,10
test1,0.36,-7.178401,1.41874,10
test1,0.38,-7.125464,1.413446,10
test1,0.4,-7.061938,1.386977,10
test1,0.42,-6.993118,1.355214,10
test1,0.4400001,-6.908417,1.312864,10
test1,0.4600001,-6.823717,1.254632,10
test1,0.4800001,-6.739016,1.191106,10
test1,0.5000001,-6.649021,1.122287,10
test1,0.52,-6.574908,1.053467,10
test1,0.54,-6.495501,0.9687668,10
test1,0.56,-6.421387,0.8628905,10
test1,0.58,-6.363155,0.7623082,10
test1,0.6,-6.299629,0.6405509,10
test1,0.6199999,-6.241397,0.4976177,10
test1,0.6399999,-6.204341,0.3652728,10
test1,0.6599999,-6.177872,0.2382213,10
test1,0.6799999,-6.14611,0.08470118,10
test1,0.6999999,-6.11964,-0.04764438,10
test1,0.7199998,-6.103759,-0.1958707,10
test1,0.7399998,-6.087877,-0.3388035,10
test1,0.7599998,-6.07729,-0.4817364,10
test1,0.7799998,-6.066702,-0.6193754,10
test1,0.7999998,-6.061408,-0.7570142,10
test1,0.8199998,-6.061408,-0.9052408,10
test1,0.8399997,-6.056114,-1.04288,10
test1,0.8599997,-6.05082,-1.191106,10
test1,0.8799997,-6.045527,-1.30757,10
test1,0.8999997,-6.040233,-1.429327,10
test1,0.9199997,-6.029645,-1.540497,10
test1,0.9399996,-6.013764,-1.641079,10
test1,0.9599996,-5.992588,-1.725781,10
test1,0.9799996,-5.982001,-1.757544,10
test1,0.9999996,-5.982001,-1.757544,10
test1,1.02,-5.976707,-1.75225,10
test1,1.04,-5.971413,-1.704605,10
test1,1.06,-5.960826,-1.635786,10
test1,1.08,-5.944944,-1.52991,10
test1,1.1,-5.913181,-1.397564,10
test1,1.12,-5.870831,-1.23875,10
