Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.930122,0.6564319,10
test1,0.04,-7.834833,0.8364213,10
test1,0.06,-7.744839,1.005823,10
test1,0.08,-7.644256,1.212282,10
test1,0.09999999,-7.548968,1.386977,10
test1,0.12,-7.448386,1.556379,10
test1,0.14,-7.353097,1.709899,10
test1,0.16,-7.257809,1.842245,10
test1,0.18,-7.167813,1.942827,10
test1,0.2,-7.088407,2.001059,10
test1,0.22,-7.030175,2.022234,10
test1,0.24,-6.982531,2.027528,10
test1,0.26,-6.956061,2.01694,10
test1,0.28,-6.919005,1.964002,10
test1,0.3,-6.866067,1.879301,10
test1,0.32,-6.807836,1.768131,10
test1,0.34,-6.733722,1.635786,10
test1,0.36,-6.649021,1.48756,10
test1,0.38,-6.574908,1.334039,10
test1,0.4,-6.484913,1.127581,10
test1,0.42,-6.400212,0.9264159,10
test1,0.4400001,-6.326099,0.7305455,10
test1,0.4600001,-6.257279,0.5293804,10
test1,0.4800001,-6.199047,0.328216,10
test1,0.5000001,-6.14611,0.132345,10
test1,0.52,-6.103759,-0.05823195,10
test1,0.54,-6.061408,-0.2435151,10
test1,0.56,-6.024351,-0.4235044,10
test1,0.58,-5.987295,-0.5876124,10
test1,0.6,-5.955532,-0.7305452,10
test1,0.6199999,-5.929063,-0.8575967,10
test1,0.6399999,-5.902594,-0.97406,10
test1,0.6599999,-5.876125,-1.069348,10
test1,0.6799999,-5.860244,-1.12758,10
test1,0.6999999,-5.85495,-1.143462,10
test1,0.7199998,-5.849656,-1.138168,10
test1,0.7399998,-5.839068,-1.101111,10
test1,0.7599998,-5.823186,-1.032292,10
test1,0.7799998,-5.802011,-0.9370035,10
test1,0.7999998,-5.764955,-0.7993647,10
test1,0.8199998,-5.717311,-0.629963,10
test1,0.8399997,-5.643198,-0.4499736,10
test1,0.8599997,-5.558496,-0.2488089,10
test1,0.8799997,-5.484383,-0.06881952,10
test1,0.8999997,-5.404976,0.132345,10
test1,0.9199997,-5.325569,0.33351,10
test1,0.9399996,-5.240869,0.5293804,10
test1,0.9599996,-5.161461,0.7040763,10
test1,0.9799996,-5.082054,0.8628905,10
test1,0.9999996,-5.023822,0.9687668,10
test1,1.02,-4.944415,1.101112,10
test1,1.04,-4.880889,1.164637,10
test1,1.06,-4.827952,1.206988,10
test1,1.08,-4.790895,1.217576,10
test1,1.1,-4.775013,1.206988,10
test1,1.12,-4.753838,1.169931,10
test1,1.14,-4.716782,1.106405,10
test1,1.159999,-4.658549,1.016411,10
test1,1.179999,-4.595024,0.8999473,10
test1,1.199999,-4.531498,0.7781893,10
test1,1.219999,-4.462678,0.6246692,10
test1,1.239999,-4.404447,0.465855,10
test1,1.259999,-4.335627,0.269984,10
test1,1.279999,-4.287983,0.08470118,10
test1,1.299999,-4.245633,-0.1005822,10
test1,1.319999,-4.208576,-0.2911595,10
test1,1.339999,-4.160932,-0.4817364,10
test1,1.359999,-4.123875,-0.6670195,10
test1,1.379999,-4.081525,-0.8523029,10
test1,1.399999,-4.049762,-1.026999,10
test1,1.419999,-4.012705,-1.1964,10
test1,1.439999,-3.975648,-1.365802,10
test1,1.459999,-3.938592,-1.545791,10
test1,1.479999,-3.901535,-1.715193,10
test1,1.499999,-3.869772,-1.879301,10
test1,1.519999,-3.83801,-2.043409,10
test1,1.539999,-3.806247,-2.196929,10
test1,1.559999,-3.779778,-2.35045,10
test1,1.579999,-3.748015,-2.488089,10
test1,1.599999,-3.710958,-2.652197,10
test1,1.619999,-3.684489,-2.789836,10
test1,1.639999,-3.652726,-2.916887,10
test1,1.659999,-3.620963,-3.033351,10
test1,1.679999,-3.5892,-3.144521,10
test1,1.699999,-3.552144,-3.250397,10
test1,1.719999,-3.520381,-3.335097,10
test1,1.739999,-3.488619,-3.409211,10
test1,1.759999,-3.462149,-3.483325,10
test1,1.779999,-3.425092,-3.552144,10
test1,1.799999,-3.382742,-3.626258,10
test1,1.819999,-3.345685,-3.695077,10
test1,1.839999,-3.298041,-3.779777,10
test1,1.859999,-3.260985,-3.853891,10
test1,1.879999,-3.218634,-3.917417,10
test1,1.899999,-3.176284,-3.980942,10
test1,1.919999,-3.118052,-4.044468,10
test1,1.939999,-3.05982,-4.097405,10
test1,1.959999,-3.001589,-4.139757,10
test1,1.979999,-2.943356,-4.171519,10
test1,1.999999,-2.895712,-4.182107,10
test1,2.019999,-2.853362,-4.182107,10
test1,2.039999,-2.805718,-4.166226,10
test1,2.059999,-2.763367,-4.123875,10
test1,2.079999,-2.72631,-4.060349,10
test1,2.099999,-2.689254,-3.975649,10
test1,2.119999,-2.64161,-3.864479,10
test1,2.139999,-2.593965,-3.748014,10
test1,2.159999,-2.567496,-3.605082,10
test1,2.179999,-2.546321,-3.446268,10
test1,2.199999,-2.519851,-3.298041,10
test1,2.219999,-2.488089,-3.102171,10
test1,2.239999,-2.456326,-2.911594,10
test1,2.259999,-2.41927,-2.721016,10
test1,2.279999,-2.387506,-2.525146,10
test1,2.299999,-2.361037,-2.345156,10
test1,2.319999,-2.323981,-2.12811,10
test1,2.339998,-2.292218,-1.942827,10
test1,2.359998,-2.255162,-1.736368,10
test1,2.379998,-2.218105,-1.52991,10
test1,2.399998,-2.181048,-1.328745,10
test1,2.419998,-2.138698,-1.138168,10
test1,2.439998,-2.101641,-0.9528849,10
test1,2.459998,-2.069878,-0.767602,10
test1,2.479998,-2.032821,-0.603494,10
test1,2.499998,-1.995764,-0.4235044,10
test1,2.519998,-1.958708,-0.2382213,10
test1,2.539998,-1.921651,-0.06881952,10
test1,2.559998,-1.889889,0.09528875,10
test1,2.579998,-1.86342,0.2593964,10
test1,2.599998,-1.83695,0.4235047,10
test1,2.619998,-1.815776,0.5717313,10
test1,2.639998,-1.789306,0.7146639,10
test1,2.659998,-1.762837,0.8523029,10
test1,2.679998,-1.731075,0.9846479,10
test1,2.699998,-1.704606,1.122287,10
test1,2.719998,-1.68343,1.249338,10
test1,2.739998,-1.651668,1.37639,10
test1,2.759998,-1.625199,1.498147,10
test1,2.779998,-1.598729,1.614611,10
test1,2.799998,-1.572261,1.725781,10
test1,2.819998,-1.545792,1.842245,10
test1,2.839998,-1.514029,1.953415,10
test1,2.859998,-1.476972,2.064584,10
test1,2.879998,-1.450503,2.175754,10
test1,2.899998,-1.424033,2.292218,10
test1,2.919998,-1.402858,2.398094,10
test1,2.939998,-1.371096,2.50397,10
test1,2.959998,-1.339333,2.609847,10
test1,2.979998,-1.30757,2.721016,10
test1,2.999998,-1.275807,2.826893,10
test1,3.019998,-1.244044,2.938063,10
test1,3.039998,-1.217575,3.043939,10
test1,3.059998,-1.191106,3.144522,10
test1,3.079998,-1.164637,3.245103,10
test1,3.099998,-1.138168,3.340392,10
test1,3.119998,-1.106405,3.425093,10
test1,3.139998,-1.08523,3.520383,10
test1,3.159998,-1.058761,3.605083,10
test1,3.179998,-1.037586,3.689783,10
test1,3.199998,-1.011116,3.785071,10
test1,3.219998,-0.9846481,3.864479,10
