Trial,time,PositionX,PositionY,PositionZ
1,0.02,-7.961884,0.7305455,10
1,0.04,-7.877183,0.989942,10
1,0.06,-7.776602,1.212282,10
1,0.08,-7.676019,1.408153,10
1,0.09999999,-7.591318,1.561673,10
1,0.12,-7.522499,1.672843,10
1,0.14,-7.474854,1.731074,10
1,0.16,-7.45368,1.746956,10
1,0.18,-7.448386,1.741662,10
1,0.2,-7.432504,1.709899,10
1,0.22,-7.390153,1.635786,10
1,0.24,-7.337216,1.52991,10
1,0.26,-7.263103,1.392271,10
1,0.28,-7.194283,1.222869,10
1,0.3,-7.12017,1.037586,10
1,0.32,-7.051351,0.8470088,10
1,0.34,-6.993118,0.6405509,10
1,0.36,-6.950768,0.4340923,10
1,0.38,-6.903124,0.2382213,10
1,0.4,-6.855479,0.0370568,10
1,0.42,-6.802542,-0.164108,10
1,0.4400001,-6.749603,-0.3758603,10
1,0.4600001,-6.701959,-0.5823186,10
1,0.4800001,-6.654315,-0.794071,10
1,0.5000001,-6.601377,-1.011117,10
1,0.52,-6.543145,-1.228163,10
1,0.54,-6.474325,-1.434621,10
1,0.56,-6.400212,-1.630492,10
1,0.58,-6.326099,-1.810482,10
1,0.6,-6.27316,-1.921651,10
1,0.6199999,-6.236104,-1.97459,10
1,0.6399999,-6.23081,-1.979884,10
1,0.6599999,-6.220222,-1.958708,10
1,0.6799999,-6.199047,-1.895182,10
1,0.6999999,-6.172579,-1.784012,10
1,0.7199998,-6.135521,-1.625198,10
1,0.7399998,-6.087877,-1.424034,10
1,0.7599998,-6.029645,-1.191106,10
1,0.7799998,-5.971413,-0.9687662,10
1,0.7999998,-5.892006,-0.6564319,10
1,0.8199998,-5.817893,-0.3599787,10
1,0.8399997,-5.727898,-0.06881952,10
1,0.8599997,-5.63261,0.2170461,10
1,0.8799997,-5.526734,0.4764426,10
1,0.8999997,-5.420857,0.6987822,10
1,0.9199997,-5.320275,0.8999473,10
1,0.9399996,-5.219694,1.064055,10
1,0.9599996,-5.14558,1.185812,10
1,0.9799996,-5.082054,1.259926,10
1,0.9999996,-5.039703,1.291689,10
1,1.02,-5.029116,1.291689,10
1,1.04,-5.007941,1.249338,10
1,1.06,-4.960296,1.143462,10
1,1.08,-4.912652,1.011117,10
1,1.1,-4.838539,0.8311278,10
1,1.12,-4.753838,0.6352568,10
1,1.14,-4.669137,0.4287982,10
1,1.159999,-4.579142,0.1799893,10
1,1.179999,-4.489148,-0.07411331,10
1,1.199999,-4.393859,-0.3493911,10
1,1.219999,-4.298571,-0.6140816,10
1,1.239999,-4.203282,-0.8946532,10
1,1.259999,-4.150344,-1.074643,10
1,1.279999,-4.017999,-1.413446,10
1,1.299999,-3.917417,-1.672843,10
1,1.319999,-3.822128,-1.969296,10
1,1.339999,-3.732133,-2.255161,10
1,1.359999,-3.636845,-2.525146,10
1,1.379999,-3.552144,-2.779248,10
1,1.399999,-3.462149,-3.001588,10
1,1.419999,-3.377448,-3.208046,10
1,1.439999,-3.303335,-3.398623,10
1,1.459999,-3.234515,-3.573319,10
1,1.479999,-3.17099,-3.72684,10
1,1.499999,-3.107464,-3.859184,10
1,1.519999,-3.054526,-3.975649,10
1,1.539999,-3.001589,-4.081524,10
1,1.559999,-2.938063,-4.187401,10
1,1.579999,-2.879831,-4.287982,10
1,1.599999,-2.821599,-4.377978,10
1,1.619999,-2.763367,-4.446797,10
1,1.639999,-2.710429,-4.510323,10
1,1.659999,-2.662785,-4.557967,10
1,1.679999,-2.631021,-4.579143,10
1,1.699999,-2.61514,-4.584436,10
1,1.719999,-2.609847,-4.584436,10
1,1.739999,-2.599259,-4.573848,10
1,1.759999,-2.583377,-4.542086,10
1,1.779999,-2.556908,-4.489148,10
1,1.799999,-2.53044,-4.404447,10
1,1.819999,-2.498677,-4.277396,10
1,1.839999,-2.466914,-4.107994,10
1,1.859999,-2.435151,-3.901535,10
1,1.879999,-2.398094,-3.663314,10
1,1.899999,-2.355744,-3.398623,10
1,1.919999,-2.3081,-3.107464,10
1,1.939999,-2.255162,-2.800423,10
1,1.959999,-2.196929,-2.482795,10
1,1.979999,-2.133404,-2.165166,10
1,1.999999,-2.069878,-1.852832,10
1,2.019999,-1.995764,-1.535204,10
1,2.039999,-1.916357,-1.222869,10
1,2.059999,-1.831657,-0.9052408,10
1,2.079999,-1.746956,-0.5982,10
1,2.099999,-1.667549,-0.301747,10
1,2.119999,-1.588142,-0.01058757,10
1,2.139999,-1.519322,0.269984,10
1,2.159999,-1.455796,0.539968,10
1,2.179999,-1.39227,0.7887769,10
1,2.199999,-1.334039,1.032292,10
1,2.219999,-1.2811,1.259926,10
1,2.239999,-1.244044,1.476972,10
1,2.259999,-1.206988,1.667549,10
1,2.279999,-1.16993,1.852832,10
1,2.299999,-1.143462,2.011647,10
1,2.319999,-1.111699,2.181048,10
1,2.339998,-1.069349,2.361038,10
1,2.359998,-1.037586,2.50397,10
1,2.379998,-1.005823,2.646904,10
1,2.399998,-0.9740607,2.779248,10
1,2.419998,-0.9422977,2.911593,10
1,2.439998,-0.9105347,3.033351,10
1,2.459998,-0.8734781,3.149815,10
1,2.479998,-0.8417151,3.266279,10
1,2.499998,-0.8152465,3.372155,10
1,2.519998,-0.7781898,3.467443,10
1,2.539998,-0.7358394,3.557438,10
1,2.559998,-0.6934878,3.642139,10
1,2.579998,-0.6564323,3.72684,10
