Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.946003,-0.04235059,10
test1,0.04,-7.829539,-0.03705651,10
test1,0.06,-7.750133,-0.02646893,10
test1,0.08,-7.628375,-0.005293787,10
test1,0.09999999,-7.559555,0.01058757,10
test1,0.12,-7.458973,0.0370568,10
test1,0.14,-7.395447,0.06352544,10
test1,0.16,-7.300159,0.1005822,10
test1,0.18,-7.241927,0.132345,10
test1,0.2,-7.167813,0.1799893,10
test1,0.22,-7.12017,0.2117521,10
test1,0.24,-7.035469,0.2593964,10
test1,0.26,-6.982531,0.2911592,10
test1,0.28,-6.89783,0.3493911,10
test1,0.3,-6.844892,0.3811538,10
test1,0.32,-6.749603,0.4393858,10
test1,0.34,-6.691371,0.4764426,10
test1,0.36,-6.601377,0.5346745,10
test1,0.38,-6.548439,0.5770248,10
test1,0.4,-6.469031,0.6352568,10
test1,0.42,-6.4108,0.6776071,10
test1,0.4400001,-6.326099,0.735839,10
test1,0.4600001,-6.267867,0.7781893,10
test1,0.4800001,-6.177872,0.8417153,10
test1,0.5000001,-6.124934,0.8840656,10
test1,0.52,-6.034939,0.9528852,10
test1,0.54,-5.971413,0.9952354,10
test1,0.56,-5.881419,1.064055,10
test1,0.58,-5.823186,1.111699,10
test1,0.6,-5.74378,1.180519,10
test1,0.6199999,-5.685548,1.228163,10
test1,0.6399999,-5.606141,1.30757,10
test1,0.6599999,-5.547909,1.360508,10
test1,0.6799999,-5.463209,1.429328,10
test1,0.6999999,-5.415564,1.482266,10
test1,0.7199998,-5.336156,1.556379,10
test1,0.7399998,-5.283219,1.604024,10
test1,0.7599998,-5.209105,1.672843,10
test1,0.7799998,-5.161461,1.720487,10
test1,0.7999998,-5.097935,1.789306,10
test1,0.8199998,-5.060879,1.831657,10
test1,0.8399997,-5.002647,1.889889,10
test1,0.8599997,-4.955003,1.937533,10
test1,0.8799997,-4.880889,2.001059,10
test1,0.8999997,-4.822657,2.048703,10
test1,0.9199997,-4.732663,2.106935,10
test1,0.9399996,-4.669137,2.143991,10
test1,0.9599996,-4.557968,2.207517,10
test1,0.9799996,-4.489148,2.244574,10
test1,0.9999996,-4.36739,2.292218,10
test1,1.02,-4.298571,2.318687,10
test1,1.04,-4.1874,2.355744,10
test1,1.06,-4.118582,2.371625,10
test1,1.08,-4.023293,2.3928,10
test1,1.1,-3.954474,2.408682,10
test1,1.12,-3.869772,2.41927,10
test1,1.14,-3.811541,2.424563,10
test1,1.159999,-3.721546,2.435151,10
test1,1.179999,-3.663314,2.445738,10
test1,1.199999,-3.568026,2.451032,10
test1,1.219999,-3.5045,2.451032,10
test1,1.239999,-3.403918,2.456326,10
test1,1.259999,-3.340392,2.456326,10
test1,1.279999,-3.250397,2.456326,10
test1,1.299999,-3.181577,2.456326,10
test1,1.319999,-3.096877,2.456326,10
test1,1.339999,-3.033351,2.456326,10
test1,1.359999,-2.943356,2.456326,10
test1,1.379999,-2.879831,2.456326,10
test1,1.399999,-2.784542,2.456326,10
test1,1.419999,-2.731604,2.451032,10
test1,1.439999,-2.64161,2.440445,10
test1,1.459999,-2.588671,2.429857,10
test1,1.479999,-2.509264,2.41927,10
test1,1.499999,-2.46162,2.408682,10
test1,1.519999,-2.3928,2.382213,10
test1,1.539999,-2.345156,2.361038,10
test1,1.559999,-2.28163,2.334569,10
test1,1.579999,-2.244574,2.313393,10
test1,1.599999,-2.196929,2.281631,10
test1,1.619999,-2.159873,2.255161,10
test1,1.639999,-2.106935,2.207517,10
test1,1.659999,-2.075172,2.175754,10
test1,1.679999,-2.027527,2.122817,10
test1,1.699999,-2.006353,2.08576,10
test1,1.719999,-1.969296,2.027528,10
test1,1.739999,-1.94812,1.985177,10
test1,1.759999,-1.916357,1.926945,10
test1,1.779999,-1.900476,1.884595,10
test1,1.799999,-1.879301,1.826363,10
test1,1.819999,-1.868713,1.778719,10
test1,1.839999,-1.852832,1.715193,10
test1,1.859999,-1.842244,1.662255,10
test1,1.879999,-1.826363,1.588142,10
test1,1.899999,-1.821069,1.535204,10
test1,1.919999,-1.805187,1.445209,10
test1,1.939999,-1.7946,1.381683,10
test1,1.959999,-1.784013,1.291689,10
test1,1.979999,-1.778719,1.228163,10
test1,1.999999,-1.768132,1.127581,10
test1,2.019999,-1.762837,1.064055,10
test1,2.039999,-1.757543,0.9528852,10
test1,2.059999,-1.746956,0.8364213,10
test1,2.079999,-1.736369,0.7570142,10
test1,2.099999,-1.731075,0.6723136,10
test1,2.119999,-1.720487,0.5505556,10
test1,2.139999,-1.715193,0.465855,10
test1,2.159999,-1.699312,0.33351,10
test1,2.179999,-1.694018,0.2488089,10
test1,2.199999,-1.68343,0.1164639,10
test1,2.219999,-1.672843,0.02646923,10
test1,2.239999,-1.662255,-0.1111698,10
test1,2.259999,-1.656962,-0.1958707,10
test1,2.279999,-1.656962,-0.3335097,10
test1,2.299999,-1.651668,-0.434092,10
test1,2.319999,-1.64108,-0.5770248,10
test1,2.339998,-1.635786,-0.6670195,10
test1,2.359998,-1.625199,-0.8099523,10
test1,2.379998,-1.614611,-0.9052408,10
test1,2.399998,-1.598729,-1.04288,10
test1,2.419998,-1.588142,-1.132874,10
test1,2.439998,-1.577554,-1.270513,10
test1,2.459998,-1.561673,-1.355214,10
test1,2.479998,-1.545792,-1.48756,10
test1,2.499998,-1.535203,-1.57226,10
test1,2.519998,-1.508735,-1.688724,10
test1,2.539998,-1.498147,-1.768131,10
test1,2.559998,-1.471678,-1.889889,10
