Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.977767,-0.04764438,10
test1,0.04,-7.893065,-0.04764438,10
test1,0.06,-7.840127,-0.04764438,10
test1,0.08,-7.76072,-0.04235059,10
test1,0.09999999,-7.707782,-0.03705651,10
test1,0.12,-7.633668,-0.02117515,10
test1,0.14,-7.580731,-0.01058757,10
test1,0.16,-7.506618,0.01588166,10
test1,0.18,-7.458973,0.03176272,10
test1,0.2,-7.379566,0.06352544,10
test1,0.22,-7.331922,0.08470118,10
test1,0.24,-7.247221,0.1270515,10
test1,0.26,-7.199577,0.1535201,10
test1,0.28,-7.114876,0.195871,10
test1,0.3,-7.061938,0.2223396,10
test1,0.32,-6.982531,0.2752781,10
test1,0.34,-6.929592,0.3070408,10
test1,0.36,-6.850185,0.3599787,10
test1,0.38,-6.802542,0.3917414,10
test1,0.4,-6.723135,0.4446799,10
test1,0.42,-6.664902,0.4817367,10
test1,0.4400001,-6.580202,0.539968,10
test1,0.4600001,-6.521969,0.5770248,10
test1,0.4800001,-6.442562,0.6352568,10
test1,0.5000001,-6.379036,0.6776071,10
test1,0.52,-6.294335,0.735839,10
test1,0.54,-6.236104,0.7781893,10
test1,0.56,-6.14611,0.8364213,10
test1,0.58,-6.087877,0.8734781,10
test1,0.6,-6.00847,0.93171,10
test1,0.6199999,-5.955532,0.9740603,10
test1,0.6399999,-5.876125,1.032292,10
test1,0.6599999,-5.823186,1.074643,10
test1,0.6799999,-5.74378,1.143462,10
test1,0.6999999,-5.696136,1.180519,10
test1,0.7199998,-5.627316,1.238751,10
test1,0.7399998,-5.574378,1.286395,10
test1,0.7599998,-5.500265,1.349921,10
test1,0.7799998,-5.452621,1.392271,10
test1,0.7999998,-5.383801,1.450503,10
test1,0.8199998,-5.330863,1.492853,10
test1,0.8399997,-5.251456,1.545792,10
test1,0.8599997,-5.203812,1.582848,10
test1,0.8799997,-5.124404,1.64108,10
test1,0.8999997,-5.071466,1.672843,10
test1,0.9199997,-4.997354,1.720487,10
test1,0.9399996,-4.944415,1.75225,10
test1,0.9599996,-4.859714,1.7946,10
test1,0.9799996,-4.796189,1.826363,10
test1,0.9999996,-4.7009,1.868713,10
test1,1.02,-4.642668,1.895183,10
test1,1.04,-4.54738,1.937533,10
test1,1.06,-4.47856,1.964002,10
test1,1.08,-4.383271,2.001059,10
test1,1.1,-4.309159,2.022234,10
test1,1.12,-4.208576,2.053997,10
test1,1.14,-4.139756,2.069878,10
test1,1.159999,-4.023293,2.091054,10
test1,1.179999,-3.949179,2.101641,10
test1,1.199999,-3.83801,2.117522,10
test1,1.219999,-3.763896,2.12811,10
test1,1.239999,-3.65802,2.12811,10
test1,1.259999,-3.5892,2.12811,10
test1,1.279999,-3.493912,2.122817,10
test1,1.299999,-3.440974,2.117522,10
test1,1.319999,-3.356274,2.096347,10
test1,1.339999,-3.298041,2.080466,10
test1,1.359999,-3.213341,2.048703,10
test1,1.379999,-3.155108,2.022234,10
test1,1.399999,-3.070407,1.985177,10
test1,1.419999,-3.01747,1.958708,10
test1,1.439999,-2.943356,1.916358,10
test1,1.459999,-2.895712,1.879301,10
test1,1.479999,-2.826892,1.810482,10
test1,1.499999,-2.789836,1.762838,10
test1,1.519999,-2.742192,1.688724,10
test1,1.539999,-2.715722,1.635786,10
test1,1.559999,-2.673372,1.535204,10
test1,1.579999,-2.646904,1.466385,10
test1,1.599999,-2.609847,1.349921,10
test1,1.619999,-2.593965,1.270514,10
test1,1.639999,-2.567496,1.143462,10
test1,1.659999,-2.551615,1.048174,10
test1,1.679999,-2.535733,0.9158283,10
test1,1.699999,-2.525146,0.8258337,10
test1,1.719999,-2.519851,0.6881946,10
test1,1.739999,-2.519851,0.5982,10
test1,1.759999,-2.519851,0.465855,10
test1,1.779999,-2.519851,0.3811538,10
test1,1.799999,-2.519851,0.2488089,10
test1,1.819999,-2.519851,0.1641083,10
test1,1.839999,-2.519851,0.0370568,10
test1,1.859999,-2.525146,-0.03705651,10
test1,1.879999,-2.53044,-0.1588142,10
test1,1.899999,-2.535733,-0.2329275,10
test1,1.919999,-2.535733,-0.3546849,10
test1,1.939999,-2.541027,-0.4287982,10
test1,1.959999,-2.541027,-0.5399683,10
test1,1.979999,-2.541027,-0.6087878,10
test1,1.999999,-2.546321,-0.7093701,10
test1,2.019999,-2.546321,-0.7781896,10
test1,2.039999,-2.546321,-0.8787718,10
test1,2.059999,-2.546321,-0.9422973,10
test1,2.079999,-2.546321,-1.037586,10
test1,2.099999,-2.546321,-1.101111,10
test1,2.119999,-2.546321,-1.1964,10
test1,2.139999,-2.541027,-1.254632,10
test1,2.159999,-2.53044,-1.344627,10
test1,2.179999,-2.519851,-1.408153,10
test1,2.199999,-2.50397,-1.492853,10
test1,2.219999,-2.493383,-1.545791,10
test1,2.239999,-2.477501,-1.625198,10
test1,2.259999,-2.46162,-1.672843,10
test1,2.279999,-2.435151,-1.741662,10
test1,2.299999,-2.41927,-1.789306,10
test1,2.319999,-2.398094,-1.852832,10
test1,2.339998,-2.382213,-1.895182,10
test1,2.359998,-2.35045,-1.953414,10
test1,2.379998,-2.334569,-1.990471,10
test1,2.399998,-2.297512,-2.048703,10
test1,2.419998,-2.276336,-2.085759,10
test1,2.439998,-2.228692,-2.143991,10
test1,2.459998,-2.196929,-2.181048,10
test1,2.479998,-2.143991,-2.233986,10
test1,2.499998,-2.106935,-2.271042,10
test1,2.519998,-2.048703,-2.318687,10
test1,2.539998,-2.006353,-2.35045,10
test1,2.559998,-1.932239,-2.3928,10
test1,2.579998,-1.879301,-2.419269,10
test1,2.599998,-1.805187,-2.46162,10
test1,2.619998,-1.746956,-2.482795,10
test1,2.639998,-1.656962,-2.514558,10
test1,2.659998,-1.588142,-2.535733,10
test1,2.679998,-1.487559,-2.556908,10
test1,2.699998,-1.413447,-2.567496,10
test1,2.719998,-1.302276,-2.583377,10
test1,2.739998,-1.222869,-2.593965,10
test1,2.759998,-1.095818,-2.609846,10
test1,2.779998,-1.000529,-2.61514,10
test1,2.799998,-0.8628906,-2.620434,10
test1,2.819998,-0.7676017,-2.620434,10
test1,2.839998,-0.6087875,-2.620434,10
test1,2.859998,-0.5029112,-2.61514,10
test1,2.879998,-0.3388039,-2.604553,10
test1,2.899998,-0.2223401,-2.588671,10
test1,2.919998,-0.03176296,-2.556908,10
test1,2.939998,0.08999455,-2.541027,10
test1,2.959998,0.2964535,-2.493382,10
test1,2.979998,0.4340928,-2.456326,10
test1,2.999998,0.6405517,-2.3928,10
test1,3.019998,0.7781898,-2.345156,10
test1,3.039998,1.00053,-2.260455,10
test1,3.059998,1.138168,-2.207517,10
test1,3.079998,1.339333,-2.106935,10
test1,3.099998,1.476972,-2.032821,10
test1,3.119998,1.672843,-1.932239,10
test1,3.139998,1.805188,-1.858126,10
test1,3.159998,2.011646,-1.741662,10
test1,3.179998,2.149285,-1.656961,10
test1,3.199998,2.345157,-1.52991,10
test1,3.219998,2.482795,-1.434621,10
test1,3.239998,2.678666,-1.286395,10
test1,3.259998,2.805717,-1.1964,10
test1,3.279998,2.991001,-1.069348,10
test1,3.299998,3.112758,-0.9793541,10
test1,3.319998,3.292747,-0.8417153,10
test1,3.339998,3.409211,-0.7517204,10
test1,3.359998,3.573319,-0.5982,10
test1,3.379997,3.684489,-0.4923239,10
test1,3.399997,3.838009,-0.3335097,10
test1,3.419997,3.94918,-0.2276337,10
test1,3.439997,4.1027,-0.06881952,10
test1,3.459997,4.187401,0.0370568,10
test1,3.479997,4.303864,0.1694018,10
test1,3.499997,4.372684,0.2541029,10
test1,3.519997,4.473266,0.3917414,10
test1,3.539997,4.536792,0.4764426,10
test1,3.559997,4.637374,0.6140816,10
test1,3.579997,4.695606,0.7040763,10
test1,3.599997,4.780307,0.8311278,10
test1,3.619997,4.833245,0.9211224,10
test1,3.639997,4.907359,1.04288,10
test1,3.659997,4.949708,1.127581,10
test1,3.679997,5.013235,1.244044,10
test1,3.699997,5.050292,1.318158,10
test1,3.719997,5.108523,1.424034,10
test1,3.739997,5.140286,1.492853,10
test1,3.759997,5.18793,1.593435,10
test1,3.779997,5.2144,1.656961,10
test1,3.799997,5.251456,1.75225,10
test1,3.819997,5.277925,1.810482,10
test1,3.839997,5.309688,1.895183,10
