Trial,time,PositionX,PositionY,PositionZ
1,0.02,-7.98306,-0.04235059,10
1,0.04,-7.951297,-0.04235059,10
1,0.06,-7.924829,-0.03705651,10
1,0.08,-7.887771,-0.02646893,10
1,0.09999999,-7.861302,-0.02117515,10
1,0.12,-7.824246,-0.01588136,10
1,0.14,-7.797777,-0.005293787,10
1,0.16,-7.755426,0,10
1,0.18,-7.723663,0.01058757,10
1,0.2,-7.670725,0.02117515,10
1,0.22,-7.638962,0.03176272,10
1,0.24,-7.580731,0.04764438,10
1,0.26,-7.543674,0.05823195,10
1,0.28,-7.485442,0.0794071,10
1,0.3,-7.448386,0.08999467,10
1,0.32,-7.390153,0.1164639,10
1,0.34,-7.358391,0.137639,10
1,0.36,-7.305453,0.1694018,10
1,0.38,-7.27369,0.1905769,10
1,0.4,-7.220752,0.2223396,10
1,0.42,-7.178401,0.2488089,10
1,0.4400001,-7.12017,0.2911592,10
1,0.4600001,-7.077819,0.3176284,10
1,0.4800001,-7.008999,0.3546852,10
1,0.5000001,-6.961356,0.3864479,10
1,0.52,-6.881949,0.4340923,10
1,0.54,-6.834304,0.4605609,10
1,0.56,-6.749603,0.5134994,10
1,0.58,-6.696665,0.5452621,10
1,0.6,-6.611964,0.5929065,10
1,0.6199999,-6.548439,0.6299627,10
1,0.6399999,-6.458443,0.6881946,10
1,0.6599999,-6.394918,0.7252514,10
1,0.6799999,-6.299629,0.7781893,10
1,0.6999999,-6.236104,0.8152461,10
1,0.7199998,-6.14611,0.8734781,10
1,0.7399998,-6.082583,0.9105349,10
1,0.7599998,-5.992588,0.9634727,10
1,0.7799998,-5.923769,1.00053,10
1,0.7999998,-5.828481,1.048174,10
1,0.8199998,-5.764955,1.08523,10
1,0.8399997,-5.67496,1.138169,10
1,0.8599997,-5.611434,1.175225,10
1,0.8799997,-5.510853,1.228163,10
1,0.8999997,-5.447327,1.265219,10
1,0.9199997,-5.336156,1.318158,10
1,0.9399996,-5.262043,1.349921,10
1,0.9599996,-5.150873,1.397565,10
1,0.9799996,-5.071466,1.434621,10
1,0.9999996,-4.944415,1.482266,10
1,1.02,-4.865008,1.514028,10
1,1.04,-4.737957,1.556379,10
