Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.998941,-0.02117515,10
test1,0.04,-7.91424,0,10
test1,0.06,-7.861302,0.02117515,10
test1,0.08,-7.766014,0.04764438,10
test1,0.09999999,-7.702488,0.06881952,10
test1,0.12,-7.6072,0.1005822,10
test1,0.14,-7.543674,0.1270515,10
test1,0.16,-7.448386,0.1641083,10
test1,0.18,-7.395447,0.1905769,10
test1,0.2,-7.31604,0.2329272,10
test1,0.22,-7.268396,0.2593964,10
test1,0.24,-7.188989,0.3017467,10
test1,0.26,-7.130757,0.33351,10
test1,0.28,-7.051351,0.3705662,10
test1,0.3,-6.998412,0.4023296,10
test1,0.32,-6.919005,0.4499733,10
test1,0.34,-6.871361,0.4817367,10
test1,0.36,-6.791954,0.5346745,10
test1,0.38,-6.739016,0.5717313,10
test1,0.4,-6.654315,0.6193751,10
test1,0.42,-6.596083,0.6564319,10
test1,0.4400001,-6.506088,0.7093698,10
test1,0.4600001,-6.447856,0.7411331,10
test1,0.4800001,-6.352568,0.794071,10
test1,0.5000001,-6.283748,0.8364213,10
test1,0.52,-6.193753,0.8840656,10
test1,0.54,-6.130228,0.9211224,10
test1,0.56,-6.034939,0.9740603,10
test1,0.58,-5.976707,1.005823,10
test1,0.6,-5.886713,1.058761,10
test1,0.6199999,-5.828481,1.095818,10
test1,0.6399999,-5.738486,1.143462,10
test1,0.6599999,-5.67496,1.180519,10
test1,0.6799999,-5.584965,1.238751,10
test1,0.6999999,-5.52144,1.275807,10
test1,0.7199998,-5.426151,1.328745,10
test1,0.7399998,-5.357331,1.365802,10
test1,0.7599998,-5.262043,1.41874,10
test1,0.7799998,-5.193224,1.450503,10
test1,0.7999998,-5.082054,1.498147,10
test1,0.8199998,-5.013235,1.524616,10
test1,0.8399997,-4.891477,1.566967,10
test1,0.8599997,-4.822657,1.593435,10
test1,0.8799997,-4.711488,1.630492,10
test1,0.8999997,-4.632081,1.656961,10
test1,0.9199997,-4.520911,1.688724,10
test1,0.9399996,-4.446797,1.704606,10
test1,0.9599996,-4.335627,1.720487,10
test1,0.9799996,-4.272102,1.731074,10
test1,0.9999996,-4.171519,1.736369,10
test1,1.02,-4.107994,1.736369,10
test1,1.04,-4.033881,1.736369,10
test1,1.06,-3.99153,1.725781,10
test1,1.08,-3.928005,1.709899,10
test1,1.1,-3.890948,1.694018,10
test1,1.12,-3.832716,1.662255,10
test1,1.14,-3.79566,1.64108,10
test1,1.159999,-3.737427,1.598729,10
test1,1.179999,-3.695077,1.57226,10
test1,1.199999,-3.642139,1.519322,10
test1,1.219999,-3.605082,1.476972,10
test1,1.239999,-3.562732,1.413446,10
test1,1.259999,-3.536263,1.365802,10
test1,1.279999,-3.5045,1.286395,10
test1,1.299999,-3.483325,1.233457,10
test1,1.319999,-3.451562,1.143462,10
test1,1.339999,-3.430386,1.08523,10
test1,1.359999,-3.403918,1.00053,10
test1,1.379999,-3.388036,0.9422976,10
test1,1.399999,-3.366861,0.8523029,10
test1,1.419999,-3.350979,0.7993644,10
test1,1.439999,-3.324511,0.7093698,10
test1,1.459999,-3.308629,0.6511384,10
test1,1.479999,-3.292748,0.5558497,10
test1,1.499999,-3.28216,0.4923242,10
test1,1.519999,-3.266278,0.3917414,10
test1,1.539999,-3.255691,0.33351,10
test1,1.559999,-3.23981,0.2382213,10
test1,1.579999,-3.234515,0.1746958,10
test1,1.599999,-3.223928,0.07411301,10
test1,1.619999,-3.223928,0.01058757,10
test1,1.639999,-3.218634,-0.0794071,10
test1,1.659999,-3.213341,-0.1429328,10
test1,1.679999,-3.208047,-0.2117524,10
test1,1.699999,-3.202753,-0.3070408,10
test1,1.719999,-3.197459,-0.4023293,10
test1,1.739999,-3.192165,-0.465855,10
test1,1.759999,-3.181577,-0.5611435,10
test1,1.779999,-3.176284,-0.629963,10
test1,1.799999,-3.17099,-0.735839,10
test1,1.819999,-3.17099,-0.7993647,10
test1,1.839999,-3.165696,-0.8946532,10
test1,1.859999,-3.160403,-0.9581786,10
test1,1.879999,-3.149815,-1.058761,10
test1,1.899999,-3.144521,-1.122287,10
test1,1.919999,-3.133934,-1.217575,10
test1,1.939999,-3.12864,-1.286395,10
test1,1.959999,-3.112758,-1.381683,10
test1,1.979999,-3.096877,-1.445209,10
test1,1.999999,-3.080996,-1.540497,10
test1,2.019999,-3.070407,-1.604023,10
test1,2.039999,-3.049233,-1.688724,10
test1,2.059999,-3.038645,-1.736368,10
test1,2.079999,-3.01747,-1.815775,10
test1,2.099999,-3.001589,-1.868713,10
test1,2.119999,-2.980413,-1.942827,10
test1,2.139999,-2.959238,-1.995765,10
test1,2.159999,-2.932769,-2.069878,10
test1,2.179999,-2.911593,-2.117522,10
test1,2.199999,-2.874537,-2.186342,10
test1,2.219999,-2.842774,-2.233986,10
test1,2.239999,-2.789836,-2.297512,10
test1,2.259999,-2.747485,-2.334568,10
test1,2.279999,-2.678666,-2.382213,10
test1,2.299999,-2.631021,-2.408682,10
test1,2.319999,-2.551615,-2.445738,10
test1,2.339998,-2.498677,-2.472208,10
test1,2.359998,-2.408682,-2.498676,10
test1,2.379998,-2.339863,-2.514558,10
test1,2.399998,-2.249868,-2.530439,10
test1,2.419998,-2.181048,-2.541027,10
test1,2.439998,-2.080466,-2.551615,10
