Trial,time,PositionX,PositionY,PositionZ
1,0.02,-7.988354,-0.06352574,10
1,0.04,-7.951297,-0.06352574,10
1,0.06,-7.898359,-0.06352574,10
1,0.08,-7.866596,-0.06352574,10
1,0.09999999,-7.818952,-0.05823195,10
1,0.12,-7.787189,-0.05293816,10
1,0.14,-7.750133,-0.04764438,10
1,0.16,-7.723663,-0.04235059,10
1,0.18,-7.691901,-0.03705651,10
1,0.2,-7.665431,-0.03176272,10
1,0.22,-7.628375,-0.02117515,10
1,0.24,-7.601906,-0.01588136,10
1,0.26,-7.559555,-0.005293787,10
1,0.28,-7.533087,0,10
1,0.3,-7.490736,0.01588166,10
1,0.32,-7.458973,0.02646923,10
1,0.34,-7.416623,0.04235029,10
1,0.36,-7.379566,0.05293787,10
1,0.38,-7.326628,0.07411301,10
1,0.4,-7.284278,0.08470118,10
1,0.42,-7.226046,0.1111698,10
1,0.4400001,-7.188989,0.1270515,10
1,0.4600001,-7.12017,0.1535201,10
1,0.4800001,-7.072525,0.1746958,10
1,0.5000001,-7.003706,0.2064586,10
1,0.52,-6.961356,0.2276337,10
1,0.54,-6.903124,0.269984,10
1,0.56,-6.860773,0.3017467,10
1,0.58,-6.802542,0.3440976,10
1,0.6,-6.765484,0.3705662,10
1,0.6199999,-6.701959,0.4235047,10
1,0.6399999,-6.659609,0.4552674,10
1,0.6599999,-6.590789,0.5029118,10
1,0.6799999,-6.543145,0.5346745,10
1,0.6999999,-6.474325,0.5876124,10
1,0.7199998,-6.421387,0.6193751,10
1,0.7399998,-6.34198,0.6723136,10
1,0.7599998,-6.289042,0.7040763,10
1,0.7799998,-6.209635,0.7570142,10
1,0.7999998,-6.151403,0.794071,10
1,0.8199998,-6.066702,0.8470088,10
1,0.8399997,-6.003176,0.8893597,10
1,0.8599997,-5.902594,0.9422976,10
1,0.8799997,-5.833774,0.9793544,10
1,0.8999997,-5.727898,1.026998,10
1,0.9199997,-5.653785,1.064055,10
1,0.9399996,-5.542615,1.116993,10
1,0.9599996,-5.457915,1.15405,10
1,0.9799996,-5.346744,1.206988,10
1,0.9999996,-5.267337,1.244044,10
1,1.02,-5.140286,1.302276,10
1,1.04,-5.060879,1.339333,10
1,1.06,-4.939121,1.392271,10
1,1.08,-4.859714,1.424034,10
1,1.1,-4.748545,1.466385,10
1,1.12,-4.674431,1.498147,10
1,1.14,-4.568555,1.540498,10
1,1.159999,-4.494442,1.566967,10
1,1.179999,-4.377978,1.614611,10
1,1.199999,-4.303864,1.64108,10
1,1.219999,-4.1874,1.678137,10
1,1.239999,-4.107994,1.704606,10
1,1.259999,-3.980942,1.741662,10
1,1.279999,-3.890948,1.757544,10
1,1.299999,-3.758603,1.778719,10
1,1.319999,-3.668607,1.7946,10
1,1.339999,-3.541556,1.799894,10
1,1.359999,-3.456856,1.799894,10
1,1.379999,-3.329804,1.799894,10
1,1.399999,-3.255691,1.7946,10
1,1.419999,-3.149815,1.778719,10
1,1.439999,-3.086289,1.762838,10
1,1.459999,-3.001589,1.736369,10
1,1.479999,-2.938063,1.709899,10
1,1.499999,-2.858655,1.678137,10
1,1.519999,-2.805718,1.646374,10
1,1.539999,-2.72631,1.609317,10
1,1.559999,-2.673372,1.582848,10
1,1.579999,-2.593965,1.52991,10
1,1.599999,-2.546321,1.492853,10
1,1.619999,-2.477501,1.424034,10
1,1.639999,-2.429857,1.37639,10
1,1.659999,-2.366332,1.296983,10
1,1.679999,-2.318687,1.244044,10
1,1.699999,-2.244574,1.159344,10
1,1.719999,-2.196929,1.101112,10
1,1.739999,-2.12811,1.005823,10
1,1.759999,-2.091054,0.9475911,10
1,1.779999,-2.032821,0.8470088,10
1,1.799999,-2.001059,0.7676017,10
1,1.819999,-1.964001,0.6564319,10
1,1.839999,-1.94812,0.5664372,10
1,1.859999,-1.937533,0.4393858,10
1,1.879999,-1.932239,0.3388035,10
1,1.899999,-1.926946,0.195871,10
1,1.919999,-1.926946,0.09528875,10
1,1.939999,-1.921651,-0.06352574,10
1,1.959999,-1.921651,-0.1588142,10
1,1.979999,-1.911064,-0.3070408,10
1,1.999999,-1.90577,-0.4076231,10
1,2.019999,-1.895183,-0.5505559,10
1,2.039999,-1.884594,-0.6511381,10
1,2.059999,-1.868713,-0.794071,10
1,2.079999,-1.858126,-0.8893594,10
1,2.099999,-1.852832,-1.037586,10
1,2.119999,-1.852832,-1.138168,10
1,2.139999,-1.847539,-1.281101,10
1,2.159999,-1.83695,-1.37639,10
1,2.179999,-1.826363,-1.508734,10
1,2.199999,-1.815776,-1.598729,10
1,2.219999,-1.799894,-1.736368,10
1,2.239999,-1.784013,-1.821069,10
1,2.259999,-1.75225,-1.942827,10
1,2.279999,-1.72578,-2.011646,10
1,2.299999,-1.672843,-2.112228,10
1,2.319999,-1.635786,-2.175754,10
1,2.339998,-1.566966,-2.255161,10
1,2.359998,-1.514029,-2.308099,10
1,2.379998,-1.434621,-2.382213,10
1,2.399998,-1.376389,-2.43515,10
1,2.419998,-1.286395,-2.50397,10
1,2.439998,-1.228163,-2.551615,10
1,2.459998,-1.132875,-2.61514,10
1,2.479998,-1.069349,-2.65749,10
1,2.499998,-0.9528852,-2.715722,10
1,2.519998,-0.8787718,-2.752779,10
1,2.539998,-0.7570137,-2.800423,10
1,2.559998,-0.6670197,-2.832187,10
1,2.579998,-0.5346736,-2.86395,10
1,2.599998,-0.4393853,-2.879831,10
1,2.619998,-0.3017472,-2.895712,10
1,2.639998,-0.2064583,-2.895712,10
1,2.659998,-0.06352592,-2.895712,10
1,2.679998,0.03705729,-2.895712,10
1,2.699998,0.1799903,-2.885124,10
1,2.719998,0.285866,-2.86395,10
1,2.739998,0.4340928,-2.83748,10
1,2.759998,0.5346748,-2.805717,10
1,2.779998,0.6881952,-2.758073,10
1,2.799998,0.7887772,-2.715722,10
1,2.819998,0.9475914,-2.652197,10
1,2.839998,1.048173,-2.604553,10
1,2.859998,1.1964,-2.525146,10
1,2.879998,1.302276,-2.466913,10
1,2.899998,1.445209,-2.382213,10
1,2.919998,1.545791,-2.313393,10
1,2.939998,1.688724,-2.202224,10
1,2.959998,1.784012,-2.122817,10
1,2.979998,1.921651,-1.995765,10
1,2.999998,2.011646,-1.90577,10
1,3.019998,2.138698,-1.773425,10
1,3.039998,2.228692,-1.672843,10
1,3.059998,2.355744,-1.535204,10
1,3.079998,2.435151,-1.439915,10
1,3.099998,2.551615,-1.291688,10
1,3.119998,2.625728,-1.1964,10
1,3.139998,2.736897,-1.04288,10
1,3.159998,2.805717,-0.9475914,10
1,3.179998,2.9063,-0.8099523,10
1,3.199998,2.975119,-0.7093701,10
1,3.219998,3.075702,-0.5611435,10
1,3.239998,3.149815,-0.4605612,10
1,3.259998,3.255691,-0.3229222,10
1,3.279998,3.329804,-0.2276337,10
1,3.299998,3.43568,-0.08999467,10
1,3.319998,3.5045,0.005294085,10
1,3.339998,3.61567,0.1535201,10
1,3.359998,3.689782,0.2488089,10
1,3.379997,3.800953,0.3970355,10
1,3.399997,3.869773,0.4870301,10
1,3.419997,3.970355,0.6246692,10
1,3.439997,4.039175,0.7146639,10
1,3.459997,4.134463,0.8470088,10
1,3.479997,4.203282,0.9370035,10
1,3.499997,4.287983,1.053467,10
1,3.519997,4.346215,1.127581,10
1,3.539997,4.430916,1.244044,10
1,3.559997,4.483853,1.323451,10
1,3.579997,4.557967,1.434621,10
1,3.599997,4.610905,1.514028,10
1,3.619997,4.690312,1.630492,10
1,3.639997,4.737957,1.704606,10
1,3.659997,4.806777,1.821069,10
1,3.679997,4.849126,1.895183,10
1,3.699997,4.907359,2.011647,10
1,3.719997,4.939121,2.080466,10
1,3.739997,4.986766,2.181048,10
1,3.759997,5.013235,2.249868,10
1,3.779997,5.044998,2.345156,10
1,3.799997,5.066173,2.413976,10
1,3.819997,5.082054,2.50397,10
1,3.839997,5.092641,2.567496,10
1,3.859997,5.103229,2.657491,10
1,3.879997,5.108523,2.715722,10
1,3.899997,5.108523,2.800424,10
1,3.919997,5.103229,2.848068,10
1,3.939997,5.082054,2.927475,10
1,3.959997,5.066173,2.980413,10
1,3.979997,5.03441,3.049232,10
1,3.999997,5.007941,3.096877,10
1,4.019997,4.970885,3.160403,10
1,4.039997,4.944415,3.202753,10
1,4.059997,4.907359,3.260984,10
1,4.079997,4.880889,3.303336,10
1,4.099997,4.838539,3.356273,10
1,4.119997,4.81207,3.39333,10
1,4.139997,4.76972,3.451562,10
1,4.159997,4.743251,3.483325,10
1,4.179997,4.695606,3.536264,10
1,4.199997,4.65855,3.568027,10
1,4.219997,4.605612,3.610376,10
1,4.239997,4.563261,3.636845,10
1,4.259997,4.499736,3.668609,10
1,4.279997,4.457385,3.689783,10
1,4.299997,4.393859,3.716252,10
1,4.319997,4.340922,3.732134,10
1,4.339997,4.272102,3.753309,10
1,4.359997,4.219163,3.763897,10
1,4.379997,4.14505,3.774485,10
1,4.399997,4.092113,3.779778,10
1,4.419997,4.002117,3.785071,10
1,4.439997,3.943886,3.790367,10
1,4.459997,3.838009,3.790367,10
1,4.479997,3.76919,3.790367,10
1,4.499997,3.652726,3.785071,10
1,4.519997,3.568026,3.774485,10
1,4.539997,3.425092,3.753309,10
1,4.559997,3.319217,3.737427,10
1,4.579997,3.149815,3.705664,10
1,4.599997,3.038645,3.695078,10
1,4.619997,2.87983,3.68449,10
1,4.639997,2.773955,3.673902,10
1,4.659997,2.61514,3.668609,10
1,4.679996,2.503971,3.65802,10
1,4.699996,2.345157,3.652727,10
1,4.719996,2.23928,3.647434,10
1,4.739996,2.080466,3.631552,10
1,4.759996,1.969296,3.626257,10
1,4.779996,1.815776,3.620964,10
1,4.799996,1.7099,3.615671,10
1,4.819996,1.545791,3.615671,10
1,4.839996,1.439915,3.615671,10
1,4.859996,1.281101,3.615671,10
1,4.879996,1.175225,3.615671,10
1,4.899996,1.011117,3.615671,10
1,4.919996,0.9052404,3.615671,10
1,4.939996,0.7464262,3.615671,10
1,4.959996,0.6352568,3.615671,10
1,4.979996,0.4711488,3.610376,10
1,4.999996,0.3599794,3.610376,10
1,5.019996,0.2011652,3.605083,10
1,5.039996,0.08999455,3.59979,10
1,5.059996,-0.05293786,3.583908,10
1,5.079996,-0.142933,3.562732,10
1,5.099996,-0.2805711,3.530969,10
1,5.119996,-0.3705662,3.509794,10
1,5.139996,-0.5029112,3.467443,10
1,5.159996,-0.5823183,3.440974,10
1,5.179996,-0.7093695,3.388036,10
1,5.199996,-0.7834835,3.35098,10
1,5.219996,-0.8999467,3.298041,10
1,5.239996,-0.9740607,3.255692,10
1,5.259996,-1.090523,3.181577,10
1,5.279996,-1.164637,3.133934,10
1,5.299996,-1.286395,3.054526,10
1,5.319996,-1.360507,3.001588,10
1,5.339996,-1.482266,2.922181,10
1,5.359996,-1.556379,2.869243,10
1,5.379996,-1.678136,2.779248,10
1,5.399996,-1.757543,2.721016,10
1,5.419996,-1.874007,2.641609,10
