Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.977767,0.02646923,10
test1,0.04,-7.908947,0.02646923,10
test1,0.06,-7.808364,0.02646923,10
test1,0.08,-7.739545,0.02646923,10
test1,0.09999999,-7.64955,0.02117515,10
test1,0.12,-7.596612,0.02117515,10
test1,0.14,-7.517206,0.02117515,10
test1,0.16,-7.464267,0.02117515,10
test1,0.18,-7.38486,0.02117515,10
test1,0.2,-7.337216,0.01588166,10
test1,0.22,-7.252514,0.01588166,10
test1,0.24,-7.199577,0.01588166,10
test1,0.26,-7.109582,0.01058757,10
test1,0.28,-7.035469,0.01058757,10
test1,0.3,-6.924298,0.01058757,10
test1,0.32,-6.834304,0.005294085,10
test1,0.34,-6.707253,0.005294085,10
test1,0.36,-6.611964,0,10
test1,0.38,-6.469031,0,10
test1,0.4,-6.373743,0,10
test1,0.42,-6.214928,0,10
test1,0.4400001,-6.114347,0,10
test1,0.4600001,-5.955532,0,10
test1,0.4800001,-5.849656,0,10
test1,0.5000001,-5.680254,0.005294085,10
test1,0.52,-5.569084,0.005294085,10
test1,0.54,-5.399683,0.01058757,10
test1,0.56,-5.283219,0.01588166,10
test1,0.58,-5.11911,0.02646923,10
test1,0.6,-4.997354,0.0370568,10
test1,0.6199999,-4.833245,0.04764438,10
test1,0.6399999,-4.716782,0.05293787,10
test1,0.6599999,-4.557968,0.05823195,10
test1,0.6799999,-4.452091,0.05823195,10
test1,0.6999999,-4.298571,0.05823195,10
test1,0.7199998,-4.203282,0.05823195,10
test1,0.7399998,-4.060349,0.04235029,10
test1,0.7599998,-3.970355,0.02646923,10
test1,0.7799998,-3.832716,-0.01058757,10
test1,0.7999998,-3.737427,-0.03176272,10
test1,0.8199998,-3.605082,-0.07411331,10
test1,0.8399997,-3.515088,-0.105876,10
test1,0.8599997,-3.39333,-0.1482266,10
test1,0.8799997,-3.308629,-0.1852831,10
test1,0.8999997,-3.192165,-0.2382213,10
test1,0.9199997,-3.118052,-0.2858657,10
test1,0.9399996,-3.022763,-0.3599787,10
test1,0.9599996,-2.959238,-0.4129168,10
test1,0.9799996,-2.874537,-0.4976177,10
test1,0.9999996,-2.816305,-0.5558497,10
test1,1.02,-2.72631,-0.6511381,10
test1,1.04,-2.657491,-0.7146639,10
test1,1.06,-2.541027,-0.8205399,10
test1,1.08,-2.456326,-0.8946532,10
test1,1.1,-2.302806,-1.016411,10
test1,1.12,-2.191636,-1.101111,10
test1,1.14,-2.011646,-1.217575,10
test1,1.159999,-1.889889,-1.286395,10
test1,1.179999,-1.68343,-1.402858,10
test1,1.199999,-1.535203,-1.471678,10
test1,1.219999,-1.302276,-1.556379,10
test1,1.239999,-1.132875,-1.609317,10
test1,1.259999,-0.8734781,-1.68343,10
test1,1.279999,-0.7093695,-1.731074,10
test1,1.299999,-0.4446796,-1.778718,10
test1,1.319999,-0.2646899,-1.805188,10
test1,1.339999,-0.01058685,-1.836951,10
test1,1.359999,0.1482267,-1.852832,10
test1,1.379999,0.3917418,-1.858126,10
test1,1.399999,0.5399685,-1.858126,10
