Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.887771,-0.1323453,10
test1,0.04,-7.686607,-0.1323453,10
test1,0.06,-7.554262,-0.1164636,10
test1,0.08,-7.363685,-0.08999467,10
test1,0.09999999,-7.241927,-0.05823195,10
test1,0.12,-7.077819,0.01588166,10
test1,0.14,-6.96665,0.06881952,10
test1,0.16,-6.791954,0.1535201,10
test1,0.18,-6.680783,0.2170461,10
test1,0.2,-6.500794,0.328216,10
test1,0.22,-6.394918,0.3970355,10
test1,0.24,-6.236104,0.524087,10
test1,0.26,-6.135521,0.6087875,10
test1,0.28,-5.992588,0.7464266,10
test1,0.3,-5.8973,0.8417153,10
test1,0.32,-5.770249,0.9740603,10
test1,0.34,-5.680254,1.069349,10
test1,0.36,-5.547909,1.1964,10
test1,0.38,-5.468502,1.275807,10
test1,0.4,-5.336156,1.392271,10
test1,0.42,-5.25675,1.466385,10
test1,0.4400001,-5.129698,1.556379,10
test1,0.4600001,-5.050291,1.609317,10
test1,0.4800001,-4.907359,1.678137,10
test1,0.5000001,-4.817364,1.709899,10
test1,0.52,-4.669137,1.757544,10
test1,0.54,-4.568555,1.784013,10
test1,0.56,-4.40974,1.805188,10
test1,0.58,-4.303864,1.815776,10
test1,0.6,-4.150344,1.815776,10
test1,0.6199999,-4.044468,1.815776,10
test1,0.6399999,-3.88036,1.815776,10
test1,0.6599999,-3.774484,1.815776,10
test1,0.6799999,-3.610376,1.799894,10
test1,0.6999999,-3.509793,1.778719,10
test1,0.7199998,-3.366861,1.736369,10
test1,0.7399998,-3.28216,1.699312,10
test1,0.7599998,-3.165696,1.625199,10
test1,0.7799998,-3.091583,1.566967,10
test1,0.7999998,-2.996294,1.466385,10
test1,0.8199998,-2.927475,1.386977,10
test1,0.8399997,-2.832186,1.265219,10
test1,0.8599997,-2.768661,1.175225,10
test1,0.8799997,-2.68396,1.021705,10
test1,0.8999997,-2.631021,0.9211224,10
test1,0.9199997,-2.556908,0.7623082,10
test1,0.9399996,-2.514558,0.6511384,10
test1,0.9599996,-2.451033,0.4711485,10
test1,0.9799996,-2.403389,0.33351,10
test1,0.9999996,-2.345156,0.1270515,10
test1,1.02,-2.3081,-0.01058757,10
test1,1.04,-2.265749,-0.2011648,10
test1,1.06,-2.228692,-0.3335097,10
test1,1.08,-2.154579,-0.5187929,10
test1,1.1,-2.101641,-0.6352568,10
test1,1.12,-2.022234,-0.7887772,10
test1,1.14,-1.969296,-0.899947,10
test1,1.159999,-1.884594,-1.058761,10
test1,1.179999,-1.826363,-1.164637,10
test1,1.199999,-1.720487,-1.318157,10
test1,1.219999,-1.646373,-1.41874,10
test1,1.239999,-1.535203,-1.561672,10
test1,1.259999,-1.450503,-1.656961,10
test1,1.279999,-1.318158,-1.7946,10
test1,1.299999,-1.222869,-1.879301,10
test1,1.319999,-1.069349,-2.006352,10
test1,1.339999,-0.9581789,-2.075172,10
test1,1.359999,-0.7676017,-2.159873,10
test1,1.379999,-0.6352568,-2.212811,10
test1,1.399999,-0.4393853,-2.265749,10
test1,1.419999,-0.2964523,-2.297512,10
test1,1.439999,-0.09528827,-2.323981,10
test1,1.459999,0.04235101,-2.329275,10
test1,1.479999,0.2382213,-2.329275,10
test1,1.499999,0.3758606,-2.329275,10
test1,1.519999,0.5717309,-2.318687,10
test1,1.539999,0.6987827,-2.297512,10
test1,1.559999,0.8681843,-2.276336,10
