Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.98306,-0.08999467,10
test1,0.04,-7.951297,-0.09528846,10
test1,0.06,-7.91424,-0.1005822,10
test1,0.08,-7.850715,-0.105876,10
test1,0.09999999,-7.776602,-0.1111698,10
test1,0.12,-7.728957,-0.1164636,10
test1,0.14,-7.676019,-0.1217577,10
test1,0.16,-7.591318,-0.1270515,10
test1,0.18,-7.501324,-0.1323453,10
test1,0.2,-7.437799,-0.1323453,10
test1,0.22,-7.34251,-0.1323453,10
test1,0.24,-7.268396,-0.1323453,10
test1,0.26,-7.194283,-0.1323453,10
test1,0.28,-7.072525,-0.137639,10
test1,0.3,-6.945474,-0.1429328,10
test1,0.32,-6.855479,-0.1429328,10
test1,0.34,-6.776072,-0.1429328,10
test1,0.36,-6.643727,-0.1429328,10
test1,0.38,-6.559026,-0.1429328,10
test1,0.4,-6.421387,-0.1323453,10
test1,0.42,-6.294335,-0.1111698,10
test1,0.4400001,-6.209635,-0.09528846,10
test1,0.4600001,-6.093172,-0.05823195,10
test1,0.4800001,-6.013764,-0.03176272,10
test1,0.5000001,-5.902594,0.02117515,10
test1,0.52,-5.823186,0.06352544,10
test1,0.54,-5.749074,0.1058763,10
test1,0.56,-5.643198,0.1746958,10
test1,0.58,-5.56379,0.2223396,10
test1,0.6,-5.452621,0.2964532,10
test1,0.6199999,-5.34145,0.3811538,10
test1,0.6399999,-5.272631,0.4340923,10
test1,0.6599999,-5.209105,0.4923242,10
test1,0.6799999,-5.103229,0.5770248,10
test1,0.6999999,-4.992059,0.6670195,10
test1,0.7199998,-4.912652,0.7305455,10
test1,0.7399998,-4.81207,0.8205402,10
test1,0.7599998,-4.737957,0.8787715,10
test1,0.7799998,-4.632081,0.9687668,10
test1,0.7999998,-4.563261,1.021705,10
test1,0.8199998,-4.452091,1.106405,10
test1,0.8399997,-4.388566,1.159344,10
test1,0.8599997,-4.319746,1.212282,10
test1,0.8799997,-4.224457,1.281101,10
test1,0.8999997,-4.160932,1.328745,10
test1,0.9199997,-4.060349,1.397565,10
test1,0.9399996,-3.970355,1.46109,10
test1,0.9599996,-3.901535,1.498147,10
test1,0.9799996,-3.843304,1.540498,10
test1,0.9999996,-3.753309,1.593435,10
test1,1.02,-3.689783,1.625199,10
test1,1.04,-3.594495,1.672843,10
test1,1.06,-3.493912,1.709899,10
test1,1.08,-3.430386,1.731074,10
test1,1.1,-3.366861,1.741662,10
test1,1.12,-3.271572,1.75225,10
test1,1.14,-3.181577,1.75225,10
test1,1.159999,-3.12864,1.75225,10
test1,1.179999,-3.049233,1.746956,10
test1,1.199999,-3.006882,1.731074,10
test1,1.219999,-2.969826,1.715193,10
test1,1.239999,-2.922181,1.678137,10
test1,1.259999,-2.895712,1.651667,10
test1,1.279999,-2.858655,1.604024,10
test1,1.299999,-2.83748,1.561673,10
test1,1.319999,-2.811011,1.498147,10
test1,1.339999,-2.79513,1.41874,10
