Trial,time,PositionX,PositionY,PositionZ
1,0.02,-7.988354,-0.05293816,10
1,0.04,-7.908947,-0.05823195,10
1,0.06,-7.856009,-0.06352574,10
1,0.08,-7.766014,-0.06881952,10
1,0.09999999,-7.702488,-0.07411331,10
1,0.12,-7.6072,-0.08470088,10
1,0.14,-7.548968,-0.08470088,10
1,0.16,-7.469561,-0.09528846,10
1,0.18,-7.421916,-0.1005822,10
1,0.2,-7.358391,-0.1111698,10
1,0.22,-7.321334,-0.1164636,10
1,0.24,-7.278984,-0.1270515,10
1,0.26,-7.257809,-0.1270515,10
1,0.28,-7.220752,-0.1323453,10
1,0.3,-7.194283,-0.137639,10
1,0.32,-7.141345,-0.137639,10
1,0.34,-7.104288,-0.137639,10
1,0.36,-7.024881,-0.137639,10
1,0.38,-6.96665,-0.1217577,10
1,0.4,-6.860773,-0.08999467,10
1,0.42,-6.776072,-0.06881952,10
1,0.4400001,-6.643727,-0.01588136,10
1,0.4600001,-6.53785,0.02117515,10
1,0.4800001,-6.379036,0.08999467,10
1,0.5000001,-6.257279,0.1429325,10
1,0.52,-6.082583,0.2223396,10
1,0.54,-5.960826,0.2805716,10
1,0.56,-5.759661,0.3758603,10
1,0.58,-5.616729,0.4393858,10
1,0.6,-5.404976,0.524087,10
1,0.6199999,-5.262043,0.5876124,10
1,0.6399999,-5.039703,0.6723136,10
1,0.6599999,-4.886183,0.7252514,10
1,0.6799999,-4.653255,0.8046585,10
1,0.6999999,-4.489148,0.8523029,10
1,0.7199998,-4.240339,0.8999473,10
1,0.7399998,-4.076231,0.9211224,10
1,0.7599998,-3.83801,0.9370035,10
1,0.7799998,-3.663314,0.9422976,10
1,0.7999998,-3.414505,0.9422976,10
1,0.8199998,-3.255691,0.9370035,10
1,0.8399997,-3.01747,0.8946532,10
1,0.8599997,-2.858655,0.8523029,10
1,0.8799997,-2.673372,0.7728958,10
1,0.8999997,-2.567496,0.6987822,10
1,0.9199997,-2.403389,0.5452621,10
1,0.9399996,-2.313393,0.4235047,10
1,0.9599996,-2.165167,0.2011645,10
1,0.9799996,-2.069878,0.04235029,10
1,0.9999996,-1.942827,-0.2064586,10
1,1.02,-1.858126,-0.3652728,10
1,1.04,-1.72578,-0.6246692,10
1,1.06,-1.630492,-0.7834834,10
1,1.08,-1.466384,-1.026999,10
1,1.1,-1.360507,-1.185813,10
1,1.12,-1.16993,-1.41874,10
1,1.14,-1.032292,-1.577554,10
1,1.159999,-0.8046578,-1.778718,10
1,1.179999,-0.6299624,-1.889889,10
1,1.199999,-0.3282152,-2.053997,10
1,1.219999,-0.1111701,-2.138698,10
1,1.239999,0.2223401,-2.228692,10
1,1.259999,0.4552677,-2.276336,10
1,1.279999,0.7993647,-2.292218,10
1,1.299999,1.026999,-2.292218,10
1,1.319999,1.355214,-2.244574,10
1,1.339999,1.540497,-2.191635,10
1,1.359999,1.784012,-2.085759,10
1,1.379999,1.90577,-2.011646,10
1,1.399999,2.048703,-1.858126,10
1,1.419999,2.112229,-1.762837,10
1,1.439999,2.159873,-1.577554,10
1,1.459999,2.17046,-1.434621,10
1,1.479999,2.17046,-1.206988,10
1,1.499999,2.17046,-1.04288,10
1,1.519999,2.154579,-0.7887772,10
1,1.539999,2.149285,-0.6140816,10
1,1.559999,2.138698,-0.328216,10
1,1.579999,2.138698,-0.1217577,10
1,1.599999,2.138698,0.2011645,10
1,1.619999,2.138698,0.4076231,10
1,1.639999,2.138698,0.7305455,10
1,1.659999,2.149285,0.9422976,10
1,1.679999,2.181048,1.233457,10
1,1.699999,2.212811,1.424034,10
1,1.719999,2.292218,1.688724,10
1,1.739999,2.350451,1.847538,10
1,1.759999,2.451033,2.043409,10
1,1.779999,2.541027,2.159873,10
1,1.799999,2.705135,2.302806,10
1,1.819999,2.816304,2.366331,10
1,1.839999,3.022763,2.445738,10
1,1.859999,3.17099,2.482795,10
1,1.879999,3.409211,2.493383,10
1,1.899999,3.573319,2.482795,10
1,1.919999,3.816834,2.408682,10
1,1.939999,3.980942,2.339863,10
1,1.959999,4.219163,2.186342,10
1,1.979999,4.383271,2.048703,10
1,1.999999,4.600318,1.805188,10
