Trial,time,PositionX,PositionY,PositionZ
11,0.02,-7.993648,-2.143991,10
11,0.04,-7.94071,-2.35045,10
11,0.06,-7.882477,-2.535733,10
11,0.08,-7.818952,-2.710429,10
11,0.09999999,-7.750133,-2.879831,10
11,0.12,-7.670725,-3.043939,10
11,0.14,-7.570143,-3.192165,10
11,0.16,-7.464267,-3.313923,10
11,0.18,-7.353097,-3.403918,10
11,0.2,-7.241927,-3.456855,10
11,0.22,-7.136051,-3.478031,10
11,0.24,-7.030175,-3.472737,10
11,0.26,-6.924298,-3.398623,10
11,0.28,-6.82901,-3.266279,10
11,0.3,-6.749603,-3.054526,10
11,0.32,-6.686077,-2.763367,10
11,0.34,-6.654315,-2.451032,10
11,0.36,-6.627846,-2.138698,10
11,0.38,-6.596083,-1.852832,10
11,0.4,-6.543145,-1.508734,10
11,0.42,-6.495501,-1.191106,10
11,0.4400001,-6.442562,-0.8787718,10
11,0.4600001,-6.389625,-0.5929062,10
11,0.4800001,-6.304924,-0.2488089,10
11,0.5000001,-6.209635,0.05823195,10
11,0.52,-6.109053,0.2858657,10
11,0.54,-5.997882,0.4817367,10
11,0.56,-5.892006,0.6140816,10
11,0.58,-5.802011,0.6670195,10
11,0.6,-5.738486,0.6723136,10
11,0.6199999,-5.685548,0.6352568,10
11,0.6399999,-5.616729,0.5187929,10
11,0.6599999,-5.547909,0.3599787,10
11,0.6799999,-5.47909,0.1746958,10
11,0.6999999,-5.41027,-0.04235059,10
11,0.7199998,-5.346744,-0.2911595,10
11,0.7399998,-5.283219,-0.571731,10
11,0.7599998,-5.235575,-0.8734781,10
11,0.7799998,-5.18793,-1.079936,10
11,0.7999998,-5.150873,-1.032292,10
11,0.8199998,-5.124404,-1.30757,10
11,0.8399997,-5.092641,-1.619904,10
11,0.8599997,-5.039703,-1.937533,10
11,0.8799997,-4.981472,-2.249868,10
11,0.8999997,-4.912652,-2.556908,10
11,0.9199997,-4.822657,-2.83748,10
11,0.9399996,-4.711488,-3.075702,10
11,0.9599996,-4.573849,-3.260985,10
11,0.9799996,-4.452091,-3.36686,10
11,0.9999996,-4.335627,-3.409211,10
11,1.02,-4.245633,-3.382742,10
11,1.04,-4.160932,-3.266279,10
11,1.06,-4.070938,-3.065114,10
11,1.08,-3.980942,-2.789836,10
11,1.1,-3.88036,-2.477501,10
11,1.12,-3.779778,-2.165166,10
11,1.14,-3.673902,-1.847538,10
11,1.159999,-3.578613,-1.535204,10
11,1.179999,-3.499206,-1.249338,10
11,1.199999,-3.414505,-0.9687662,10
11,1.219999,-3.319217,-0.6193754,10
11,1.239999,-3.218634,-0.3070408,10
11,1.259999,-3.133934,0.01058757,10
11,1.279999,-3.05982,0.3229225,10
11,1.299999,-2.975119,0.6405509,10
11,1.319999,-2.885125,0.9581786,10
11,1.339999,-2.79513,1.270514,10
11,1.359999,-2.710429,1.588142,10
11,1.379999,-2.620434,1.900476,10
11,1.399999,-2.525146,2.202224,10
11,1.419999,-2.41927,2.493383,10
11,1.439999,-2.318687,2.758073,10
11,1.459999,-2.212811,2.985707,10
11,1.479999,-2.112229,3.17099,10
11,1.499999,-1.979883,3.377448,10
11,1.519999,-1.847539,3.541557,10
11,1.539999,-1.704606,3.673902,10
11,1.559999,-1.566966,3.763897,10
11,1.579999,-1.429328,3.816834,10
11,1.599999,-1.30757,3.838011,10
11,1.619999,-1.206988,3.838011,10
11,1.639999,-1.132875,3.811541,10
11,1.659999,-1.064055,3.732134,10
11,1.679999,-0.995235,3.610376,10
11,1.699999,-0.937004,3.446269,10
11,1.719999,-0.8893592,3.260984,10
11,1.739999,-0.8628906,3.038645,10
11,1.759999,-0.8364208,2.742192,10
