Trial,time,PositionX,PositionY,PositionZ
11,0.02,-7.998941,0.02117515,10
11,0.04,-7.961884,0.1535201,10
11,0.06,-7.91424,0.3070408,10
11,0.08,-7.866596,0.4393858,10
11,0.09999999,-7.80307,0.5982,10
11,0.12,-7.744839,0.7570142,10
11,0.14,-7.691901,0.9158283,10
11,0.16,-7.633668,1.095818,10
11,0.18,-7.575437,1.254632,10
11,0.2,-7.527793,1.392271,10
11,0.22,-7.469561,1.556379,10
11,0.24,-7.416623,1.672843,10
11,0.26,-7.34251,1.815776,10
11,0.28,-7.284278,1.93224,10
11,0.3,-7.226046,2.027528,10
11,0.32,-7.167813,2.096347,10
11,0.34,-7.125464,2.12811,10
11,0.36,-7.088407,2.143991,10
11,0.38,-7.051351,2.149285,10
11,0.4,-7.019588,2.122817,10
11,0.42,-6.982531,2.069878,10
11,0.4400001,-6.950768,2.001059,10
11,0.4600001,-6.908417,1.900476,10
11,0.4800001,-6.871361,1.773425,10
11,0.5000001,-6.844892,1.651667,10
11,0.52,-6.823717,1.498147,10
11,0.54,-6.807836,1.328745,10
11,0.56,-6.797247,1.148756,10
11,0.58,-6.78666,0.9528852,10
11,0.6,-6.776072,0.7570142,10
11,0.6199999,-6.76019,0.5293804,10
11,0.6399999,-6.744309,0.33351,10
11,0.6599999,-6.733722,0.132345,10
11,0.6799999,-6.71784,-0.04235059,10
11,0.6999999,-6.696665,-0.2541026,10
11,0.7199998,-6.680783,-0.4446799,10
11,0.7399998,-6.659609,-0.6087878,10
11,0.7599998,-6.638433,-0.7993647,10
11,0.7799998,-6.622552,-0.9422973,10
11,0.7999998,-6.601377,-1.090524,10
11,0.8199998,-6.564321,-1.222869,10
11,0.8399997,-6.516675,-1.34992,10
11,0.8599997,-6.469031,-1.450503,10
11,0.8799997,-6.426681,-1.524616,10
11,0.8999997,-6.394918,-1.566967,10
11,0.9199997,-6.379036,-1.577554,10
11,0.9399996,-6.373743,-1.57226,10
11,0.9599996,-6.352568,-1.545791,10
11,0.9799996,-6.320805,-1.476972,10
11,0.9999996,-6.27316,-1.371095,10
11,1.02,-6.220222,-1.233457,10
11,1.04,-6.151403,-1.064055,10
11,1.06,-6.093172,-0.899947,10
11,1.08,-6.024351,-0.7040763,10
11,1.1,-5.939651,-0.4711488,10
11,1.12,-5.865537,-0.2382213,10
11,1.14,-5.802011,-0.03176272,10
11,1.159999,-5.733192,0.2064586,10
11,1.179999,-5.664372,0.4340923,10
11,1.199999,-5.595553,0.6987822,10
11,1.219999,-5.532027,0.93171,10
11,1.239999,-5.473796,1.132874,10
11,1.259999,-5.404976,1.371096,10
11,1.279999,-5.352038,1.561673,10
11,1.299999,-5.283219,1.789306,10
11,1.319999,-5.214399,1.985177,10
11,1.339999,-5.150873,2.175754,10
11,1.359999,-5.087348,2.366331,10
11,1.379999,-5.023822,2.535733,10
11,1.399999,-4.949709,2.710429,10
11,1.419999,-4.875596,2.885125,10
11,1.439999,-4.790895,3.054526,10
11,1.459999,-4.711488,3.213341,10
11,1.479999,-4.610905,3.356273,10
11,1.499999,-4.494442,3.493913,10
11,1.519999,-4.377978,3.605083,10
11,1.539999,-4.240339,3.721546,10
11,1.559999,-4.076231,3.832716,10
11,1.579999,-3.933298,3.90683,10
11,1.599999,-3.800953,3.954474,10
11,1.619999,-3.652726,3.980944,10
11,1.639999,-3.509793,3.980944,10
11,1.659999,-3.388036,3.965062,10
11,1.679999,-3.287454,3.901536,10
11,1.699999,-3.218634,3.811541,10
11,1.719999,-3.149815,3.652727,10
11,1.739999,-3.107464,3.488619,10
11,1.759999,-3.065114,3.276866,10
11,1.779999,-3.038645,2.996294,10
11,1.799999,-3.028057,2.736898,10
11,1.819999,-3.01747,2.398094,10
11,1.839999,-3.006882,2.122817,10
11,1.859999,-2.996294,1.810482,10
11,1.879999,-2.985707,1.492853,10
11,1.899999,-2.975119,1.175225,10
11,1.919999,-2.953944,0.8628905,10
11,1.939999,-2.932769,0.5452621,10
11,1.959999,-2.895712,0.2329272,10
11,1.979999,-2.858655,-0.1164636,10
11,1.999999,-2.826892,-0.3970355,10
11,2.019999,-2.779248,-0.7146639,10
11,2.039999,-2.72631,-0.9422973,10
11,2.059999,-2.673372,-1.233457,10
11,2.079999,-2.631021,-1.48756,10
11,2.099999,-2.567496,-1.778718,10
11,2.119999,-2.50397,-2.006352,10
11,2.139999,-2.41927,-2.265749,10
11,2.159999,-2.355744,-2.456326,10
11,2.179999,-2.28163,-2.662785,10
11,2.199999,-2.202223,-2.879831,10
11,2.219999,-2.12811,-3.054526,10
11,2.239999,-2.043409,-3.229222,10
11,2.259999,-1.953414,-3.382742,10
11,2.279999,-1.86342,-3.493912,10
11,2.299999,-1.773425,-3.562732,10
11,2.319999,-1.688725,-3.599788,10
11,2.339998,-1.604023,-3.599788,10
11,2.359998,-1.540498,-3.568025,10
11,2.379998,-1.455796,-3.488618,10
11,2.399998,-1.365802,-3.377448,10
