Trial,time,PositionX,PositionY,PositionZ
1,0.02,-7.839565,-0.1581913,10
1,0.04,-7.602345,-0.1694906,10
1,0.06,-7.387717,-0.1807895,10
1,0.08,-7.082719,-0.1807895,10
1,0.09999999,-6.81161,-0.1920897,10
1,0.12,-6.472724,-0.2146879,10
1,0.14,-6.15643,-0.237287,10
1,0.16,-5.874026,-0.2711853,10
1,0.18,-5.512547,-0.3050837,10
1,0.2,-5.17366,-0.338982,10
1,0.22,-4.891256,-0.3615811,10
1,0.24,-4.55237,-0.3728804,10
1,0.26,-4.269965,-0.3954795,10
1,0.28,-3.953671,-0.4180777,10
1,0.3,-3.648674,-0.4406768,10
1,0.32,-3.321083,-0.4632762,10
1,0.34,-3.072567,-0.4971746,10
1,0.36,-2.790162,-0.5310726,10
1,0.38,-2.575534,-0.564971,10
1,0.4,-2.34961,-0.6214675,10
1,0.42,-2.202759,-0.666666,10
1,0.4400001,-2.033316,-0.7344624,10
1,0.4600001,-1.897762,-0.8135584,10
1,0.4800001,-1.728319,-0.9265524,10
1,0.5000001,-1.513691,-1.039547,10
1,0.52,-1.321655,-1.118643,10
1,0.54,-1.016658,-1.16384,10
1,0.56,-0.6890684,-1.16384,10
1,0.58,-0.3275892,-1.084745,10
1,0.6,-0.01129626,-0.9491515,10
1,0.6199999,0.3388855,-0.7231626,10
1,0.6399999,0.6551808,-0.3841794,10
1,0.6599999,0.8585123,-0.04519641,10
1,0.6799999,0.9601774,0.3050858,10
1,0.6999999,0.9940662,0.5988717,10
1,0.7199998,0.98277,0.9039563,10
1,0.7399998,0.8698074,1.163843,10
1,0.7599998,0.6777721,1.389832,10
1,0.7799998,0.4744406,1.525425,10
1,0.7999998,0.2033315,1.638419,10
1,0.8199998,-0.05648012,1.683617,10
1,0.8399997,-0.3501823,1.706215,10
1,0.8599997,-0.6325865,1.706215,10
1,0.8799997,-0.9036955,1.672317,10
1,0.8999997,-1.186101,1.62712,10
1,0.9199997,-1.513691,1.548024,10
1,0.9399996,-1.762207,1.446329,10
1,0.9599996,-2.033316,1.265537,10
1,0.9799996,-2.236648,1.073447,10
1,0.9999996,-2.417388,0.8474588,10
1,1.02,-2.564238,0.5875713,10
1,1.04,-2.688497,0.2937865,10
1,1.06,-2.767569,-0.03389716,10
1,1.08,-2.824051,-0.3728804,10
1,1.1,-2.85794,-0.7231626,10
1,1.12,-2.85794,-1.062145,10
1,1.14,-2.790162,-1.412429,10
1,1.159999,-2.6772,-1.661016,10
1,1.179999,-2.473868,-1.920903,10
1,1.199999,-2.202759,-2.158191,10
1,1.219999,-1.87517,-2.37288,10
1,1.239999,-1.434618,-2.564971,10
1,1.259999,-1.050547,-2.700564,10
1,1.279999,-0.5422176,-2.847457,10
1,1.299999,-0.1016658,-2.937852,10
1,1.319999,0.406663,-3.016949,10
1,1.339999,0.892401,-3.062146,10
1,1.359999,1.434618,-3.084745,10
1,1.379999,1.886466,-3.084745,10
1,1.399999,2.315722,-3.039547,10
1,1.419999,2.688496,-2.937852,10
