Trial,time,PositionX,PositionY,PositionZ
1,0.02,-7.907342,-0.06779552,10
1,0.04,-7.816972,-0.07909477,10
1,0.06,-7.70401,-0.07909477,10
1,0.08,-7.602345,-0.09039491,10
1,0.09999999,-7.489383,-0.09039491,10
1,0.12,-7.353828,-0.09039491,10
1,0.14,-7.22957,-0.09039491,10
1,0.16,-7.116608,-0.09039491,10
1,0.18,-6.981054,-0.07909477,10
1,0.2,-6.868091,-0.05649656,10
1,0.22,-6.766426,-0.02259821,10
1,0.24,-6.676056,0.03389955,10
1,0.26,-6.57439,0.090397,10
1,0.28,-6.461428,0.1694924,10
1,0.3,-6.348466,0.2485883,10
1,0.32,-6.269393,0.3050858,10
1,0.34,-6.179023,0.3954816,10
1,0.36,-6.09995,0.5084759,10
1,0.38,-6.043469,0.6327695,10
1,0.4,-6.00958,0.7457638,10
1,0.42,-5.975691,0.8700579,10
1,0.4400001,-5.930507,0.9943509,10
1,0.4600001,-5.86273,1.129944,10
1,0.4800001,-5.783656,1.254238,10
1,0.5000001,-5.68199,1.378533,10
1,0.52,-5.557732,1.491527,10
1,0.54,-5.433473,1.570622,10
1,0.56,-5.26403,1.661018,10
1,0.58,-5.128477,1.717516,10
1,0.6,-4.981625,1.740113,10
1,0.6199999,-4.868663,1.751414,10
1,0.6399999,-4.766997,1.751414,10
1,0.6599999,-4.687924,1.706215,10
1,0.6799999,-4.608851,1.62712,10
1,0.6999999,-4.518481,1.491527,10
1,0.7199998,-4.439407,1.355934,10
1,0.7399998,-4.337742,1.209041,10
1,0.7599998,-4.258668,1.039549,10
1,0.7799998,-4.190891,0.8813572,10
1,0.7999998,-4.145707,0.7005662,10
1,0.8199998,-4.089225,0.531075,10
1,0.8399997,-4.055337,0.3728825,10
1,0.8599997,-4.021448,0.2259898,10
1,0.8799997,-3.98756,0.090397,10
1,0.8999997,-3.931078,-0.07909477,10
1,0.9199997,-3.863301,-0.237287,10
1,0.9399996,-3.772932,-0.3954795,10
1,0.9599996,-3.648674,-0.6101686,10
1,0.9799996,-3.524415,-0.790959,10
1,0.9999996,-3.366269,-0.9943488,10
1,1.02,-3.219417,-1.17514,10
1,1.04,-3.038678,-1.37853,10
1,1.06,-2.801458,-1.58192,10
1,1.08,-2.564238,-1.762711,10
1,1.1,-2.281833,-1.932202,10
1,1.12,-2.033316,-2.045196,10
1,1.14,-1.762207,-2.135592,10
1,1.159999,-1.468507,-2.18079,10
1,1.179999,-1.242582,-2.19209,10
1,1.199999,-0.9601768,-2.18079,10
1,1.219999,-0.7455491,-2.158191,10
1,1.239999,-0.5083288,-2.090395,10
1,1.259999,-0.3162935,-1.9774,10
1,1.279999,-0.1468508,-1.819208,10
1,1.299999,0,-1.649717,10
1,1.319999,0.1468514,-1.37853,10
1,1.339999,0.225924,-1.107344,10
1,1.359999,0.2485166,-0.8361575,10
1,1.379999,0.225924,-0.6101686,10
1,1.399999,0.1694427,-0.3841794,10
1,1.419999,0.0564813,-0.1920897,10
1,1.439999,-0.05648012,-0.07909477,10
1,1.459999,-0.2033315,1.192093E-06,10
1,1.479999,-0.361478,0.0451982,10
1,1.499999,-0.5083288,0.05649865,10
1,1.519999,-0.6777721,0.05649865,10
1,1.539999,-0.8246229,0.01129985,10
1,1.559999,-0.9827694,-0.06779552,10
1,1.579999,-1.12962,-0.1468912,10
1,1.599999,-1.253878,-0.237287,10
1,1.619999,-1.366841,-0.338982,10
1,1.639999,-1.502396,-0.4293779,10
1,1.659999,-1.615357,-0.5084735,10
1,1.679999,-1.750911,-0.5988693,10
1,1.699999,-1.852577,-0.677965,10
1,1.719999,-1.965539,-0.77966,10
1,1.739999,-2.089797,-0.9039542,10
1,1.759999,-2.214056,-1.016948,10
1,1.779999,-2.327017,-1.129942,10
1,1.799999,-2.428683,-1.242937,10
1,1.819999,-2.564238,-1.38983,10
1,1.839999,-2.688497,-1.502824,10
1,1.859999,-2.835347,-1.638417,10
1,1.879999,-3.004789,-1.78531,10
1,1.899999,-3.140344,-1.898304,10
1,1.919999,-3.287195,-2.033897,10
1,1.939999,-3.422749,-2.135592,10
1,1.959999,-3.558303,-2.237287,10
